Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Agustín Giay,ARG,DF,Palmeiras,20,2004,7.1,1,0,0,12,15,0,18,6,15,0,0,0,28,4,4,50.0
Gilberto,BRA,DF,Bahia,30,1993,15.2,2,0,0,11,17,2,54,10,26,0,0,0,67,19,11,63.3
Gilberto,BRA,FW,Juventude,34,1989,12.3,4,0,0,22,11,6,14,2,2,0,0,0,14,31,38,44.9
Luciano Giménez,ARG,"FW,MF",Cuiabá,23,2000,0.8,0,1,0,3,0,1,0,0,0,0,0,0,1,3,4,42.9
Giovane,BRA,"FW,MF",Corinthians,20,2003,3.0,1,0,0,6,6,2,10,0,0,0,0,0,7,5,5,50.0
Leonardo Godoy,ARG,DF,Ath Paranaense,28,1995,18.2,5,0,0,32,18,1,50,11,17,0,1,0,49,13,20,39.4
Davi Goes,BRA,MF,Juventude,18,2005,0.7,2,0,0,2,1,0,0,0,3,0,0,0,4,0,4,0.0
Bruno Gomes,BRA,"DF,MF",Internacional,22,2001,24.0,3,0,0,30,47,0,58,24,38,1,0,0,117,24,28,46.2
Igor Gomes,BRA,MF,Atlético Mineiro,24,1999,14.7,8,0,0,23,25,0,43,9,12,0,1,0,77,10,15,40.0
Igor Gomes,BRA,DF,Internacional,22,2001,7.6,2,0,0,8,7,0,11,7,9,0,0,0,36,20,23,46.5
William Gomes,BRA,"FW,MF",São Paulo,17,2006,5.5,2,0,0,5,1,3,25,3,9,0,0,0,19,3,10,23.1
Gustavo Gómez,PAR,DF,Palmeiras,30,1993,26.3,9,0,0,44,21,8,5,32,25,0,1,1,70,100,63,61.3
Diego Gonçalves,BRA,"FW,MF",Juventude,29,1994,2.1,0,0,0,1,6,2,5,1,3,0,0,0,13,7,7,50.0
Mateus Gonçalves Martins,BRA,"MF,FW",Vitória,29,1994,2.3,0,0,0,1,3,0,6,0,1,0,0,0,11,1,3,25.0
Matheus Gonçalves,BRA,"FW,MF",Flamengo,18,2005,7.6,1,0,0,11,10,0,35,12,9,0,0,0,41,4,8,33.3
Yony González,COL,"FW,MF",Atl Goianiense,29,1994,3.0,0,0,0,6,9,0,14,1,2,0,0,0,12,6,7,46.2
Gregore,BRA,MF,Botafogo (RJ),29,1994,24.7,9,0,0,91,16,1,24,33,65,1,0,0,152,69,47,59.5
Guga,BRA,"DF,FW",Fluminense,25,1998,3.6,3,1,0,8,4,0,3,3,8,0,0,0,17,2,4,33.3
Guilherme,BRA,MF,Flamengo,17,2006,0.4,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,
