Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Eric Bailly,CIV,DF,Villarreal,30,1994,6.9,12,4,6,6,0,3,4,75.0,1,12,6,6,6,18,29,0
Stefan Bajcetic,ESP,"MF,DF",Las Palmas,19,2004,10.8,29,14,13,13,3,12,28,42.9,16,25,4,21,15,44,26,1
Cédric Bakambu,COD,FW,Betis,33,1991,7.9,6,4,0,5,1,3,7,42.9,4,13,2,11,0,6,5,0
Alejandro Balde,ESP,DF,Barcelona,20,2003,25.4,18,10,10,5,3,11,17,64.7,6,24,5,19,5,23,27,0
Iván Balliu,ALB,DF,Rayo Vallecano,32,1992,13.3,17,14,8,5,4,6,18,33.3,12,16,4,12,13,30,39,0
Jonathan Bamba,CIV,"FW,MF",Celta Vigo,28,1996,9.0,12,7,4,6,2,5,12,41.7,7,6,0,6,5,17,6,0
Adrian Baquerin,ESP,FW,Valladolid,17,2007,0.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0
Valentín Barco,ARG,"DF,FW",Sevilla,20,2004,3.2,15,9,8,3,4,12,15,80.0,3,0,0,0,2,17,5,0
Borna Barišić,CRO,DF,Leganés,31,1992,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kike Barja,ESP,"FW,MF",Osasuna,27,1997,3.5,5,4,1,3,1,2,4,50.0,2,5,0,5,3,8,4,0
Enzo Barrenechea,ARG,MF,Valencia,23,2001,24.3,57,30,22,29,6,32,46,69.6,14,30,8,22,28,85,48,1
Ander Barrenetxea,ESP,"MF,FW",Real Sociedad,22,2001,14.0,26,19,7,14,5,6,23,26.1,17,15,0,15,11,37,16,1
Pablo Barrios,ESP,MF,Atlético Madrid,21,2003,25.9,46,26,23,20,3,23,47,48.9,24,18,5,13,34,80,33,9
Thierno Barry,FRA,FW,Villarreal,21,2002,25.8,11,8,2,5,4,4,10,40.0,6,15,2,13,0,11,19,0
Marc Bartra,ESP,DF,Betis,33,1991,23.3,33,19,20,13,0,15,26,57.7,11,41,25,16,33,66,148,0
Aboubacar Bassinga,CIV,MF,Las Palmas,19,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Augusto Batalla,ARG,GK,Rayo Vallecano,28,1996,32.0,4,2,4,0,0,4,6,66.7,2,0,0,0,0,4,15,4
Rafael Bauza,ESP,MF,Espanyol,19,2005,2.0,5,3,3,1,1,4,7,57.1,3,3,1,2,0,5,5,0
Sheraldo Becker,SUR,"FW,MF",Real Sociedad,29,1995,11.1,3,2,0,3,0,0,2,0.0,2,4,0,4,1,4,10,0
