Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Valentín Barco,ARG,"DF,FW",Sevilla,20,2004,3.2,0,0,0,7,5,0,24,2,9,0,0,0,16,0,2,0.0
Borna Barišić,CRO,DF,Leganés,31,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kike Barja,ESP,"FW,MF",Osasuna,27,1997,3.5,3,0,0,9,4,1,37,3,4,0,0,0,10,5,8,38.5
Enzo Barrenechea,ARG,MF,Valencia,23,2001,24.3,6,0,0,25,45,0,3,28,30,1,0,0,117,37,24,60.7
Ander Barrenetxea,ESP,"MF,FW",Real Sociedad,22,2001,14.0,6,0,0,33,13,6,54,11,19,0,1,0,88,7,14,33.3
Pablo Barrios,ESP,MF,Atlético Madrid,21,2003,25.9,4,1,0,28,27,0,26,34,26,0,0,0,131,35,21,62.5
Thierno Barry,FRA,FW,Villarreal,21,2002,25.8,4,0,0,47,51,20,5,0,8,1,1,0,36,99,48,67.3
Marc Bartra,ESP,DF,Betis,33,1991,23.3,2,0,0,15,14,2,1,33,19,0,1,0,88,50,42,54.3
Aboubacar Bassinga,CIV,MF,Las Palmas,19,2005,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Augusto Batalla,ARG,GK,Rayo Vallecano,28,1996,32.0,6,0,0,1,6,0,0,0,2,0,0,0,49,9,0,100.0
Rafael Bauza,ESP,MF,Espanyol,19,2005,2.0,1,0,0,8,0,0,0,0,3,0,0,0,4,3,2,60.0
Sheraldo Becker,SUR,"FW,MF",Real Sociedad,29,1995,11.1,1,1,0,8,15,9,64,1,2,0,0,0,30,7,16,30.4
Donny van de Beek,NED,MF,Girona,27,1997,15.8,5,0,0,22,8,3,11,10,18,0,0,0,48,10,9,52.6
Luken Beitia,ESP,DF,Real Sociedad,20,2004,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,100.0
Ismael Bekhoucha,MAR,"MF,DF",Getafe,19,2004,0.8,2,0,0,3,3,0,1,2,1,0,0,0,6,1,1,50.0
Héctor Bellerín,ESP,DF,Betis,29,1995,6.4,1,0,0,6,0,0,10,6,7,0,0,0,13,6,7,46.2
Jude Bellingham,ENG,MF,Real Madrid,21,2003,27.6,5,1,0,33,64,9,18,28,33,1,0,0,97,30,31,49.2
Fran Beltrán,ESP,MF,Celta Vigo,25,1999,26.9,3,0,0,34,12,0,5,26,35,0,1,0,119,19,27,41.3
Carlos Benavídez,URU,MF,Alavés,26,1998,5.4,3,0,0,18,6,1,1,8,14,0,0,0,32,8,7,53.3
Iker Benito,ESP,"FW,MF",Osasuna,21,2002,0.4,0,0,0,1,1,0,2,1,0,0,0,0,3,0,1,0.0
Yuri Berchiche,ESP,DF,Athletic Club,34,1990,22.7,5,0,0,18,19,4,42,27,21,0,1,0,121,28,20,58.3
Álex Berenguer,ESP,"FW,MF",Athletic Club,29,1995,26.0,5,0,0,29,30,5,178,10,16,2,0,0,113,27,50,35.1
Marc Bernal,ESP,MF,Barcelona,17,2007,2.7,2,0,0,4,3,0,0,1,6,0,0,0,9,1,6,14.3
Juan Bernat,ESP,"DF,MF",Villarreal,31,1993,2.4,0,0,0,0,2,1,9,1,7,0,0,0,13,5,2,71.4
Juan Bernat,ESP,"MF,DF",Getafe,31,1993,7.8,0,0,0,11,6,1,13,2,13,0,0,0,26,11,13,45.8
Juan Berrocal,ESP,DF,Getafe,25,1999,11.8,8,1,1,17,1,0,0,15,7,0,1,0,35,30,17,63.8
