Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Pau Cabanes,ESP,"MF,FW",Alavés,19,2005,2.1,0,2,1,50.0,0.96,0.48,0.0,0.0,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0
Leandro Cabrera,URU,DF,Espanyol,33,1991,31.9,4,19,6,31.6,0.6,0.19,0.21,0.67,12.2,0,0,0,1.1,1.1,0.06,2.9,2.9
Fernando Calero,ESP,"DF,MF",Espanyol,28,1995,7.9,1,2,1,50.0,0.25,0.13,0.5,1.0,9.1,0,0,0,0.3,0.3,0.14,0.7,0.7
Eduardo Camavinga,FRA,"MF,DF",Real Madrid,21,2002,12.2,1,8,2,25.0,0.65,0.16,0.13,0.5,18.5,0,0,0,0.4,0.4,0.05,0.6,0.6
Sergio Camello,ESP,FW,Rayo Vallecano,23,2001,12.6,3,32,9,28.1,2.54,0.71,0.09,0.33,16.3,0,0,0,4.1,4.1,0.13,-1.1,-1.1
José Campaña,ESP,MF,Las Palmas,31,1993,13.2,0,5,3,60.0,0.38,0.23,0.0,0.0,37.0,2,0,0,0.1,0.1,0.02,-0.1,-0.1
Peio Canales,ESP,"MF,FW",Athletic Club,19,2005,2.9,0,3,0,0.0,1.04,0.0,0.0,,21.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Antonio Candela,ITA,DF,Valladolid,24,2000,10.1,0,1,0,0.0,0.1,0.0,0.0,,16.5,0,0,0,0.0,0.0,0.04,0.0,0.0
Sergi Canós,ESP,"MF,FW",Valencia,27,1997,4.1,0,11,3,27.3,2.68,0.73,0.0,0.0,19.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5
Dani Cárdenas,ESP,GK,Rayo Vallecano,27,1997,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Irvin Cardona,MLT,"FW,MF",Espanyol,26,1997,6.7,1,10,3,30.0,1.49,0.45,0.1,0.33,17.3,1,0,0,1.1,1.1,0.11,-0.1,-0.1
Marc Cardona,ESP,"FW,DF",Las Palmas,29,1995,1.5,0,4,0,0.0,2.73,0.0,0.0,,15.0,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Sergi Cardona,ESP,DF,Villarreal,25,1999,32.7,1,20,6,30.0,0.61,0.18,0.05,0.17,13.7,0,0,0,2.4,2.4,0.12,-1.4,-1.4
Johnny Cardoso,USA,MF,Betis,22,2001,23.8,3,19,7,36.8,0.8,0.29,0.16,0.43,14.9,0,0,0,2.0,2.0,0.11,1.0,1.0
José Carlos González,ESP,DF,Las Palmas,18,2006,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Carmona,ESP,DF,Sevilla,22,2002,32.7,0,19,4,21.1,0.58,0.12,0.0,0.0,24.7,0,0,0,0.5,0.5,0.03,-0.5,-0.5
Sergio Carreira,ESP,"MF,DF",Celta Vigo,23,2000,18.4,0,13,3,23.1,0.71,0.16,0.0,0.0,15.6,0,0,0,0.6,0.6,0.05,-0.6,-0.6
Dani Carvajal,ESP,DF,Real Madrid,32,1992,6.8,1,3,1,33.3,0.44,0.15,0.33,1.0,3.4,0,0,0,1.3,1.3,0.44,-0.3,-0.3
William Carvalho,POR,MF,Betis,32,1992,5.4,0,4,1,25.0,0.74,0.19,0.0,0.0,16.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Marc Casado,ESP,MF,Barcelona,20,2003,17.9,1,14,1,7.1,0.78,0.06,0.07,1.0,22.4,0,0,0,1.1,1.1,0.08,-0.1,-0.1
Catena,ESP,DF,Osasuna,29,1994,34.2,1,20,5,25.0,0.59,0.15,0.05,0.2,10.9,0,0,0,2.2,2.2,0.11,-1.2,-1.2
Maximiliano Caufriez,BEL,DF,Valencia,27,1997,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Dani Ceballos,ESP,MF,Real Madrid,27,1996,13.5,0,7,2,28.6,0.52,0.15,0.0,0.0,22.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Franco Cervi,ARG,"FW,MF",Celta Vigo,30,1994,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Raúl Chasco,ESP,DF,Valladolid,20,2003,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Pep Chavarría,ESP,"DF,FW",Rayo Vallecano,26,1998,28.7,0,11,3,27.3,0.38,0.1,0.0,0.0,20.1,0,0,0,1.2,1.2,0.11,-1.2,-1.2
Walid Cheddira,MAR,FW,Espanyol,26,1998,7.1,1,13,4,30.8,1.83,0.56,0.08,0.25,12.7,0,0,0,1.0,1.0,0.08,0.0,0.0
Chema,ESP,MF,Real Madrid,19,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Julián Chicco,ARG,"MF,DF",Leganés,26,1998,3.4,0,3,1,33.3,0.89,0.3,0.0,0.0,19.7,0,0,0,0.5,0.5,0.16,-0.5,-0.5
Chiquinho,POR,"MF,FW",Mallorca,24,2000,1.6,0,4,2,50.0,2.47,1.23,0.0,0.0,15.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Andreas Christensen,DEN,DF,Barcelona,28,1996,2.8,0,1,0,0.0,0.35,0.0,0.0,,12.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Jasper Cillessen,NED,GK,Las Palmas,35,1989,25.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Pathé Ciss,SEN,"MF,DF",Rayo Vallecano,30,1994,23.8,4,21,6,28.6,0.88,0.25,0.19,0.67,15.2,0,0,0,1.8,1.7,0.09,2.2,2.3
Seydouba Cissé,GUI,MF,Leganés,23,2001,27.1,3,24,5,20.8,0.89,0.18,0.13,0.6,20.0,0,0,0,3.0,3.0,0.13,0.0,0.0
Silvi Clúa,ESP,MF,Girona,19,2005,1.8,0,2,1,50.0,1.1,0.55,0.0,0.0,33.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Eray Cömert,SUI,"DF,MF",Valladolid,26,1998,19.8,0,9,1,11.1,0.46,0.05,0.0,0.0,21.4,1,0,0,0.9,0.9,0.1,-0.9,-0.9
Santi Comesaña,ESP,MF,Villarreal,27,1996,28.4,4,39,8,20.5,1.37,0.28,0.1,0.5,13.1,0,0,0,4.6,4.6,0.12,-0.6,-0.6
Diego Conde,ESP,GK,Villarreal,25,1998,21.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Tomás Conechny,ARG,"FW,MF",Alavés,26,1998,9.4,1,22,10,45.5,2.34,1.06,0.05,0.1,18.3,2,0,0,2.4,2.4,0.11,-1.4,-1.4
Copete,ESP,DF,Mallorca,24,1999,17.0,0,6,2,33.3,0.35,0.12,0.0,0.0,9.9,0,0,0,0.5,0.5,0.08,-0.5,-0.5
Iker Córdoba,ESP,DF,Valencia,18,2005,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ángel Correa,ARG,"FW,MF",Atlético Madrid,29,1995,8.9,4,34,14,41.2,3.8,1.57,0.12,0.29,13.9,0,0,0,4.5,4.5,0.13,-0.5,-0.5
Thierry Correia,POR,DF,Valencia,25,1999,8.5,0,7,3,42.9,0.82,0.35,0.0,0.0,19.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Coba da Costa,ESP,"MF,FW",Getafe,22,2002,11.2,1,23,8,34.8,2.06,0.72,0.04,0.13,18.3,0,0,0,1.1,1.1,0.05,-0.1,-0.1
Logan Costa,CPV,DF,Villarreal,23,2001,28.7,2,12,5,41.7,0.42,0.17,0.17,0.4,15.9,0,0,0,0.7,0.7,0.05,1.3,1.3
Samu Costa,POR,MF,Mallorca,23,2000,29.4,0,30,8,26.7,1.02,0.27,0.0,0.0,18.3,1,0,0,1.8,1.8,0.06,-1.8,-1.8
Thibaut Courtois,BEL,GK,Real Madrid,32,1992,30.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Juan Cruz Armada,ESP,DF,Osasuna,32,1992,16.6,0,4,0,0.0,0.24,0.0,0.0,,16.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Juan Cruz,ESP,"FW,MF",Leganés,24,2000,25.1,5,33,14,42.4,1.32,0.56,0.15,0.36,21.0,1,0,0,2.7,2.7,0.08,2.3,2.3
Pau Cubarsí,ESP,DF,Barcelona,17,2007,29.1,0,8,0,0.0,0.28,0.0,0.0,,8.9,0,0,0,0.8,0.8,0.1,-0.8,-0.8
Cucho,COL,FW,Betis,25,1999,12.7,5,43,11,25.6,3.4,0.87,0.12,0.45,15.9,0,0,0,3.8,3.8,0.09,1.2,1.2
Arnaut Danjuma,NED,FW,Villarreal,27,1997,2.2,2,6,3,50.0,2.7,1.35,0.33,0.67,13.9,0,0,0,0.8,0.8,0.14,1.2,1.2
Arnaut Danjuma,NED,"FW,MF",Girona,27,1997,14.8,2,30,14,46.7,2.02,0.94,0.07,0.14,16.0,1,0,0,3.6,3.6,0.12,-1.6,-1.6
Sergi Darder,ESP,"MF,FW",Mallorca,30,1993,30.5,2,36,9,25.0,1.18,0.3,0.06,0.22,24.2,1,0,0,2.1,2.1,0.06,-0.1,-0.1
Rodrigo De Paul,ARG,MF,Atlético Madrid,30,1994,23.4,3,19,4,21.1,0.81,0.17,0.16,0.75,24.3,0,0,0,1.3,1.3,0.07,1.7,1.7
