Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 36_level_0_Matches
415,Benjamin Stambouli,fr FRA,MF,Metz,35-132,1990,9,6,541,6.0,0,0,0,0,0,0,0,0,0.2,0.2,0.9,1.1,2,18,2,0.00,0.00,0.00,0.00,0.00,0.03,0.15,0.18,0.03,0.18,Matches
416,Pavel Šulc,cz CZE,"FW,MF",Lyon,24-359,2000,15,8,807,9.0,6,2,8,6,0,0,2,0,4.8,4.8,2.0,6.7,20,25,45,0.67,0.22,0.89,0.67,0.89,0.54,0.22,0.75,0.54,0.75,Matches
417,Lamine Sy,mr MTN,DF,Auxerre,23-135,2002,8,4,401,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.8,0.8,17,21,25,0.00,0.00,0.00,0.00,0.00,0.01,0.18,0.19,0.01,0.19,Matches
418,Fodé Sylla,fr FRA,MF,Lens,19-251,2006,2,1,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
419,Musa Al-Taamari,jo JOR,"DF,FW",Rennes,28-196,1997,15,9,905,10.1,2,3,5,2,0,0,3,0,2.4,2.4,2.7,5.1,37,14,74,0.20,0.30,0.50,0.20,0.50,0.24,0.26,0.50,0.24,0.50,Matches
420,Nicolás Tagliafico,ar ARG,DF,Lyon,33-114,1992,12,8,799,8.9,0,1,1,0,0,0,3,1,1.1,1.1,0.5,1.6,12,33,19,0.00,0.11,0.11,0.00,0.11,0.12,0.06,0.19,0.12,0.19,Matches
421,Montassar Talbi,tn TUN,DF,Lorient,27-211,1998,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,14,34,7,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,Matches
422,Tylel Tati,fr FRA,DF,Nantes,17-338,2008,15,15,1323,14.7,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,9,25,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
423,Tanner Tessmann,us USA,"MF,DF",Lyon,24-090,2001,14,12,1038,11.5,1,0,1,1,0,0,0,0,1.0,1.0,1.5,2.5,7,59,16,0.09,0.00,0.09,0.09,0.09,0.08,0.13,0.22,0.08,0.22,Matches
424,Jordan Teze,nl NED,"MF,DF",Monaco,26-084,1999,15,13,1151,12.8,0,0,0,0,0,0,5,0,0.3,0.3,1.8,2.1,17,82,31,0.00,0.00,0.00,0.00,0.00,0.02,0.14,0.16,0.02,0.16,Matches
425,Florian Thauvin,fr FRA,MF,Lens,32-331,1993,16,15,1245,13.8,5,2,7,4,1,2,3,0,6.2,4.6,3.7,8.3,60,90,120,0.36,0.14,0.51,0.29,0.43,0.45,0.27,0.72,0.33,0.60,Matches
426,Adrien Thomasson,fr FRA,MF,Lens,32-013,1993,15,15,1342,14.9,1,4,5,1,0,0,5,0,3.2,3.2,3.0,6.2,8,57,49,0.07,0.27,0.34,0.07,0.34,0.21,0.20,0.41,0.21,0.41,Matches
427,Cheikh Tidiane Sabaly,sn SEN,"FW,MF",Metz,26-294,1999,14,12,967,10.7,0,2,2,0,0,0,2,0,1.6,1.6,1.8,3.5,29,28,46,0.00,0.19,0.19,0.00,0.19,0.15,0.17,0.32,0.15,0.32,Matches
428,Corentin Tolisso,fr FRA,MF,Lyon,31-142,1994,16,15,1307,14.5,3,0,3,3,0,1,3,0,6.2,5.4,2.3,7.7,14,85,69,0.21,0.00,0.21,0.21,0.21,0.43,0.16,0.59,0.37,0.53,Matches
429,Abdoulaye Touré,gn GUI,MF,Le Havre,31-295,1994,11,8,740,8.2,2,0,2,2,0,1,2,0,1.6,0.8,0.1,1.0,8,31,26,0.24,0.00,0.24,0.24,0.24,0.20,0.02,0.22,0.10,0.12,Matches
430,Alpha Touré,sn SEN,"MF,DF",Metz,19-332,2006,16,7,745,8.3,0,0,0,0,0,0,3,0,0.3,0.3,0.3,0.6,11,18,15,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches
431,Ousmane Toure,fr FRA,DF,Lille,20-308,2005,1,1,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
432,Lucas Tousart,fr FRA,MF,Brest,28-238,1997,9,2,285,3.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,12,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
433,Boubacar Traoré,ml MLI,MF,Metz,24-125,2001,13,10,906,10.1,1,0,1,1,0,0,2,0,0.7,0.7,0.0,0.8,4,21,8,0.10,0.00,0.10,0.10,0.10,0.07,0.00,0.08,0.07,0.08,Matches
