Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Igor Carioca,BRA,DF,Lorient,29-124,1996,6.5,7,6,4,2,1,5,12,41.7,7,4,2,2,9,16,21,0
Patrik Carlgren,SWE,GK,Nantes,33-349,1992,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kevin Carlos,ESP,FW,Nice,24-257,2001,6.1,0,0,0,0,0,0,2,0.0,2,2,1,1,1,1,4,0
Josué Casimir,HAI,"MF,DF",Auxerre,24-090,2001,10.3,17,9,12,3,2,7,13,53.8,6,10,0,10,7,24,12,1
Cristian Cásseres Jr.,VEN,MF,Toulouse,25-337,2000,14.0,33,18,16,15,2,17,32,53.1,15,10,5,5,15,48,17,1
Fabien Centonze,FRA,DF,Nantes,29-341,1996,1.3,6,4,3,3,0,2,2,100.0,0,2,0,2,6,12,5,1
Brendan Chardonnet,FRA,DF,Brest,31-001,1994,13.3,14,8,7,5,2,9,15,60.0,6,26,18,8,13,27,71,1
Samir Chergui,ALG,DF,Paris FC,26-320,1999,10.8,16,8,8,4,4,6,8,75.0,2,10,4,6,6,22,36,0
Sidiki Cherif,FRA,FW,Angers,19-008,2006,10.9,7,2,2,5,0,3,6,50.0,3,10,0,10,6,13,1,0
Lucas Chevalier,FRA,GK,Paris S-G,24-047,2001,14.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1
Ben Chilwell,ENG,DF,Strasbourg,29-002,1996,8.6,10,8,5,4,1,7,14,50.0,7,7,2,5,5,15,28,2
Joris Chotard,FRA,MF,Brest,24-090,2001,14.0,24,14,12,10,2,14,23,60.9,9,17,4,13,17,41,35,0
Djaoui Cissé,FRA,MF,Rennes,21-326,2004,7.9,26,12,13,7,6,10,16,62.5,6,12,4,8,2,28,5,0
Mamoudou Cissokho,FRA,FW,Auxerre,18-003,2007,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jonathan Clauss,FRA,"DF,MF",Nice,33-089,1992,11.8,24,18,13,9,2,15,24,62.5,9,13,2,11,14,38,31,1
Maxime Colin,FRA,DF,Metz,34-038,1991,8.9,20,13,13,7,0,11,20,55.0,9,14,5,9,11,31,22,0
Francis Coquelin,FRA,MF,Nantes,34-224,1991,1.7,2,2,1,1,0,1,1,100.0,0,1,1,0,2,4,3,0
Derek Cornelius,CAN,DF,Marseille,28-028,1997,0.6,0,0,0,0,0,0,0,,0,3,2,1,1,1,4,0
Félix Correia,POR,"FW,MF",Lille,24-335,2001,11.6,11,5,4,3,4,10,18,55.6,8,10,1,9,12,23,5,1
Grégoire Coudert,FRA,GK,Brest,26-264,1999,6.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
Lasso Coulibaly,CIV,"MF,DF",Auxerre,23-065,2002,2.3,6,5,4,2,0,4,5,80.0,1,2,1,1,3,9,0,0
Mamadou Coulibaly,FRA,MF,Monaco,21-246,2004,7.4,20,13,10,7,3,5,12,41.7,7,10,1,9,9,29,11,0
Soumaïla Coulibaly,FRA,DF,Brest,22-070,2003,8.0,6,5,1,4,1,4,4,100.0,0,8,7,1,8,14,38,1
Marius Courcoul,FRA,MF,Angers,18-356,2007,1.8,7,4,4,3,0,2,4,50.0,2,1,0,1,2,9,4,0
Nicolas Cozza,FRA,DF,Nantes,26-349,1999,9.3,8,5,5,1,2,2,10,20.0,8,6,3,3,6,14,38,0
Charlie Cresswell,ENG,DF,Toulouse,23-128,2002,16.0,13,8,10,3,0,7,15,46.7,8,22,19,3,15,28,107,0
Kévin Danois,FRA,MF,Auxerre,21-178,2004,13.8,30,18,12,15,3,6,30,20.0,24,12,2,10,14,44,4,0
Dante,BRA,DF,Nice,42-066,1983,1.5,2,1,2,0,0,0,2,0.0,2,3,2,1,2,4,7,0
Mathys De Carvalho,FRA,MF,Lyon,20-236,2005,3.0,7,4,1,3,3,5,7,71.4,2,9,1,8,4,11,7,1
Jeffrey De Lange,NED,GK,Marseille,27-266,1998,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
Théo De Percin,MTQ,GK,Auxerre,24-324,2001,2.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Thibault De Smet,BEL,DF,Paris FC,27-201,1998,9.5,15,7,9,3,3,10,19,52.6,9,5,1,4,5,20,31,1
Romain Del Castillo,FRA,"FW,MF",Brest,29-269,1996,14.0,34,23,8,15,11,15,33,45.5,18,14,1,13,12,46,7,1
Thomas Delaine,FRA,"DF,FW",Le Havre,33-274,1992,2.2,2,0,0,2,0,1,3,33.3,2,1,0,1,3,5,7,0
Ousmane Dembélé,FRA,FW,Paris S-G,28-222,1997,3.7,3,1,0,0,3,2,2,100.0,0,1,0,1,0,3,0,0
Jessy Deminguet,FRA,MF,Metz,27-350,1998,10.7,20,11,12,4,4,14,20,70.0,6,11,2,9,10,30,6,0
Rémy Descamps,FRA,GK,Lyon,29-181,1996,4.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Bahmed Deuff,MTN,"MF,FW",Nantes,19-285,2006,2.5,4,2,2,1,1,0,1,0.0,1,4,3,1,2,6,7,0
Habib Diallo,SEN,FW,Metz,30-188,1995,10.2,5,3,0,3,2,1,4,25.0,3,3,1,2,1,6,12,0
Soriba Diaoune,FRA,"FW,MF",Lille,18-131,2007,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Krépin Diatta,SEN,"DF,FW",Monaco,26-301,1999,7.3,23,12,7,12,4,10,20,50.0,10,7,2,5,14,37,18,0
Mory Diaw,SEN,GK,Le Havre,32-184,1993,16.0,2,0,2,0,0,2,3,66.7,1,0,0,0,2,4,12,2
Junior Diaz,CIV,DF,Brest,22-153,2003,7.2,9,7,3,6,0,5,7,71.4,2,6,5,1,9,18,43,0
Nouha Dicko,MLI,FW,Paris FC,33-223,1992,0.8,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
Bamba Dieng,SEN,"FW,MF",Lorient,25-275,2000,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Eric Dier,ENG,DF,Monaco,31-342,1994,6.0,5,3,2,2,1,4,8,50.0,4,13,9,4,8,13,28,0
Junior Dina Ebimbe,FRA,"FW,MF",Brest,25-032,2000,3.9,12,6,5,4,3,5,8,62.5,3,3,0,3,1,13,1,0
Sinaly Diomande,CIV,DF,Auxerre,24-258,2001,5.7,5,3,4,1,0,1,5,20.0,4,3,0,3,10,15,25,0
