Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Ousmane Camara,MLI,DF,Angers,22-292,2003,14.7,1,2,1,50.0,0.14,0.07,0.5,1.0,12.0,0,0,0,0.1,0.1,0.05,0.9,0.9
Axel Camblan,FRA,"FW,MF",Brest,22-115,2003,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jaydee Canvot,FRA,"MF,DF",Toulouse,19-147,2006,2.0,0,2,0,0.0,1.0,0.0,0.0,,18.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Pierrick Capelle,FRA,MF,Angers,38-252,1987,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Igor Carioca,BRA,DF,Lorient,29-124,1996,6.5,1,5,1,20.0,0.77,0.15,0.2,1.0,27.6,1,0,0,0.2,0.2,0.03,0.8,0.8
Patrik Carlgren,SWE,GK,Nantes,33-349,1992,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Kevin Carlos,ESP,FW,Nice,24-257,2001,6.1,0,14,7,50.0,2.29,1.14,0.0,0.0,11.3,0,0,0,1.2,1.2,0.09,-1.2,-1.2
Josué Casimir,HAI,"MF,DF",Auxerre,24-090,2001,10.3,0,14,7,50.0,1.35,0.68,0.0,0.0,17.2,0,0,1,2.1,1.5,0.1,-2.1,-1.5
Cristian Cásseres Jr.,VEN,MF,Toulouse,25-337,2000,14.0,0,8,1,12.5,0.57,0.07,0.0,0.0,26.0,2,0,1,1.2,0.4,0.05,-1.2,-0.4
Fabien Centonze,FRA,DF,Nantes,29-341,1996,1.3,1,3,1,33.3,2.29,0.76,0.33,1.0,22.8,0,0,0,0.1,0.1,0.04,0.9,0.9
Brendan Chardonnet,FRA,DF,Brest,31-001,1994,13.3,0,6,5,83.3,0.45,0.38,0.0,0.0,11.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Samir Chergui,ALG,DF,Paris FC,26-320,1999,10.8,1,11,3,27.3,1.02,0.28,0.09,0.33,12.8,0,0,0,1.6,1.6,0.14,-0.6,-0.6
Sidiki Cherif,FRA,FW,Angers,19-008,2006,10.9,4,26,12,46.2,2.39,1.1,0.15,0.33,15.7,0,0,0,2.9,2.9,0.11,1.1,1.1
Lucas Chevalier,FRA,GK,Paris S-G,24-047,2001,14.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ben Chilwell,ENG,DF,Strasbourg,29-002,1996,8.6,0,1,1,100.0,0.12,0.12,0.0,0.0,17.7,0,0,0,0.0,0.0,0.04,0.0,0.0
Joris Chotard,FRA,MF,Brest,24-090,2001,14.0,1,13,4,30.8,0.93,0.29,0.08,0.25,27.1,0,0,0,1.0,1.0,0.08,0.0,0.0
Djaoui Cissé,FRA,MF,Rennes,21-326,2004,7.9,0,19,4,21.1,2.41,0.51,0.0,0.0,24.5,1,0,0,0.6,0.6,0.03,-0.6,-0.6
Mamoudou Cissokho,FRA,FW,Auxerre,18-003,2007,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jonathan Clauss,FRA,"DF,MF",Nice,33-089,1992,11.8,1,10,2,20.0,0.84,0.17,0.1,0.5,22.8,2,0,0,0.6,0.6,0.06,0.4,0.4
Maxime Colin,FRA,DF,Metz,34-038,1991,8.9,0,5,1,20.0,0.56,0.11,0.0,0.0,29.3,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Francis Coquelin,FRA,MF,Nantes,34-224,1991,1.7,0,3,1,33.3,1.81,0.6,0.0,0.0,24.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Derek Cornelius,CAN,DF,Marseille,28-028,1997,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Félix Correia,POR,"FW,MF",Lille,24-335,2001,11.6,3,17,5,29.4,1.46,0.43,0.18,0.6,18.0,0,0,0,2.2,2.2,0.13,0.8,0.8
Grégoire Coudert,FRA,GK,Brest,26-264,1999,6.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Lasso Coulibaly,CIV,"MF,DF",Auxerre,23-065,2002,2.3,0,2,1,50.0,0.86,0.43,0.0,0.0,17.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Mamadou Coulibaly,FRA,MF,Monaco,21-246,2004,7.4,1,3,2,66.7,0.41,0.27,0.33,0.5,16.8,0,0,0,0.6,0.6,0.19,0.4,0.4
Soumaïla Coulibaly,FRA,DF,Brest,22-070,2003,8.0,0,4,2,50.0,0.5,0.25,0.0,0.0,10.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Marius Courcoul,FRA,MF,Angers,18-356,2007,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
