Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Cristian Cásseres Jr.,VEN,MF,Toulouse,25-337,2000,14.0,652,552,96,46,3,1,52,7,26,17,7,0,506,4,14
Fabien Centonze,FRA,DF,Nantes,29-341,1996,1.3,63,46,17,1,0,0,3,16,0,0,0,0,44,0,3
Brendan Chardonnet,FRA,DF,Brest,31-001,1994,13.3,696,670,25,18,1,9,3,0,0,0,0,0,583,1,4
Samir Chergui,ALG,DF,Paris FC,26-320,1999,10.8,544,494,50,5,0,0,6,44,0,0,0,0,484,0,6
Sidiki Cherif,FRA,FW,Angers,19-008,2006,10.9,193,185,7,1,1,1,6,0,0,0,0,0,140,1,11
Lucas Chevalier,FRA,GK,Paris S-G,24-047,2001,14.0,378,317,60,16,0,0,0,0,0,0,0,0,338,1,1
Ben Chilwell,ENG,DF,Strasbourg,29-002,1996,8.6,481,396,81,22,0,1,17,54,5,0,5,0,390,4,8
Joris Chotard,FRA,MF,Brest,24-090,2001,14.0,540,530,9,6,2,6,12,1,1,0,0,0,424,1,9
Djaoui Cissé,FRA,MF,Rennes,21-326,2004,7.9,393,356,33,6,0,4,25,5,21,9,5,0,295,4,10
Mamoudou Cissokho,FRA,FW,Auxerre,18-003,2007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Clauss,FRA,"DF,MF",Nice,33-089,1992,11.8,736,577,157,21,2,3,96,77,59,20,26,0,566,2,12
Maxime Colin,FRA,DF,Metz,34-038,1991,8.9,479,406,73,13,0,1,3,60,0,0,0,0,427,0,4
Francis Coquelin,FRA,MF,Nantes,34-224,1991,1.7,69,67,2,2,0,1,0,0,0,0,0,0,59,0,1
Derek Cornelius,CAN,DF,Marseille,28-028,1997,0.6,14,14,0,0,0,0,0,0,0,0,0,0,12,0,0
Félix Correia,POR,"FW,MF",Lille,24-335,2001,11.6,512,475,37,11,5,4,57,12,14,6,5,0,378,0,26
Grégoire Coudert,FRA,GK,Brest,26-264,1999,6.4,224,158,65,24,0,0,0,0,0,0,0,0,134,1,0
Lasso Coulibaly,CIV,"MF,DF",Auxerre,23-065,2002,2.3,88,73,14,2,1,1,10,8,4,0,4,0,65,1,5
Mamadou Coulibaly,FRA,MF,Monaco,21-246,2004,7.4,386,378,8,4,2,4,4,2,0,0,0,0,338,0,7
Soumaïla Coulibaly,FRA,DF,Brest,22-070,2003,8.0,425,409,16,10,0,8,0,0,0,0,0,0,385,0,1
Marius Courcoul,FRA,MF,Angers,18-356,2007,1.8,66,65,1,0,0,0,0,1,0,0,0,0,49,0,1
Nicolas Cozza,FRA,DF,Nantes,26-349,1999,9.3,374,273,98,15,0,0,12,83,0,0,0,0,267,3,9
Charlie Cresswell,ENG,DF,Toulouse,23-128,2002,16.0,762,711,51,20,0,4,1,0,0,0,0,0,657,0,2
Kévin Danois,FRA,MF,Auxerre,21-178,2004,13.8,690,628,58,19,5,7,40,1,33,12,16,0,567,4,9
Dante,BRA,DF,Nice,42-066,1983,1.5,87,75,12,6,0,1,0,0,0,0,0,0,79,0,0
Mathys De Carvalho,FRA,MF,Lyon,20-236,2005,3.0,181,175,5,4,0,0,2,0,0,0,0,0,168,1,1
Jeffrey De Lange,NED,GK,Marseille,27-266,1998,3.0,89,77,12,5,0,0,0,0,0,0,0,0,76,0,0
Théo De Percin,MTQ,GK,Auxerre,24-324,2001,2.5,86,61,24,12,0,0,0,0,0,0,0,0,47,1,0
Thibault De Smet,BEL,DF,Paris FC,27-201,1998,9.5,555,465,89,15,0,1,21,74,0,0,0,0,470,1,7
Romain Del Castillo,FRA,"FW,MF",Brest,29-269,1996,14.0,609,501,106,34,8,2,113,12,45,19,22,0,393,2,16
Thomas Delaine,FRA,"DF,FW",Le Havre,33-274,1992,2.2,164,136,28,5,0,0,19,23,0,0,0,0,117,0,3
Ousmane Dembélé,FRA,FW,Paris S-G,28-222,1997,3.7,324,297,27,2,3,2,19,1,21,2,2,0,268,0,6
Jessy Deminguet,FRA,MF,Metz,27-350,1998,10.7,420,406,14,11,0,6,10,2,0,0,0,0,369,0,6
Rémy Descamps,FRA,GK,Lyon,29-181,1996,4.0,125,100,25,12,0,0,0,0,0,0,0,0,91,0,1
Bahmed Deuff,MTN,"MF,FW",Nantes,19-285,2006,2.5,53,52,1,0,0,1,1,0,0,0,0,0,44,0,0
Habib Diallo,SEN,FW,Metz,30-188,1995,10.2,134,122,12,0,0,0,3,2,0,0,0,0,87,0,6
Soriba Diaoune,FRA,"FW,MF",Lille,18-131,2007,0.2,8,6,2,0,0,0,0,0,0,0,0,0,7,0,1
Krépin Diatta,SEN,"DF,FW",Monaco,26-301,1999,7.3,379,313,63,2,0,1,27,61,0,0,0,0,292,3,8
Mory Diaw,SEN,GK,Le Havre,32-184,1993,16.0,612,438,170,58,0,3,0,0,0,0,0,0,464,4,0
Junior Diaz,CIV,DF,Brest,22-153,2003,7.2,285,279,5,4,0,6,0,1,0,0,0,0,242,1,5
Nouha Dicko,MLI,FW,Paris FC,33-223,1992,0.8,15,14,1,0,1,0,2,0,0,0,0,0,10,0,1
Bamba Dieng,SEN,"FW,MF",Lorient,25-275,2000,0.7,6,6,0,0,0,0,0,0,0,0,0,0,2,0,0
Eric Dier,ENG,DF,Monaco,31-342,1994,6.0,489,474,14,11,0,2,2,1,0,0,0,0,451,1,1
Junior Dina Ebimbe,FRA,"FW,MF",Brest,25-032,2000,3.9,69,68,0,0,0,0,2,0,0,0,0,0,46,1,3
Sinaly Diomande,CIV,DF,Auxerre,24-258,2001,5.7,219,209,9,5,0,0,0,2,0,0,0,0,201,1,0
Sérigné Diop,SEN,FW,Brest,20-225,2005,0.1,3,2,1,0,0,0,1,0,1,0,1,0,2,0,1
Sofiane Diop,MAR,"MF,FW",Nice,25-197,2000,11.0,416,387,27,5,8,7,13,4,5,4,0,0,325,2,13
Andy Diouf,FRA,MF,Lens,22-220,2003,1.0,40,37,3,2,0,0,0,0,1,0,0,0,33,0,1
Yehvann Diouf,SEN,GK,Nice,26-037,1999,16.0,532,437,93,35,0,2,0,1,0,0,0,0,421,2,1
Assane Dioussé,SEN,MF,Auxerre,28-094,1997,2.0,121,111,10,8,0,2,6,1,1,0,1,0,107,0,1
Harouna Djibrin,CMR,FW,Angers,19-048,2006,1.5,35,35,0,0,0,0,3,0,0,0,0,0,25,0,4
Lohann Doucet,FRA,MF,Paris FC,23-100,2002,1.3,57,56,0,0,0,1,0,0,0,0,0,0,51,1,0
Fodé Doucouré,MLI,"MF,FW",Le Havre,24-323,2001,7.4,306,278,25,2,0,0,49,20,3,3,0,0,219,3,8
Désiré Doué,FRA,"FW,MF",Paris S-G,20-203,2005,4.0,243,224,18,0,1,4,12,6,6,1,1,0,197,1,3
Guela Doué,CIV,DF,Strasbourg,23-067,2002,11.1,727,651,74,15,3,0,25,59,0,0,0,0,616,2,10
Ismaël Doukouré,FRA,"DF,MF",Strasbourg,22-152,2003,10.2,673,636,34,17,3,2,2,8,0,0,0,0,603,3,7
Kamory Doumbia,MLI,MF,Brest,22-308,2003,10.1,335,300,35,3,4,0,16,4,14,7,5,0,270,0,4
Aron Dønnum,NOR,"MF,DF",Toulouse,27-247,1998,13.0,539,456,82,16,5,7,83,26,40,25,12,0,386,1,17
Simon Ebonog,CMR,MF,Le Havre,21-129,2004,6.1,147,142,5,0,1,1,3,1,0,0,0,0,112,0,1
Noah Edjouma,FRA,"MF,FW",Toulouse,20-080,2005,2.6,67,65,2,0,1,0,11,1,1,0,0,0,45,0,2
Odsonne Édouard,FRA,FW,Lens,27-341,1998,9.2,144,129,15,0,2,0,1,0,0,0,0,0,113,0,2
