Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Jaydee Canvot,FRA,DF,Crystal Palace,19-147,2006,1.3,0,1,0,0.0,0.78,0.0,0.0,,15.2,0,0,0,0.0,0.0,0.04,0.0,0.0
Fabio Carvalho,POR,"FW,MF",Brentford,23-115,2002,1.1,1,2,1,50.0,1.76,0.88,0.5,1.0,12.4,0,0,0,0.7,0.7,0.35,0.3,0.3
Casemiro,BRA,MF,Manchester Utd,33-303,1992,11.0,4,24,6,25.0,2.19,0.55,0.17,0.67,17.7,0,0,0,2.6,2.6,0.11,1.4,1.4
Matty Cash,POL,DF,Aston Villa,28-138,1997,16.7,3,16,7,43.8,0.96,0.42,0.19,0.43,24.2,0,0,0,0.7,0.7,0.04,2.3,2.3
Timothy Castagne,BEL,"DF,FW",Fulham,30-018,1995,6.0,0,4,0,0.0,0.67,0.0,0.0,,8.7,0,0,0,0.4,0.4,0.11,-0.4,-0.4
Trevoh Chalobah,ENG,DF,Chelsea,26-171,1999,15.3,3,12,5,41.7,0.78,0.33,0.25,0.6,14.7,0,0,0,0.9,0.9,0.07,2.1,2.1
Rayan Cherki,FRA,"MF,FW",Manchester City,22-128,2003,6.2,1,12,4,33.3,1.95,0.65,0.08,0.25,19.6,1,0,0,1.0,1.0,0.08,0.0,0.0
Federico Chiesa,ITA,"FW,MF",Liverpool,28-059,1997,1.8,2,12,2,16.7,6.67,1.11,0.17,1.0,14.3,0,0,0,1.2,1.2,0.1,0.8,0.8
Tawanda Chirewa,ZIM,"MF,FW",Wolves,22-073,2003,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ryan Christie,SCO,MF,Bournemouth,30-304,1995,3.3,1,9,2,22.2,2.74,0.61,0.11,0.5,20.2,0,0,0,1.1,1.1,0.13,-0.1,-0.1
Samuel Chukwueze,NGA,FW,Fulham,26-215,1999,4.4,2,11,3,27.3,2.49,0.68,0.18,0.67,14.9,0,0,0,1.0,1.0,0.09,1.0,1.0
Nathaniel Clyne,ENG,DF,Crystal Palace,34-262,1991,2.5,0,2,0,0.0,0.81,0.0,0.0,,15.9,0,0,0,0.4,0.4,0.2,-0.4,-0.4
Séamus Coleman,IRL,"DF,FW",Everton,37-073,1988,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Nathan Collins,IRL,DF,Brentford,24-237,2001,16.2,0,9,3,33.3,0.56,0.19,0.0,0.0,7.5,0,0,0,1.1,1.1,0.12,-1.1,-1.1
Lewis Cook,ENG,"DF,MF",Bournemouth,28-323,1997,3.4,0,2,0,0.0,0.59,0.0,0.0,,28.8,0,0,0,0.0,0.0,0.02,0.0,0.0
Diego Coppola,ITA,DF,Brighton,21-360,2003,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Marc Cucurella,ESP,DF,Chelsea,27-154,1998,16.0,0,12,1,8.3,0.75,0.06,0.0,0.0,15.5,0,0,0,0.6,0.6,0.05,-0.6,-0.6
