Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 22_level_0_Ast,Unnamed: 23_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 26_level_0_KP,Unnamed: 27_level_0_1/3,Unnamed: 28_level_0_PPA,Unnamed: 29_level_0_CrsPA,Unnamed: 30_level_0_PrgP,Unnamed: 31_level_0_Matches
749,Weverson,br BRA,MF,RB Bragantino,21,2000,0.5,7,11,63.6,130,32,2,4,50.0,5,5,100.0,0,2,0.0,0,0.0,0.0,0.0,1,0,0,0,1,Matches
750,Weverton,br BRA,DF,Internacional,22,1999,0.5,28,35,80.0,477,148,12,15,80.0,14,16,87.5,2,3,66.7,0,0.0,0.0,0.0,1,2,0,0,3,Matches
751,Wéverton,br BRA,GK,Palmeiras,34,1987,34.0,803,1059,75.8,20934,14262,185,185,100.0,379,381,99.5,234,482,48.5,0,0.0,0.1,0.0,1,28,0,0,0,Matches
752,Rafael William,br BRA,GK,Coritiba,20,2001,6.0,89,126,70.6,2692,2098,17,17,100.0,36,36,100.0,35,71,49.3,1,0.4,0.0,+0.6,1,2,0,0,0,Matches
753,Willian,br BRA,"FW,MF",Fluminense,35,1986,5.3,141,173,81.5,1840,337,88,100,88.0,35,38,92.1,6,11,54.5,1,0.5,0.6,+0.5,6,10,1,0,14,Matches
754,Willian,br BRA,FW,Corinthians,33,1988,9.2,299,390,76.7,4932,1061,169,186,90.9,96,129,74.4,27,51,52.9,2,1.3,1.2,+0.7,17,26,15,1,48,Matches
755,Xavier,br BRA,MF,Corinthians,21,2000,1.8,62,73,84.9,916,292,37,40,92.5,19,22,86.4,5,8,62.5,0,0.1,0.0,-0.1,2,4,0,0,7,Matches
756,Samuel Xavier,br BRA,DF,Fluminense,31,1990,31.4,1642,1948,84.3,22145,7169,1027,1108,92.7,492,576,85.4,51,127,40.2,2,4.0,4.5,-2.0,37,100,37,16,141,Matches
757,Yago,br BRA,"MF,DF",Fluminense,26,1995,12.6,469,604,77.6,6799,1880,274,303,90.4,131,166,78.9,30,63,47.6,0,1.4,1.4,-1.4,14,45,10,5,38,Matches
758,Ytalo,br BRA,FW,RB Bragantino,34,1988,6.9,89,101,88.1,1258,152,48,52,92.3,28,32,87.5,6,9,66.7,0,0.3,0.2,-0.3,4,3,3,0,11,Matches
759,Marcos Ytalo,br BRA,DF,Ceará,25,1996,1.8,45,58,77.6,704,308,27,32,84.4,14,17,82.4,4,5,80.0,0,0.1,0.1,-0.1,3,2,2,1,6,Matches
760,Vinícius Zanocelo,br BRA,MF,Santos,21,2001,22.3,767,914,83.9,14283,2984,301,348,86.5,364,407,89.4,86,110,78.2,0,1.4,0.8,-1.4,21,80,7,1,102,Matches
761,Federico Zaracho,ar ARG,"MF,FW",Atlético Mineiro,23,1998,20.9,774,934,82.9,11346,2761,427,478,89.3,276,320,86.3,38,56,67.9,2,1.9,1.6,+0.1,31,68,13,1,90,Matches
