Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Patryck,BRA,DF,São Paulo,19,2003,1,1,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giuliano de Paula,BRA,MF,Corinthians,31,1990,32,18,1652,18.4,1,2,3,1,0,0,2,0,2.8,2.8,2.5,5.3,24,102,84,0.05,0.11,0.16,0.05,0.16,0.15,0.14,0.29,0.15,0.29
Patrick de Paula,BRA,MF,Botafogo (RJ),22,1999,18,12,1019,11.3,1,0,1,1,0,0,4,0,0.6,0.6,0.2,0.8,7,47,18,0.09,0.0,0.09,0.09,0.09,0.06,0.02,0.07,0.06,0.07
Paulão,BRA,DF,Cuiabá,35,1986,14,8,720,8.0,0,0,0,0,0,0,2,1,0.4,0.4,0.1,0.4,0,6,1,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.05,0.05,0.05
Paulinho,BRA,MF,Corinthians,33,1988,3,3,163,1.8,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.3,3,8,4,0.55,0.0,0.55,0.55,0.55,0.13,0.03,0.15,0.13,0.15
Caio Paulista,BRA,DF,Fluminense,23,1998,27,17,1609,17.9,1,3,4,1,0,0,3,1,2.2,2.2,2.0,4.3,80,55,129,0.06,0.17,0.22,0.06,0.22,0.12,0.11,0.24,0.12,0.24
Wellington Paulista,BRA,FW,América (MG),37,1984,19,2,517,5.7,2,0,2,1,1,1,2,0,1.8,1.0,0.1,1.1,4,22,23,0.35,0.0,0.35,0.17,0.17,0.31,0.02,0.33,0.17,0.19
João Paulo,BRA,DF,América (MG),35,1986,6,4,348,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,8,15,9,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06
João Paulo,BRA,GK,Santos,26,1995,37,37,3330,37.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos Paulo,BRA,DF,Flamengo,19,2003,1,0,29,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05
Cristian Pavón,ARG,"FW,MF",Atlético Mineiro,26,1996,18,7,692,7.7,1,0,1,1,0,0,2,0,1.3,1.1,0.8,1.9,29,34,97,0.13,0.0,0.13,0.13,0.13,0.17,0.1,0.27,0.15,0.25
