Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Ramiro Benetti,BRA,"MF,FW",Corinthians,28,1993,6.1,14,2.28,13,0,0,0,1,0,3,0.49,2,0,0,0,1,0
Martín Benítez,ARG,MF,América (MG),27,1994,8.4,57,6.8,34,15,2,4,1,1,6,0.72,4,2,0,0,0,0
Bento,BRA,GK,Ath Paranaense,22,1999,33.0,6,0.18,4,2,0,0,0,0,0,0.0,0,0,0,0,0,0
Lucas Beraldo,BRA,DF,São Paulo,18,2003,1.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Pedro Bicalho,BRA,MF,Palmeiras,20,2001,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Biro,BRA,FW,Corinthians,17,2004,1.2,3,2.5,1,1,0,1,0,0,0,0.0,0,0,0,0,0,0
Guilherme Biro,BRA,DF,Coritiba,21,2000,8.2,17,2.06,11,3,1,1,1,0,2,0.24,1,0,0,1,0,0
Guilherme Bissoli,BRA,FW,Avaí,24,1998,27.1,45,1.66,35,0,1,5,4,0,2,0.07,0,0,0,1,1,0
Marcelo Boeck,BRA,GK,Fortaleza,37,1984,13.0,2,0.15,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Vinícius Boff,BRA,MF,Cuiabá,22,1999,0.1,1,9.0,1,0,0,0,0,0,1,9.0,1,0,0,0,0,0
Paulinho Bóia,BRA,"FW,MF",América (MG),23,1998,3.2,13,4.08,6,3,2,0,2,0,2,0.63,0,1,0,0,1,0
Daniel Borges,BRA,DF,Botafogo (RJ),28,1993,20.8,51,2.46,26,23,0,1,0,1,3,0.14,1,2,0,0,0,0
Douglas Borges,BRA,GK,Botafogo (RJ),31,1990,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Marllon Borges,BRA,DF,Cuiabá,29,1992,33.4,11,0.33,10,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Gabriel Boschilia,BRA,"MF,FW",Internacional,25,1996,0.6,5,8.04,5,0,0,0,0,0,1,1.61,1,0,0,0,0,0
Gabriel Boschilia,BRA,MF,Coritiba,25,1996,5.3,13,2.46,9,2,0,2,0,0,0,0.0,0,0,0,0,0,0
Lucas Braga,BRA,"FW,MF",Santos,25,1996,23.1,66,2.86,45,2,11,1,7,0,4,0.17,3,0,0,0,1,0
David Braz,BRA,DF,Fluminense,34,1987,7.9,5,0.62,4,0,0,1,0,0,1,0.12,1,0,0,0,0,0
Breno,BRA,FW,Palmeiras,26,1996,3.7,16,4.36,13,0,0,1,2,0,4,1.09,3,0,0,0,1,0
Bressan,BRA,DF,Avaí,29,1993,20.6,9,0.44,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Emanuel Brítez,ARG,DF,Fortaleza,29,1992,20.0,20,1.0,11,8,0,0,1,0,3,0.15,0,2,0,0,1,0
Bruninho,BRA,"MF,FW",Juventude,21,2000,1.3,2,1.59,0,1,0,1,0,0,0,0.0,0,0,0,0,0,0
Bruninho,BRA,MF,RB Bragantino,18,2003,0.4,1,2.31,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Fabrício Bruno,BRA,DF,Flamengo,25,1996,13.0,5,0.38,4,1,0,0,0,0,2,0.15,2,0,0,0,0,0
Ricardo Bueno,BRA,FW,Juventude,34,1987,9.0,18,2.01,12,0,0,3,2,1,2,0.22,1,0,0,0,1,0
Vitor Bueno,BRA,"MF,FW",Ath Paranaense,27,1994,12.5,36,2.89,26,1,2,2,3,2,4,0.32,2,0,1,1,0,0
Busanello,BRA,DF,Juventude,23,1998,3.2,5,1.55,3,2,0,0,0,0,2,0.62,1,1,0,0,0,0
Fabricio Bustos,ARG,DF,Internacional,25,1996,29.7,63,2.12,57,4,1,1,0,0,8,0.27,7,1,0,0,0,0
Nahuel Bustos,ARG,FW,São Paulo,23,1998,3.2,5,1.58,2,0,1,1,1,0,0,0.0,0,0,0,0,0,0
Daniel Cabral,BRA,FW,Flamengo,19,2002,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Patric Cabral Lalau,BRA,DF,América (MG),32,1989,19.1,64,3.35,43,18,1,1,1,0,1,0.05,1,0,0,0,0,0
Raúl Cáceres,PAR,DF,América (MG),30,1991,18.0,53,2.95,38,11,0,3,0,1,4,0.22,4,0,0,0,0,0
Matheus Cadorini,BRA,FW,Internacional,19,2002,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Matheus Cadorini,BRA,FW,Coritiba,19,2002,3.5,6,1.71,3,0,0,3,0,0,0,0.0,0,0,0,0,0,0
Caetano,BRA,DF,Goiás,22,1999,24.6,20,0.81,15,1,0,1,0,3,1,0.04,1,0,0,0,0,0
Jonathan Cafu,BRA,"DF,MF",Cuiabá,30,1991,6.2,17,2.73,14,0,1,2,0,0,4,0.64,2,0,1,1,0,0
Rodrigo Caio,BRA,DF,Flamengo,28,1993,6.5,2,0.31,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Calebe,BRA,"MF,FW",Atlético Mineiro,21,2000,2.9,10,3.41,8,0,0,1,0,1,0,0.0,0,0,0,0,0,0
Lucas Calegari,BRA,DF,Fluminense,19,2002,7.3,16,2.19,14,0,0,0,2,0,1,0.14,1,0,0,0,0,0
Jonathan Calleri,ARG,FW,São Paulo,28,1993,31.3,72,2.3,44,0,5,11,11,1,4,0.13,2,0,1,1,0,0
Guilherme Camacho,BRA,MF,Santos,31,1990,18.1,35,1.93,33,1,0,1,0,0,3,0.17,3,0,0,0,0,0
Nathan Camargo,BRA,"MF,FW",RB Bragantino,16,2005,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Camilo,BRA,MF,Cuiabá,22,1999,18.5,21,1.14,19,0,0,1,1,0,0,0.0,0,0,0,0,0,0
Camutanga,BRA,DF,Atl Goianiense,28,1993,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Luan Cândido,BRA,DF,RB Bragantino,20,2001,29.2,47,1.61,34,7,0,4,2,0,5,0.17,4,0,0,1,0,0
Germán Cano,ARG,FW,Fluminense,33,1988,34.2,53,1.55,39,0,3,7,4,0,5,0.15,4,0,0,0,1,0
Agustín Canobbio,URU,FW,Ath Paranaense,23,1998,15.6,42,2.69,29,5,3,3,2,0,1,0.06,0,0,0,0,1,0
Víctor Cantillo,COL,MF,Corinthians,28,1993,10.2,19,1.87,13,5,0,0,0,1,1,0.1,1,0,0,0,0,0
Capixaba,BRA,"FW,MF",Juventude,25,1997,18.4,34,1.85,22,3,4,2,3,0,1,0.05,1,0,0,0,0,0
Juninho Capixaba,BRA,DF,Fortaleza,24,1997,32.3,104,3.22,65,20,6,4,7,2,8,0.25,7,0,0,1,0,0
Gabriel Carabajal,ARG,"MF,FW",Santos,30,1991,5.5,15,2.72,7,7,0,1,0,0,1,0.18,1,0,0,0,0,0
Danilo Cardoso,BRA,DF,Goiás,24,1997,2.6,1,0.38,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Johnny Cardoso,USA,MF,Internacional,20,2001,15.7,41,2.62,34,0,1,2,2,2,2,0.13,1,0,0,1,0,0
Igor Cariús,BRA,"DF,MF",Cuiabá,28,1993,12.9,24,1.86,18,2,0,1,1,2,1,0.08,1,0,0,0,0,0
Joel Carli,ARG,DF,Botafogo (RJ),35,1986,4.1,4,0.98,4,0,0,0,0,0,1,0.25,1,0,0,0,0,0
Ed Carlos,BRA,MF,Santos,20,2001,2.9,8,2.77,7,1,0,0,0,0,2,0.69,2,0,0,0,0,0
Jan Carlos Hurtado,VEN,FW,RB Bragantino,21,2000,5.4,11,2.02,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0
João Carlos,BRA,GK,Cuiabá,33,1988,10.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Alan Carvalho,CHN,"FW,MF",Fluminense,32,1989,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Guilherme Carvalho,BRA,MF,Ceará,22,1999,7.6,18,2.38,11,3,1,2,0,1,2,0.26,2,0,0,0,0,0
Guilherme Carvalho,BRA,"MF,DF",Atlético Mineiro,22,1999,1.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Cássio,BRA,GK,Corinthians,34,1987,34.0,1,0.03,1,0,0,0,0,0,1,0.03,1,0,0,0,0,0
Luciano Castán,BRA,DF,Coritiba,32,1989,35.0,20,0.57,17,1,0,2,0,0,1,0.03,1,0,0,0,0,0
Iury de Castilho,BRA,FW,Ceará,26,1995,5.8,18,3.11,11,0,1,3,3,0,2,0.35,1,0,0,0,1,0
Cauã,BRA,DF,Juventude,18,2003,0.5,1,2.14,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Matheus Cavichioli,BRA,GK,América (MG),35,1986,25.0,2,0.08,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Brayan Ceballos,COL,DF,Fortaleza,20,2001,11.9,11,0.92,8,0,0,1,0,2,0,0.0,0,0,0,0,0,0
Murilo Cerqueira,BRA,DF,Palmeiras,24,1997,31.5,36,1.14,34,0,0,2,0,0,2,0.06,2,0,0,0,0,0
Reynaldo Cesar Moraes,BRA,DF,Goiás,25,1997,30.5,11,0.36,10,0,0,1,0,0,0,0.0,0,0,0,0,0,0
