Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 24_level_0_Matches
111,Calebe,br BRA,"MF,FW",Fortaleza,22,2000,16.4,2,0,0,11,52,3,68,6,10,0,0,0,83,2,15,11.8,Matches
112,Jonathan Calleri,ar ARG,FW,São Paulo,29,1993,15.0,6,0,0,37,36,14,11,5,4,2,0,0,28,58,54,51.8,Matches
113,Patric Calmon PK,br BRA,DF,Cuiabá,28,1994,5.8,3,1,1,11,4,1,29,9,9,0,0,0,22,13,7,65.0,Matches
114,Guilherme Camacho,br BRA,MF,Santos,32,1990,5.0,5,1,1,18,3,1,4,5,9,0,0,0,28,5,4,55.6,Matches
115,Nathan Camargo,br BRA,MF,RB Bragantino,17,2005,0.1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,,Matches
116,Gustavo Campanharo,br BRA,MF,Internacional,30,1992,7.7,6,0,0,24,9,0,2,12,16,0,0,0,44,7,7,50.0,Matches
117,Camilo Cándido,uy URU,DF,Bahia,27,1995,13.8,2,1,0,19,7,1,46,22,16,0,1,0,85,5,16,23.8,Matches
118,Luan Cândido,br BRA,DF,RB Bragantino,21,2001,12.0,3,0,0,20,6,1,14,13,12,0,0,0,43,47,24,66.2,Matches
119,Germán Cano,ar ARG,FW,Fluminense,34,1988,27.4,8,0,0,33,12,17,21,6,9,0,0,0,73,10,20,33.3,Matches
120,Agustín Canobbio,uy URU,"FW,MF",Ath Paranaense,24,1998,23.5,10,0,0,42,50,13,69,8,39,1,1,0,143,19,31,38.0,Matches
121,Víctor Cantillo,co COL,MF,Corinthians,29,1993,3.0,0,0,0,4,5,0,0,6,6,0,0,0,18,5,3,62.5,Matches
122,Manuel Capasso,ar ARG,DF,Vasco da Gama,26,1996,6.2,4,0,0,6,0,1,0,8,4,0,0,0,37,18,8,69.2,Matches
123,Juninho Capixaba,br BRA,DF,RB Bragantino,25,1997,31.9,12,0,0,68,61,3,100,79,54,0,0,0,229,57,50,53.3,Matches
124,Gabriel Carabajal,ar ARG,MF,Vasco da Gama,31,1991,1.4,0,0,0,3,2,0,20,2,1,0,0,0,11,2,4,33.3,Matches
125,Felipe Carballo,uy URU,MF,Grêmio,26,1996,17.1,3,0,0,20,6,0,14,18,16,0,0,0,118,18,15,54.5,Matches
126,Johnny Cardoso,us USA,MF,Internacional,21,2001,17.9,7,0,0,26,26,2,4,31,23,0,1,0,89,27,24,52.9,Matches
127,Ed Carlos,br BRA,"MF,FW",Santos,21,2001,0.4,0,0,0,0,0,0,2,0,1,0,0,0,5,1,0,100.0,Matches
128,João Carlos,br BRA,GK,Cuiabá,34,1988,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
129,Ryan Carlos,br BRA,DF,Bahia,20,2002,6.4,3,0,0,8,3,1,34,8,6,0,0,0,40,10,7,58.8,Matches
130,Alan Carvalho,cn CHN,MF,Fluminense,33,1989,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,50.0,Matches
131,Cássio,br BRA,GK,Corinthians,35,1987,36.8,2,0,0,1,6,0,0,0,0,0,1,0,16,11,1,91.7,Matches
132,Luciano Castán,br BRA,DF,Cruzeiro,33,1989,35.7,7,0,0,25,20,2,3,29,18,0,0,0,172,89,66,57.4,Matches
133,Iury de Castilho,br BRA,FW,Cuiabá,27,1995,4.4,1,0,0,8,11,6,10,1,3,0,0,0,20,9,17,34.6,Matches
134,Matheus Cavichioli,br BRA,GK,América (MG),36,1986,15.0,0,1,0,1,2,0,0,1,1,0,0,1,18,4,0,100.0,Matches
135,Juan Cazares,ec ECU,"MF,FW",América (MG),30,1992,3.1,0,0,0,2,3,0,18,0,2,0,0,0,15,1,4,20.0,Matches
136,Brayan Ceballos,co COL,DF,Fortaleza,21,2001,2.3,2,0,0,2,1,0,0,2,2,0,0,0,17,9,1,90.0,Matches
137,Pablo Ceppelini,uy URU,MF,Cuiabá,31,1991,11.1,3,0,0,15,14,1,120,9,6,0,0,0,54,5,9,35.7,Matches
138,Murilo Cerqueira,br BRA,DF,Palmeiras,25,1997,24.1,6,1,1,32,10,2,1,28,20,0,0,0,113,41,26,61.2,Matches
139,Ricardo Cerqueira,br BRA,MF,Cuiabá,20,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
