Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 36_level_0_Matches
278,Giovanni,br BRA,"MF,DF",Fluminense,21,2002,5,1,96,1.1,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,3,2,7,0.00,0.00,0.00,0.00,0.00,0.09,0.33,0.41,0.09,0.41,Matches
279,Bruno Gomes,br BRA,MF,Coritiba,21,2001,29,26,2194,24.4,3,1,4,3,0,0,4,1,2.3,2.3,2.1,4.4,53,115,61,0.12,0.04,0.16,0.12,0.16,0.09,0.09,0.18,0.09,0.18,Matches
280,Igor Gomes,br BRA,"MF,FW",Atlético Mineiro,23,1999,29,17,1374,15.3,2,2,4,2,0,0,1,0,1.9,1.9,3.2,5.1,32,67,83,0.13,0.13,0.26,0.13,0.26,0.12,0.21,0.34,0.12,0.34,Matches
281,Igor Gomes,br BRA,DF,Internacional,21,2001,24,14,1465,16.3,0,0,0,0,0,0,4,0,0.6,0.6,0.3,1.0,36,53,40,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
282,Marlon Gomes,br BRA,"MF,FW",Vasco da Gama,19,2003,23,14,1144,12.7,0,1,1,0,0,0,4,0,0.5,0.5,2.0,2.4,39,33,51,0.00,0.08,0.08,0.00,0.08,0.04,0.15,0.19,0.04,0.19,Matches
283,William Gomes,br BRA,FW,São Paulo,16,2006,3,0,76,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,2,7,0.00,0.00,0.00,0.00,0.00,0.09,0.05,0.14,0.09,0.14,Matches
284,Gustavo Gómez,py PAR,DF,Palmeiras,29,1993,32,32,2760,30.7,2,3,5,2,0,0,10,2,2.2,2.2,2.8,4.9,13,86,19,0.07,0.10,0.16,0.07,0.16,0.07,0.09,0.16,0.07,0.16,Matches
285,Sebastián Gómez,co COL,MF,Coritiba,26,1996,20,18,1427,15.9,2,1,3,2,0,0,3,0,0.8,0.8,0.5,1.4,17,42,33,0.13,0.06,0.19,0.13,0.19,0.05,0.03,0.09,0.05,0.09,Matches
286,Aloísio dos Santos Gonçalves,cn CHN,"FW,MF",América (MG),34,1988,12,10,717,8.0,3,1,4,1,2,2,3,0,4.1,2.7,0.7,3.4,6,9,49,0.38,0.13,0.50,0.13,0.25,0.52,0.09,0.61,0.34,0.43,Matches
287,Diego Gonçalves,br BRA,"FW,MF",Goiás,28,1994,10,4,356,4.0,0,0,0,0,0,0,1,0,0.5,0.5,0.4,0.9,6,11,26,0.00,0.00,0.00,0.00,0.00,0.12,0.11,0.23,0.12,0.23,Matches
