Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 25_level_0_Matches
495,Kaiky Naves,br BRA,"DF,FW",Palmeiras,20,2002,5.8,0,2,0,0.0,0.34,0.00,0.00,,9.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
496,Felipe Negrucci,br BRA,MF,São Paulo,18,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
497,Emerson Negueba,br BRA,FW,Cuiabá,22,2000,5.4,0,12,4,33.3,2.23,0.74,0.00,0.00,20.2,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
498,Neris,br BRA,DF,Cruzeiro,30,1992,23.5,0,15,4,26.7,0.64,0.17,0.00,0.00,11.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
499,Rodrigo Nestor,br BRA,"MF,FW",São Paulo,22,2000,16.1,1,35,12,34.3,2.17,0.74,0.03,0.08,19.4,0,0,0,3.2,3.2,0.09,-2.2,-2.2,Matches
500,João Neto,br BRA,"MF,DF",Fluminense,19,2003,0.6,1,1,1,100.0,1.73,1.73,1.00,1.00,7.0,0,0,0,0.4,0.4,0.41,+0.6,+0.6,Matches
501,Gabriel Neves,uy URU,MF,São Paulo,25,1997,10.7,1,1,1,100.0,0.09,0.09,1.00,1.00,13.6,0,0,0,0.1,0.1,0.10,+0.9,+0.9,Matches
502,Newton,br BRA,MF,Botafogo (RJ),22,2000,0.1,0,1,0,0.0,11.25,0.00,0.00,,30.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
503,Nicolas,br BRA,DF,América (MG),25,1997,8.0,1,8,5,62.5,1.00,0.62,0.13,0.20,29.5,4,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
504,Nikão,br BRA,"FW,MF",Cruzeiro,30,1992,8.9,2,16,4,25.0,1.80,0.45,0.13,0.50,21.3,0,0,0,0.6,0.6,0.04,+1.4,+1.4,Matches
505,Nino,br BRA,DF,Fluminense,25,1997,23.9,2,14,6,42.9,0.58,0.25,0.14,0.33,12.9,0,0,0,1.2,1.2,0.09,+0.8,+0.8,Matches
506,Freddy Noguera,py PAR,FW,Grêmio,19,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
507,Nonato,br BRA,MF,Santos,24,1998,7.3,1,9,3,33.3,1.23,0.41,0.11,0.33,24.5,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
508,Gabriel Novaes,br BRA,FW,Goiás,23,1999,1.1,0,1,1,100.0,0.95,0.95,0.00,0.00,21.5,0,0,0,0.4,0.4,0.42,-0.4,-0.4,Matches
509,Ruan Oliveira Ferreira,br BRA,"MF,FW",Corinthians,22,2000,9.8,2,15,6,40.0,1.53,0.61,0.13,0.33,28.4,3,0,0,0.5,0.5,0.03,+1.5,+1.5,Matches
510,Lucas Oliveira,br BRA,DF,Cruzeiro,26,1996,14.6,1,4,1,25.0,0.27,0.07,0.25,1.00,14.3,0,0,0,0.4,0.4,0.10,+0.6,+0.6,Matches
511,Cauly Oliveira Souza,br BRA,"MF,FW",Bahia,27,1995,28.3,4,65,18,27.7,2.30,0.64,0.06,0.22,19.9,4,0,0,5.4,5.4,0.08,-1.4,-1.4,Matches
512,Luca Orellano,ar ARG,"FW,MF",Vasco da Gama,22,2000,6.9,1,17,5,29.4,2.46,0.72,0.06,0.20,23.1,3,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
513,Leo Ortiz,br BRA,DF,RB Bragantino,27,1996,17.8,2,14,6,42.9,0.79,0.34,0.14,0.33,10.7,0,0,0,1.9,1.9,0.14,+0.1,+0.1,Matches
514,Otávio,br BRA,MF,Atlético Mineiro,28,1994,25.6,0,8,2,25.0,0.31,0.08,0.00,0.00,24.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
515,João Othavio Basso,br BRA,DF,Santos,26,1997,12.8,0,7,0,0.0,0.55,0.00,0.00,,18.9,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
516,Luis Oyama,br BRA,MF,Goiás,26,1997,6.2,1,6,2,33.3,0.96,0.32,0.17,0.50,23.2,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches
517,Pablinho,br BRA,FW,Cuiabá,19,2003,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
518,Pablo,br BRA,FW,Ath Paranaense,30,1992,15.5,7,43,15,34.9,2.77,0.97,0.16,0.47,16.5,0,0,0,6.1,6.1,0.14,+0.9,+0.9,Matches
519,Pablo,br BRA,DF,Flamengo,31,1991,4.7,0,2,2,100.0,0.43,0.43,0.00,0.00,9.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
520,Bruno Pacheco,br BRA,DF,Fortaleza,31,1991,29.7,2,16,6,37.5,0.54,0.20,0.13,0.33,16.6,0,0,0,0.9,0.9,0.06,+1.1,+1.1,Matches
521,Helibelton Palacios,co COL,DF,Cruzeiro,29,1993,7.0,0,2,0,0.0,0.29,0.00,0.00,,14.1,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
522,Julián Palacios,ar ARG,"FW,MF",Goiás,23,1999,18.1,1,32,10,31.3,1.76,0.55,0.03,0.10,25.3,2,0,0,1.4,1.4,0.04,-0.4,-0.4,Matches
523,Nino Paraíba,br BRA,DF,América (MG),37,1986,2.2,0,2,1,50.0,0.91,0.46,0.00,0.00,28.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
524,Mateus Pasinato,br BRA,GK,América (MG),30,1992,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
525,Weslley Patati,br BRA,"FW,MF",Santos,19,2003,1.5,0,11,1,9.1,7.28,0.66,0.00,0.00,19.7,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
526,Alexandre Pato,br BRA,"FW,MF",São Paulo,33,1989,1.8,2,4,2,50.0,2.24,1.12,0.50,1.00,21.5,0,0,1,1.3,0.3,0.09,+0.7,+1.7,Matches
527,Patrick,br BRA,"MF,FW",Atlético Mineiro,30,1992,6.2,0,6,1,16.7,0.97,0.16,0.00,0.00,11.0,0,0,0,0.9,0.9,0.16,-0.9,-0.9,Matches
528,Alan Patrick,br BRA,"MF,FW",Internacional,31,1991,27.2,4,47,12,25.5,1.73,0.44,0.06,0.25,23.3,7,1,1,4.4,3.6,0.08,-0.4,-0.6,Matches
529,Luan Patrick,br BRA,DF,RB Bragantino,21,2002,12.4,0,4,1,25.0,0.32,0.08,0.00,0.00,7.6,0,0,0,0.6,0.6,0.14,-0.6,-0.6,Matches
530,Patryck,br BRA,DF,São Paulo,20,2003,4.2,0,2,0,0.0,0.48,0.00,0.00,,24.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
531,Giuliano de Paula,br BRA,"MF,FW",Corinthians,32,1990,18.1,2,23,7,30.4,1.27,0.39,0.09,0.29,19.3,0,0,0,1.5,1.5,0.06,+0.5,+0.5,Matches
532,Paulinho,br BRA,DF,América (MG),18,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
533,Paulinho,br BRA,"FW,MF",Atlético Mineiro,22,2000,33.2,20,90,47,52.2,2.71,1.41,0.22,0.43,13.3,0,0,0,14.8,14.8,0.16,+5.2,+5.2,Matches
534,Paulinho,br BRA,MF,Vasco da Gama,26,1997,18.7,1,12,2,16.7,0.64,0.11,0.08,0.50,22.3,2,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
535,Paulinho,br BRA,"MF,FW",Corinthians,34,1988,1.6,0,2,0,0.0,1.22,0.00,0.00,,16.7,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
536,Caio Paulista,br BRA,DF,São Paulo,24,1998,23.1,1,34,14,41.2,1.47,0.61,0.03,0.07,20.4,0,0,0,2.0,2.0,0.06,-1.0,-1.0,Matches
537,Wellington Paulista,br BRA,FW,América (MG),38,1984,2.5,1,12,1,8.3,4.76,0.40,0.08,1.00,16.0,0,0,1,1.9,1.0,0.08,-0.9,0.0,Matches
538,João Paulo,br BRA,GK,Santos,27,1995,35.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
539,Marcos Paulo,br BRA,"FW,MF",São Paulo,21,2001,5.9,2,12,4,33.3,2.05,0.68,0.17,0.50,16.0,0,0,0,0.8,0.8,0.06,+1.2,+1.2,Matches
540,Cristian Pavón,ar ARG,"FW,MF",Atlético Mineiro,27,1996,21.5,3,53,17,32.1,2.47,0.79,0.04,0.12,20.5,1,1,1,4.1,3.3,0.06,-1.1,-1.3,Matches
541,Dimitri Payet,fr FRA,"MF,FW",Vasco da Gama,35,1987,8.9,2,11,5,45.5,1.24,0.56,0.18,0.40,22.0,4,0,0,0.6,0.6,0.06,+1.4,+1.4,Matches
542,Pedrinho,br BRA,"FW,MF",América (MG),23,1999,4.6,0,14,4,28.6,3.07,0.88,0.00,0.00,17.1,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
