Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Unnamed: 8_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 23_level_0_Matches
248,Alan Franco,ec ECU,"MF,FW",Atlético Mineiro,24,1998,9.3,356,347,9,9,0,0,4,0,0,0,0,0,302,0,4,Matches
249,Alan Franco,ar ARG,DF,São Paulo,26,1996,12.5,930,907,22,19,0,1,0,3,0,0,0,0,853,1,6,Matches
250,Fransérgio,br BRA,MF,Coritiba,32,1990,5.9,298,284,14,14,1,3,3,0,0,0,0,0,234,0,10,Matches
251,Marlon Freitas,br BRA,MF,Botafogo (RJ),27,1995,32.3,1893,1773,116,108,5,33,11,5,1,0,0,0,1638,4,27,Matches
252,Bruno Fuchs,br BRA,DF,Atlético Mineiro,23,1999,12.1,661,632,27,22,1,8,3,5,0,0,0,0,554,2,3,Matches
253,Julio Furch,ar ARG,"FW,MF",Santos,33,1989,6.8,195,186,8,1,0,1,7,0,0,0,0,0,125,1,8,Matches
254,Gabriel,br BRA,DF,Bahia,21,2001,10.9,519,493,26,22,0,8,0,2,0,0,0,0,408,0,3,Matches
255,Gabriel,br BRA,MF,Internacional,30,1992,8.5,655,633,20,20,0,3,2,0,0,0,0,0,600,2,5,Matches
256,Gabriel,br BRA,GK,Coritiba,30,1992,30.7,1002,649,349,93,0,2,0,0,0,0,0,0,663,4,0,Matches
257,Gabriel,br BRA,MF,Botafogo (RJ),29,1993,9.6,541,520,20,13,2,9,22,1,6,1,5,0,397,1,8,Matches
258,Eduardo Gabriel,br BRA,DF,Santos,26,1996,3.0,106,98,8,7,0,0,0,1,0,0,0,0,89,0,3,Matches
259,Thalisson Gabriel,br BRA,DF,Coritiba,21,2002,10.5,464,446,17,15,0,3,1,2,0,0,0,0,380,1,5,Matches
260,Zé Gabriel,br BRA,MF,Vasco da Gama,24,1999,21.5,1079,1040,35,34,0,11,1,1,0,0,0,0,944,4,8,Matches
261,Ighor Gabryel,br BRA,FW,América (MG),20,2003,0.3,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
262,Matías Galarza,py PAR,MF,Vasco da Gama,20,2002,4.5,135,129,3,2,0,0,10,1,0,0,0,0,93,3,4,Matches
263,Thiago Galhardo,br BRA,"FW,MF",Fortaleza,33,1989,20.8,488,439,41,5,6,2,9,5,0,0,0,0,342,8,18,Matches
264,JP Galvão,br BRA,DF,Botafogo (RJ),21,2001,2.2,87,67,20,0,0,2,6,20,0,0,0,0,67,0,1,Matches
265,Ganso,br BRA,MF,Fluminense,33,1989,19.3,1395,1270,115,62,4,4,46,18,35,22,1,1,1202,10,17,Matches
266,Maurício Garcez,br BRA,"MF,FW",Coritiba,25,1997,6.6,137,130,6,1,0,0,9,2,0,0,0,0,92,1,9,Matches
267,García,br BRA,DF,Palmeiras,21,2002,3.3,183,142,40,5,1,0,13,35,0,0,0,0,134,1,2,Matches
268,Bryan García,ec ECU,MF,Ath Paranaense,22,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
269,Luan Garcia,br BRA,DF,Palmeiras,29,1993,20.2,1037,1000,32,27,1,10,8,4,0,0,0,0,879,5,4,Matches
270,Rafael Gava,br BRA,MF,Cuiabá,29,1993,0.2,6,4,2,1,0,0,1,0,1,0,1,0,5,0,0,Matches
271,Pedro Geromel,br BRA,DF,Grêmio,37,1985,5.2,232,225,7,7,0,4,2,0,0,0,0,0,195,0,3,Matches
272,Gerson,br BRA,MF,Flamengo,25,1997,29.9,1518,1442,70,42,9,10,31,23,0,0,0,0,1304,6,41,Matches
273,Gil,br BRA,DF,Corinthians,35,1987,32.0,1458,1404,51,48,0,4,2,1,0,0,0,0,1284,3,7,Matches
274,Gilberto,br BRA,FW,Cruzeiro,33,1989,12.1,266,238,25,0,1,2,6,1,0,0,0,0,200,3,12,Matches
275,Gilberto,br BRA,DF,Bahia,29,1993,20.6,1205,985,215,27,5,12,50,188,0,0,0,0,980,5,31,Matches
276,Giovane,br BRA,FW,Corinthians,19,2003,1.5,27,26,1,0,0,1,0,0,0,0,0,0,19,0,3,Matches
277,Giovani,br BRA,FW,Palmeiras,19,2004,0.2,9,9,0,0,1,0,1,0,0,0,0,0,4,0,0,Matches
278,Giovanni,br BRA,"MF,DF",Fluminense,21,2002,1.1,88,82,5,1,0,0,2,4,0,0,0,0,75,1,1,Matches
279,Bruno Gomes,br BRA,MF,Coritiba,21,2001,24.4,901,824,68,39,4,4,30,6,19,8,7,0,682,9,18,Matches
280,Igor Gomes,br BRA,"MF,FW",Atlético Mineiro,23,1999,15.3,705,652,53,11,6,2,63,5,36,25,5,0,523,0,16,Matches
281,Igor Gomes,br BRA,DF,Internacional,21,2001,16.3,1040,934,102,21,1,6,28,81,0,0,0,0,829,4,24,Matches
282,Marlon Gomes,br BRA,"MF,FW",Vasco da Gama,19,2003,12.7,520,498,20,13,0,1,11,6,1,0,0,0,409,2,17,Matches
283,William Gomes,br BRA,FW,São Paulo,16,2006,0.8,18,11,7,0,0,0,7,1,6,4,0,0,9,0,1,Matches
284,Gustavo Gómez,py PAR,DF,Palmeiras,29,1993,30.7,1676,1610,60,55,0,9,11,4,0,0,0,0,1393,6,8,Matches
285,Sebastián Gómez,co COL,MF,Coritiba,26,1996,15.9,544,516,24,12,0,2,14,7,5,5,0,0,454,4,8,Matches
286,Aloísio dos Santos Gonçalves,cn CHN,"FW,MF",América (MG),34,1988,8.0,161,138,21,0,0,2,6,0,0,0,0,0,99,2,9,Matches
287,Diego Gonçalves,br BRA,"FW,MF",Goiás,28,1994,4.0,115,106,7,1,1,3,6,1,2,0,0,0,87,2,2,Matches
288,Mateus Gonçalves Martins,br BRA,"MF,FW",América (MG),28,1994,0.7,28,27,1,0,0,0,4,0,1,0,1,0,23,0,2,Matches
289,Matheus Gonçalves,br BRA,"FW,MF",Flamengo,17,2005,0.2,18,17,1,0,0,0,1,0,1,1,0,0,15,0,0,Matches
290,Matheus Gonçalves,br BRA,"FW,MF",RB Bragantino,17,2005,5.1,276,263,11,3,1,4,11,4,4,1,0,0,213,2,5,Matches
