Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Juanmi Latasa,ESP,FW,Getafe,21,2001,5.0,164,159,3,0,0,1,2,0,0,0,0,0,80,2,7
Toni Lato,ESP,"DF,MF",Valencia,24,1997,10.2,490,417,72,10,1,3,32,50,12,2,6,0,390,1,9
Lázaro,BRA,"FW,MF",Almería,20,2002,8.0,218,204,14,1,0,5,9,1,3,2,0,0,170,0,5
Robin Le Normand,ESP,DF,Real Sociedad,25,1996,31.1,1740,1653,85,61,2,7,1,3,0,0,0,0,1533,2,4
Benjamin Lecomte,FRA,GK,Espanyol,31,1991,10.0,275,149,123,43,0,2,0,0,0,0,0,0,179,3,0
Jeremías Ledesma,ARG,GK,Cádiz,29,1993,34.0,1114,674,435,150,0,3,0,0,0,0,0,0,585,5,0
Florian Lejeune,FRA,DF,Rayo Vallecano,31,1991,28.5,1417,1329,82,71,1,38,9,6,4,4,0,0,1110,6,11
Iñigo Lekue,ESP,DF,Athletic Club,29,1993,14.7,807,668,137,16,0,4,43,119,2,0,1,0,624,2,18
Thomas Lemar,FRA,MF,Atlético Madrid,26,1995,13.9,814,776,36,10,6,7,44,9,15,5,7,0,690,2,16
Sergio León,ESP,FW,Valladolid,33,1989,14.8,206,172,31,0,0,6,9,2,0,0,0,0,138,3,6
Robert Lewandowski,POL,FW,Barcelona,33,1988,31.6,793,767,14,4,16,5,19,0,0,0,0,0,602,12,24
Samuel Lino,BRA,"FW,MF",Valencia,22,1999,32.1,1163,1121,37,5,5,2,82,22,10,1,2,0,878,5,57
Pol Lirola,ESP,DF,Elche,24,1997,7.0,325,260,65,6,0,3,32,59,0,0,0,0,240,0,11
Javier Llabrés,ESP,FW,Mallorca,19,2002,0.2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Marcos Llorente,ESP,"MF,DF",Atlético Madrid,27,1995,18.9,816,759,53,0,1,4,44,53,0,0,0,0,660,4,26
