Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Yuri Berchiche,ESP,DF,Athletic Club,33,1990,21.4,1504,78,437,754,327,34,1504,13,9,69.2,2,15.4,767,3300,1786,36,31,5,12,10,843,77
Álex Berenguer,ESP,FW,Athletic Club,28,1995,17.7,818,17,87,259,480,74,816,61,21,34.4,35,57.4,442,2812,1430,61,35,23,42,36,522,143
Antonio Blanco,ESP,MF,Alavés,23,2000,27.0,1283,64,339,740,224,18,1283,33,19,57.6,8,24.2,620,2633,1271,20,15,3,19,22,762,22
Daley Blind,NED,DF,Girona,33,1990,33.0,2869,229,1192,1426,271,27,2869,26,17,65.4,9,34.6,1871,8942,4795,48,30,3,18,3,2186,22
Adri Bosch,ESP,DF,Granada,22,2001,0.3,17,2,10,8,0,0,17,0,0,,0,,8,86,43,1,0,0,0,0,9,1
Yassine Bounou,MAR,GK,Sevilla,32,1991,1.0,31,25,30,1,0,0,31,0,0,,0,,16,77,64,0,0,0,0,0,16,0
Lucas Boyé,ARG,FW,Granada,27,1996,28.2,1132,56,133,560,454,119,1132,130,53,40.8,75,57.7,634,3083,1036,36,42,16,114,86,747,131
Darko Brašanac,SRB,MF,Osasuna,31,1992,0.5,17,1,1,8,8,1,17,0,0,,0,,7,75,50,2,1,0,0,0,13,3
Brau,ESP,DF,Granada,21,2001,0.3,14,2,4,4,6,1,14,1,1,100.0,0,0.0,8,66,45,2,2,0,1,0,9,0
Claudio Bravo,CHI,GK,Betis,40,1983,7.0,241,194,239,2,0,0,241,0,0,,0,,132,817,591,0,0,0,0,0,100,0
Ben Brereton,CHI,"FW,MF",Villarreal,24,1999,3.0,109,1,12,35,63,13,109,10,2,20.0,8,80.0,75,518,211,6,12,3,5,5,91,35
Ante Budimir,CRO,FW,Osasuna,32,1991,27.1,736,23,53,307,382,152,732,31,10,32.3,20,64.5,311,1272,504,21,12,17,81,31,508,99
Manu Bueno,ESP,MF,Sevilla,19,2004,1.3,68,2,26,30,13,0,68,2,1,50.0,1,50.0,40,180,85,1,2,0,7,1,53,1
Pablo Busto,ESP,DF,Betis,17,2005,0.5,33,2,8,17,8,0,33,1,1,100.0,0,0.0,12,80,52,1,0,0,0,1,17,1
José Callejón,ESP,"MF,FW",Granada,36,1987,8.9,446,19,101,199,150,20,446,9,3,33.3,4,44.4,235,1030,426,10,10,1,10,6,284,50
Eduardo Camavinga,FRA,"MF,DF",Real Madrid,20,2002,20.2,1605,55,399,885,344,20,1605,69,36,52.2,18,26.1,1011,5798,3129,49,56,5,26,24,1196,31
Sergio Camello,ESP,FW,Rayo Vallecano,22,2001,18.5,580,18,47,278,265,62,580,49,16,32.7,31,63.3,327,1613,637,22,20,10,53,26,421,79
José Campaña,ESP,MF,Las Palmas,30,1993,1.9,180,10,54,104,23,0,180,3,1,33.3,2,66.7,117,556,184,1,1,0,4,2,132,4
João Cancelo,POR,DF,Barcelona,29,1994,27.8,2206,84,452,1110,670,71,2206,111,61,55.0,38,34.2,1250,7317,3916,106,58,39,55,25,1469,193
Sergi Canós,ESP,"MF,FW",Valencia,26,1997,13.7,583,7,83,230,280,55,583,38,18,47.4,18,47.4,320,1687,839,32,13,11,30,12,383,88
Étienne Capoue,FRA,MF,Villarreal,35,1988,16.2,1020,41,240,575,217,24,1020,45,22,48.9,21,46.7,573,2737,1248,24,27,5,32,20,747,38
Isaac Carcelen,ESP,DF,Cádiz,30,1993,29.0,1425,98,432,647,351,11,1425,22,13,59.1,9,40.9,563,2560,1250,25,29,1,19,19,671,70
Dani Cárdenas,ESP,GK,Rayo Vallecano,26,1997,1.0,41,32,41,0,0,0,41,0,0,,0,,24,139,79,0,0,0,0,0,24,0
Marc Cardona,ESP,FW,Las Palmas,28,1995,8.2,333,7,33,161,146,46,332,34,14,41.2,19,55.9,215,983,388,10,4,4,24,15,255,74
Sergi Cardona,ESP,DF,Las Palmas,24,1999,31.3,2586,144,840,1175,586,67,2586,37,17,45.9,16,43.2,1199,5768,3162,60,49,6,47,22,1498,165
Johnny Cardoso,USA,MF,Betis,21,2001,14.8,830,40,222,512,111,12,830,20,11,55.0,8,40.0,406,1973,904,10,10,0,16,15,478,11
Carmona,ESP,"DF,MF",Getafe,21,2002,14.6,748,28,197,345,216,27,748,28,9,32.1,17,60.7,343,1994,1012,29,19,6,29,14,377,55
Yannick Carrasco,BEL,DF,Atlético Madrid,29,1993,2.5,113,5,29,38,49,6,113,6,5,83.3,1,16.7,66,450,246,9,5,2,5,3,63,17
Álvaro Carreras,ESP,"MF,FW",Granada,20,2003,5.3,296,12,83,124,96,11,296,14,7,50.0,5,35.7,176,1156,583,13,14,1,15,9,182,31
Dani Carvajal,ESP,DF,Real Madrid,31,1992,24.1,1697,101,465,726,527,59,1697,22,9,40.9,11,50.0,939,3864,1903,30,37,9,22,18,1126,168
William Carvalho,POR,MF,Betis,31,1992,7.6,707,13,105,495,111,7,707,13,4,30.8,8,61.5,437,1683,860,12,14,0,6,10,560,12
Marc Casado,ESP,MF,Barcelona,19,2003,0.2,11,2,4,6,1,0,11,0,0,,0,,5,29,14,1,0,0,0,0,7,0
Catena,ESP,DF,Osasuna,28,1994,28.2,1574,195,786,747,55,31,1574,7,3,42.9,4,57.1,799,3219,1577,5,2,0,5,4,912,1
Dani Ceballos,ESP,"MF,FW",Real Madrid,26,1996,6.6,609,9,99,315,201,15,609,15,5,33.3,8,53.3,425,2284,1097,16,17,1,9,13,497,23
Álex Centelles,ESP,DF,Almería,25,1997,10.9,635,39,208,284,149,8,635,9,4,44.4,5,55.6,291,1225,687,16,13,3,10,6,357,53
Franco Cervi,ARG,"MF,DF",Celta Vigo,29,1994,6.1,366,5,94,160,116,14,366,6,0,0.0,5,83.3,195,1041,532,16,11,1,9,3,207,36
Pep Chavarría,ESP,"DF,MF",Rayo Vallecano,25,1998,13.0,941,32,257,398,292,14,941,28,11,39.3,10,35.7,492,2754,1338,28,32,4,25,7,593,84
Andreas Christensen,DEN,"DF,MF",Barcelona,27,1996,22.0,1723,111,549,1077,104,18,1723,6,3,50.0,3,50.0,1101,5001,2934,24,18,1,6,9,1324,6
Chumi,ESP,DF,Almería,24,1999,27.0,1462,230,830,582,58,11,1462,6,5,83.3,1,16.7,830,3815,1960,11,10,0,14,4,944,4
Víctor Chust,ESP,DF,Cádiz,23,2000,20.7,1223,147,647,552,28,13,1223,2,1,50.0,1,50.0,693,3929,1732,10,2,0,7,1,742,2
Pathé Ciss,SEN,MF,Rayo Vallecano,29,1994,18.5,1126,67,330,672,133,26,1126,21,17,81.0,3,14.3,562,2643,1188,14,9,2,19,18,652,22
Silvi Clúa,ESP,MF,Girona,18,2005,0.0,10,0,4,6,0,0,10,0,0,,0,,3,10,8,0,0,0,2,0,5,0
Saúl Coco,EQG,DF,Las Palmas,24,1999,25.5,1700,193,873,800,30,11,1700,10,3,30.0,3,30.0,1005,4456,2391,9,6,0,10,9,1132,1
Santi Comesaña,ESP,MF,Villarreal,26,1996,18.4,1077,61,265,593,229,32,1077,32,21,65.6,11,34.4,510,2802,1414,23,25,7,22,19,734,48
Copete,ESP,DF,Mallorca,23,1999,14.8,748,64,314,404,40,10,748,9,4,44.4,4,44.4,365,1884,1081,3,5,0,11,3,412,2
Francis Coquelin,FRA,MF,Villarreal,32,1991,10.1,525,33,126,305,99,10,525,8,3,37.5,5,62.5,231,1026,409,5,7,0,9,8,335,14
Theo Corbeanu,CAN,"MF,FW",Granada,21,2002,2.0,93,2,17,41,39,4,93,8,2,25.0,6,75.0,53,359,144,5,4,0,3,1,55,13
Jesús Corona,MEX,"MF,DF",Sevilla,30,1993,0.2,17,0,1,8,8,0,17,1,1,100.0,0,0.0,13,76,31,0,1,0,1,0,13,4
Ángel Correa,ARG,"FW,MF",Atlético Madrid,28,1995,17.0,719,7,53,268,405,129,718,56,28,50.0,27,48.2,473,2206,1026,40,16,26,52,33,531,128
Thierry Correia,POR,DF,Valencia,24,1999,23.9,1605,90,597,739,292,24,1605,51,23,45.1,21,41.2,766,3724,2048,40,27,13,21,8,842,56
Jaume Costa,ESP,DF,Mallorca,35,1988,18.7,987,40,285,402,306,21,987,20,8,40.0,9,45.0,457,2191,1221,34,22,3,14,5,525,104
Samu Costa,POR,MF,Mallorca,22,2000,25.6,1425,83,382,808,243,33,1425,23,12,52.2,8,34.8,694,2953,987,16,21,4,43,22,811,32
Thibaut Courtois,BEL,GK,Real Madrid,31,1992,3.7,135,119,135,0,0,0,135,0,0,,0,,87,472,296,0,0,0,0,0,70,0
Yan Couto,BRA,"DF,FW",Girona,21,2002,24.9,1633,50,375,633,651,79,1633,117,48,41.0,50,42.7,1035,8513,4769,151,86,41,39,37,1086,240
Crespo,POR,MF,Rayo Vallecano,26,1996,5.9,367,21,80,217,74,6,367,20,13,65.0,5,25.0,205,1106,554,13,8,0,22,15,246,20
Cristian,ESP,GK,Valencia,25,1998,0.6,20,16,20,0,0,0,20,0,0,,0,,8,35,32,0,0,0,0,0,7,0
Juan Cruz Armada,ESP,DF,Osasuna,31,1992,18.5,1071,56,315,567,200,5,1071,12,3,25.0,7,58.3,508,2514,1248,16,16,0,13,6,575,29
Juan Cruz,ESP,FW,Betis,23,2000,0.8,30,1,4,8,19,3,30,7,4,57.1,3,42.9,20,206,107,2,3,0,2,0,19,10
Pau Cubarsí,ESP,DF,Barcelona,16,2007,17.3,1629,157,758,826,46,5,1629,4,3,75.0,1,25.0,1076,5220,2658,8,7,0,4,3,1263,2
Iván Cuéllar,ESP,GK,Mallorca,39,1984,1.0,36,36,36,0,0,0,36,0,0,,0,,27,189,101,0,0,0,0,0,21,0
Jorge Cuenca,ESP,DF,Villarreal,23,1999,21.8,1418,230,694,606,123,25,1418,14,8,57.1,6,42.9,668,3349,2078,11,13,2,10,4,861,30
Eric Curbelo,ESP,"DF,MF",Las Palmas,29,1994,1.1,76,15,51,24,1,0,76,0,0,,0,,39,118,53,0,0,0,3,0,40,0
Alberto Dadie,ESP,MF,Real Sociedad,21,2002,0.3,14,0,6,6,2,1,14,1,0,0.0,1,100.0,12,28,8,0,0,0,4,0,10,0
Sergi Darder,ESP,MF,Mallorca,29,1993,24.0,1229,10,141,709,409,30,1229,62,34,54.8,21,33.9,729,4660,2351,56,51,4,48,24,791,75
Rodrigo De Paul,ARG,MF,Atlético Madrid,29,1994,23.1,1768,27,274,1054,460,40,1768,55,28,50.9,20,36.4,1188,7372,3718,73,60,11,33,13,1395,55
Mouctar Diakhaby,GUI,"DF,MF",Valencia,26,1996,11.9,683,95,363,294,31,7,683,5,4,80.0,1,20.0,388,1858,866,7,6,0,9,4,414,1
Moussa Diakité,MLI,MF,Cádiz,19,2003,0.0,1,0,1,0,0,0,1,1,0,0.0,1,100.0,1,3,0,0,0,0,0,0,0,0
Assane Diao,SEN,FW,Betis,17,2005,11.6,478,10,53,190,251,49,478,55,18,32.7,28,50.9,309,2486,935,33,25,14,60,35,344,101
Brahim Díaz,MAR,"FW,MF",Real Madrid,23,1999,17.2,971,8,51,400,540,93,971,109,55,50.5,49,45.0,694,4465,2408,76,61,32,48,42,801,166
Víctor Díaz,ESP,"DF,MF",Granada,35,1988,1.8,93,8,57,35,2,1,93,1,1,100.0,0,0.0,39,148,85,0,0,0,2,0,48,0
Famara Diedhiou,SEN,"FW,MF",Granada,30,1992,1.0,68,5,7,20,41,10,68,5,4,80.0,1,20.0,40,241,99,5,3,2,12,2,53,19
Stole Dimitrievski,MKD,GK,Rayo Vallecano,29,1993,37.0,1271,1053,1259,12,0,0,1271,1,1,100.0,0,0.0,637,3664,2248,0,0,0,0,0,510,0
Djené,TOG,"DF,MF",Getafe,31,1991,27.6,1363,112,510,704,169,12,1363,25,18,72.0,3,12.0,661,3334,1637,13,14,1,24,13,690,19
Marko Dmitrović,SRB,GK,Sevilla,31,1992,13.0,429,363,425,4,0,0,429,1,1,100.0,0,0.0,234,1097,625,0,0,0,0,0,190,0
Jaume Doménech,ESP,GK,Valencia,32,1990,0.9,37,32,37,0,0,0,37,0,0,,0,,18,79,41,0,0,0,0,0,10,0
Carlos Dominguez,ESP,DF,Celta Vigo,22,2001,17.6,1068,110,498,515,63,10,1068,2,2,100.0,0,0.0,592,2792,1490,11,11,1,17,2,629,3
Mario Dominguez,ESP,FW,Valencia,19,2004,0.3,10,0,0,2,8,2,10,0,0,,0,,4,9,2,0,0,0,2,0,9,1
Carlos Dotor,ESP,MF,Celta Vigo,22,2001,7.9,414,14,89,237,93,8,414,3,3,100.0,0,0.0,203,883,348,3,6,0,13,9,282,12
