Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 30_level_0_Matches
234,Ianis Hagi,ro ROU,"MF,FW",Alavés,24,1998,8.9,405,2,32,162,222,25,404,27,14,51.9,8,29.6,224,1175,576,17,13,2,13,13,249,58,Matches
235,Luiz Henrique,br BRA,FW,Betis,22,2001,6.8,319,4,33,135,156,34,319,47,26,55.3,13,27.7,205,1791,897,35,14,10,13,17,235,58,Matches
236,Mario Hermoso,es ESP,DF,Atlético Madrid,28,1995,28.4,2196,152,811,1154,251,24,2196,20,11,55.0,6,30.0,1248,5330,3028,39,32,1,21,11,1484,61,Matches
237,Javi Hernández,es ESP,DF,Cádiz,25,1998,27.9,1571,112,509,669,412,29,1571,32,13,40.6,17,53.1,685,3932,2182,40,44,6,30,13,760,57,Matches
238,Aridane Hernández,es ESP,DF,Rayo Vallecano,34,1989,18.8,959,155,586,358,18,10,959,3,1,33.3,0,0.0,438,1991,843,0,2,0,8,0,538,0,Matches
239,Luis Hernández,es ESP,DF,Cádiz,34,1989,8.0,411,34,178,167,69,1,411,0,0,,0,,172,830,559,2,3,0,0,0,217,1,Matches
240,Jorge Herrando,es ESP,DF,Osasuna,22,2001,18.3,899,125,476,399,25,10,899,2,2,100.0,0,0.0,442,1982,870,3,3,0,4,2,524,1,Matches
241,Ander Herrera,es ESP,MF,Athletic Club,33,1989,11.4,903,37,171,525,220,13,903,10,5,50.0,4,40.0,477,1767,839,11,21,0,6,6,600,17,Matches
242,Cristian Herrera,es ESP,"FW,MF",Las Palmas,32,1991,1.8,117,2,16,59,42,4,117,2,1,50.0,1,50.0,77,300,138,2,3,0,8,2,93,16,Matches
243,Sergio Herrera,es ESP,GK,Osasuna,30,1993,31.9,1264,948,1250,18,0,0,1264,0,0,,0,,671,4122,2365,0,0,0,2,0,547,0,Matches
244,Yangel Herrera,ve VEN,MF,Girona,25,1998,23.4,1452,67,331,793,339,68,1452,31,22,71.0,7,22.6,804,3745,1673,31,32,4,48,50,1027,76,Matches
245,Juan Herzog,es ESP,DF,Las Palmas,20,2003,3.2,257,30,161,93,3,3,257,1,1,100.0,0,0.0,132,383,144,0,0,0,1,0,182,0,Matches
246,Martin Hongla,cm CMR,"MF,DF",Granada,25,1998,6.2,327,18,113,191,27,1,327,3,0,0.0,3,100.0,197,898,397,3,3,0,8,0,214,5,Matches
247,Xabier Huarte Armendáriz,es ESP,MF,Osasuna,22,2001,0.1,2,0,0,2,0,0,2,0,0,,0,,2,5,0,0,1,0,0,1,3,0,Matches
248,Pablo Ibáñez,es ESP,MF,Osasuna,24,1998,12.8,621,20,85,304,241,45,621,30,8,26.7,21,70.0,318,1978,855,26,20,4,19,10,394,54,Matches
249,Iglesias,es ESP,"DF,FW",Getafe,25,1998,15.7,830,60,262,353,223,8,830,14,6,42.9,8,57.1,329,1625,671,16,11,2,10,6,363,48,Matches
250,Borja Iglesias,es ESP,FW,Betis,30,1993,4.5,141,2,2,60,82,22,141,2,1,50.0,1,50.0,77,373,140,5,5,2,15,4,113,32,Matches
251,Imanol,es ESP,DF,Athletic Club,23,2000,5.8,395,17,88,219,94,4,395,5,4,80.0,1,20.0,181,901,473,13,11,2,5,3,204,15,Matches
252,Isco,es ESP,MF,Betis,31,1992,25.8,1847,8,123,951,800,80,1845,138,76,55.1,52,37.7,1172,7904,3643,100,85,11,79,67,1388,145,Matches
253,Diego Iturralde,es ESP,DF,Sevilla,20,2003,0.4,17,3,11,6,1,0,17,1,1,100.0,0,0.0,6,69,52,1,1,0,0,0,6,0,Matches
254,Adnan Januzaj,be BEL,"FW,MF",Sevilla,28,1995,2.1,119,1,8,56,57,5,119,11,5,45.5,4,36.4,79,383,156,1,3,0,10,1,92,17,Matches
255,Mikel Jauregizar,es ESP,MF,Athletic Club,19,2003,1.7,101,3,20,43,38,0,101,3,1,33.3,2,66.7,48,220,104,2,1,0,4,4,60,3,Matches
256,Luis Javier Suárez,co COL,FW,Almería,25,1997,10.2,334,11,28,151,160,56,333,23,12,52.2,9,39.1,195,1501,685,30,12,15,30,10,229,53,Matches
257,Salim El Jebari,ma MAR,MF,Atlético Madrid,19,2004,0.1,9,1,1,4,4,0,9,0,0,,0,,5,47,24,1,1,0,1,1,6,1,Matches
258,Frenkie de Jong,nl NED,MF,Barcelona,26,1997,18.2,1840,69,359,1139,355,18,1840,24,13,54.2,8,33.3,1207,7284,4346,69,52,3,14,17,1467,38,Matches
259,Joan Jordán,es ESP,MF,Sevilla,29,1994,4.2,279,6,47,175,59,3,279,1,1,100.0,0,0.0,138,573,239,0,2,0,5,3,176,1,Matches
260,Jordi,es ESP,"MF,DF",Getafe,22,2001,6.4,336,7,50,155,134,14,336,20,7,35.0,10,50.0,180,797,336,6,14,2,12,9,206,28,Matches
261,Jeremy Jorge,es ESP,FW,Getafe,20,2003,0.0,1,0,0,0,1,1,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
262,Willian José,br BRA,FW,Betis,31,1991,21.9,683,18,50,333,304,73,683,12,6,50.0,6,50.0,377,1306,445,8,8,2,32,25,536,90,Matches
263,Joselu,es ESP,FW,Real Madrid,33,1990,18.7,514,13,43,236,238,99,512,14,6,42.9,7,50.0,292,1040,353,15,8,12,29,9,398,98,Matches
264,Kamil Jóźwiak,pl POL,MF,Granada,25,1998,6.3,238,10,42,108,93,14,238,16,8,50.0,6,37.5,141,988,516,15,10,2,15,10,162,31,Matches
265,Juanmi,es ESP,FW,Cádiz,30,1993,9.7,327,4,27,172,133,23,327,23,9,39.1,13,56.5,200,954,265,7,8,5,28,17,223,40,Matches
266,Juanpe,es ESP,DF,Girona,32,1991,8.3,649,110,389,251,12,6,649,2,1,50.0,1,50.0,402,2210,1141,3,2,0,4,1,455,0,Matches
267,Vinicius Júnior,br BRA,FW,Real Madrid,23,2000,20.7,1058,2,51,290,733,193,1057,176,65,36.9,95,54.0,797,6384,3440,137,74,88,71,40,888,277,Matches
268,Filip Jørgensen,dk DEN,GK,Villarreal,21,2002,36.0,1397,1240,1395,2,0,0,1397,1,1,100.0,0,0.0,798,4097,2334,0,0,0,4,1,663,0,Matches
269,Sory Kaba,gn GUI,FW,Las Palmas,28,1995,8.0,272,8,19,139,119,33,272,22,11,50.0,11,50.0,163,608,211,7,7,3,48,14,219,36,Matches
270,Kaiky,br BRA,DF,Almería,19,2004,5.8,317,50,175,137,6,4,317,4,3,75.0,1,25.0,182,1023,683,4,0,0,1,0,200,1,Matches
271,Jon Karrikaburu,es ESP,"MF,FW",Alavés,20,2002,0.2,8,0,0,5,3,1,8,0,0,,0,,6,20,0,0,0,0,2,0,6,1,Matches
272,Ibrahima Kebe,ml MLI,MF,Girona,22,2000,0.1,13,0,6,6,2,1,13,1,0,0.0,0,0.0,6,38,1,0,0,0,0,2,4,1,Matches
273,Kiké,es ESP,"FW,MF",Alavés,33,1989,15.8,517,18,51,199,280,108,516,33,15,45.5,14,42.4,300,1319,472,18,10,12,56,21,392,97,Matches
274,Koke,es ESP,MF,Atlético Madrid,31,1992,27.7,2482,82,594,1570,334,12,2482,11,5,45.5,6,54.5,1474,6016,2872,26,32,1,21,20,1899,26,Matches
275,Ibrahima Koné,ml MLI,FW,Almería,24,1999,3.1,83,5,7,41,37,10,83,4,1,25.0,2,50.0,44,208,112,5,1,4,7,1,58,18,Matches
276,Rominigue Kouamé,ml MLI,MF,Cádiz,26,1996,9.1,501,14,121,328,58,2,501,10,7,70.0,1,10.0,249,1684,703,16,7,1,8,1,286,5,Matches
277,Jules Koundé,fr FRA,DF,Barcelona,24,1998,32.2,3041,157,903,1701,462,44,3041,38,16,42.1,17,44.7,1910,9350,5961,67,67,2,25,12,2187,64,Matches
278,Toni Kroos,de GER,MF,Real Madrid,33,1990,23.6,2656,58,546,1641,492,13,2656,8,5,62.5,3,37.5,1758,8020,4189,32,51,1,8,6,2128,29,Matches
279,Takefusa Kubo,jp JPN,"FW,MF",Real Sociedad,22,2001,23.9,1161,11,94,404,683,122,1161,117,55,47.0,44,37.6,745,6334,3378,136,57,63,60,27,831,231,Matches
280,Luca de la Torre,us USA,MF,Celta Vigo,25,1998,21.7,971,21,141,465,381,63,971,32,11,34.4,19,59.4,606,3777,2012,58,40,12,38,28,679,88,Matches
281,Yoel Lago,es ESP,DF,Celta Vigo,19,2004,1.0,93,14,66,26,1,1,93,0,0,,0,,76,324,137,0,0,0,0,0,77,0,Matches
282,Érik Lamela,ar ARG,"FW,MF",Sevilla,31,1992,5.1,266,2,34,101,138,26,266,16,7,43.8,9,56.3,159,843,400,11,13,4,20,13,176,28,Matches
283,Bruno Langa,mz MOZ,DF,Almería,25,1997,9.1,504,45,210,209,88,6,504,21,13,61.9,5,23.8,243,1250,720,14,10,2,5,3,265,30,Matches
284,Cyle Larin,ca CAN,FW,Mallorca,28,1995,20.3,548,26,51,209,297,111,548,39,14,35.9,23,59.0,310,1608,571,20,13,17,58,34,406,103,Matches
285,Juanmi Latasa,es ESP,FW,Getafe,22,2001,17.3,578,21,32,255,295,104,578,13,6,46.2,5,38.5,278,968,262,7,10,3,66,21,447,82,Matches
286,Toni Lato,es ESP,DF,Mallorca,25,1997,17.2,942,40,249,399,305,17,942,18,10,55.6,5,27.8,432,1860,911,30,23,8,17,7,494,110,Matches
287,Lázaro,br BRA,"FW,MF",Almería,21,2002,3.2,152,2,19,64,69,14,152,16,5,31.3,10,62.5,89,547,224,5,3,2,11,5,100,34,Matches
288,Robin Le Normand,es ESP,DF,Real Sociedad,26,1996,27.4,1996,171,899,1057,45,17,1996,1,1,100.0,0,0.0,1242,7060,4021,21,16,0,16,6,1359,1,Matches
289,Jeremías Ledesma,ar ARG,GK,Cádiz,30,1993,33.9,1261,992,1248,17,0,0,1261,2,2,100.0,0,0.0,652,4356,3096,0,0,0,1,0,421,0,Matches
290,Florian Lejeune,fr FRA,DF,Rayo Vallecano,32,1991,37.0,2386,341,1317,953,131,36,2386,5,4,80.0,0,0.0,1250,5730,2951,15,6,0,13,4,1494,4,Matches
291,Stefan Lekovic,rs SRB,DF,Villarreal,19,2004,0.3,16,5,14,2,0,0,16,0,0,,0,,4,6,1,0,0,0,0,0,11,0,Matches
292,Iñigo Lekue,es ESP,DF,Athletic Club,30,1993,22.2,1476,82,427,779,285,9,1476,44,18,40.9,25,56.8,706,3819,1993,44,30,1,17,9,825,35,Matches
293,Thomas Lemar,fr FRA,MF,Atlético Madrid,27,1995,1.8,99,0,8,58,34,4,99,2,1,50.0,1,50.0,78,447,217,5,4,0,3,2,83,9,Matches
294,Álvaro Lemos,es ESP,DF,Las Palmas,30,1993,2.8,207,8,35,133,42,0,207,2,0,0.0,2,100.0,118,536,241,6,7,0,4,0,127,8,Matches
295,Ruben Lendinez,es ESP,DF,Valencia,20,2003,0.1,11,1,3,6,2,1,11,0,0,,0,,1,2,0,0,0,0,0,0,5,3,Matches
296,Robert Lewandowski,pl POL,FW,Barcelona,34,1988,30.6,900,24,47,361,502,165,896,54,23,42.6,30,55.6,529,2549,1019,43,28,20,86,28,736,168,Matches
297,Samuel Lino,br BRA,"DF,MF",Atlético Madrid,23,1999,23.1,1317,43,282,509,557,107,1317,75,40,53.3,28,37.3,872,6156,3739,131,81,44,42,35,958,215,Matches
298,Javier Llabrés,es ESP,"MF,FW",Mallorca,20,2002,2.7,143,3,17,53,75,11,143,8,5,62.5,3,37.5,65,468,224,9,6,2,11,7,90,30,Matches
299,Marcos Llorente,es ESP,"MF,DF",Atlético Madrid,28,1995,28.5,1465,44,322,615,537,82,1465,27,11,40.7,11,40.7,839,4122,2119,71,40,20,28,18,1033,179,Matches
300,Enzo Loiodice,fr FRA,MF,Las Palmas,22,2000,19.9,1362,34,238,799,337,26,1362,53,28,52.8,21,39.6,756,3333,1451,27,27,4,41,42,997,72,Matches
301,David López,es ESP,DF,Girona,33,1989,21.8,1770,286,946,785,48,22,1770,9,5,55.6,2,22.2,1083,5934,3308,15,9,0,12,2,1281,1,Matches
302,Diego López,es ESP,"MF,FW",Valencia,21,2002,29.5,1094,24,152,457,504,95,1094,76,28,36.8,40,52.6,598,3673,2078,75,59,29,64,27,720,180,Matches
303,Fermin López,es ESP,"MF,FW",Barcelona,20,2003,16.1,841,11,95,418,335,69,841,38,22,57.9,12,31.6,486,2639,1446,42,28,10,51,25,618,93,Matches
304,Javi López,es ESP,DF,Alavés,21,2002,26.5,1407,89,441,582,404,45,1407,74,41,55.4,28,37.8,631,4017,1896,53,44,11,40,20,720,120,Matches
305,Unai López,es ESP,MF,Rayo Vallecano,27,1995,23.4,1675,35,340,980,371,16,1675,39,22,56.4,17,43.6,886,4167,1964,32,24,2,26,23,1128,59,Matches
306,Dion Lopy,sn SEN,MF,Almería,21,2002,21.3,1108,65,310,656,162,8,1108,48,29,60.4,15,31.3,652,4181,1705,23,23,2,23,15,695,19,Matches
