Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Unnamed: 8_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 23_level_0_Matches
118,Thibaut Courtois,be BEL,GK,Real Madrid,31,1992,3.7,123,103,20,2,0,1,0,0,0,0,0,0,113,0,0,Matches
119,Yan Couto,br BRA,"DF,FW",Girona,21,2002,24.9,1354,1181,170,24,5,4,111,145,1,0,0,0,1057,3,47,Matches
120,Crespo,pt POR,MF,Rayo Vallecano,26,1996,5.9,273,262,10,7,1,1,3,0,0,0,0,0,230,1,3,Matches
121,Cristian,es ESP,GK,Valencia,25,1998,0.6,18,13,5,2,0,0,0,0,0,0,0,0,13,0,0,Matches
122,Juan Cruz Armada,es ESP,DF,Osasuna,31,1992,18.5,941,759,178,11,0,0,21,165,0,0,0,0,712,4,15,Matches
123,Juan Cruz,es ESP,FW,Betis,23,2000,0.8,20,20,0,0,0,0,0,0,0,0,0,0,15,0,0,Matches
124,Pau Cubarsí,es ESP,DF,Barcelona,16,2007,17.3,1487,1441,43,32,2,11,1,3,0,0,0,0,1360,3,6,Matches
125,Iván Cuéllar,es ESP,GK,Mallorca,39,1984,1.0,35,32,3,0,0,0,0,0,0,0,0,0,24,0,0,Matches
126,Jorge Cuenca,es ESP,DF,Villarreal,23,1999,21.8,1150,1035,111,36,0,16,13,41,0,0,0,0,957,4,9,Matches
127,Eric Curbelo,es ESP,"DF,MF",Las Palmas,29,1994,1.1,59,52,7,3,0,1,0,1,0,0,0,0,57,0,0,Matches
