Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Vedat Muriqi,KVX,FW,Mallorca,31-243,1994,14.1,189,290,65.2,2809,401,108,156,69.2,62,93,66.7,13,18,72.2,0,0.2,0.5,-0.2,6,13,4,1,15
Juan Musso,ARG,GK,Atlético Madrid,31-231,1994,1.0,30,31,96.8,751,545,6,6,100.0,19,19,100.0,5,6,83.3,0,0.0,0.0,0.0,0,0,0,0,0
Natan,BRA,DF,Betis,24-320,2001,16.4,672,773,86.9,12334,3803,252,262,96.2,363,399,91.0,50,98,51.0,0,0.2,0.1,-0.2,4,35,0,0,31
Pau Navarro,ESP,DF,Villarreal,20-242,2005,5.6,282,332,84.9,4829,1578,115,122,94.3,154,169,91.1,11,27,40.7,0,0.0,0.1,0.0,1,27,1,1,16
Roberto Navarro,ESP,"FW,MF",Athletic Club,23-255,2002,6.0,148,201,73.6,1955,551,102,124,82.3,38,58,65.5,3,10,30.0,0,0.5,0.6,-0.5,10,9,8,2,14
Martim Neto,POR,MF,Elche,22-343,2003,7.8,309,356,86.8,4543,1237,176,186,94.6,102,113,90.3,13,25,52.0,3,1.6,1.0,1.4,12,34,5,2,43
Yvan Neyou,CMR,MF,Getafe,28-354,1997,0.7,15,18,83.3,249,49,7,7,100.0,5,6,83.3,2,3,66.7,0,0.0,0.0,0.0,0,2,0,0,3
Tanguy Nianzou,FRA,DF,Sevilla,23-199,2002,3.4,144,161,89.4,3181,1266,32,35,91.4,90,92,97.8,20,29,69.0,0,0.0,0.0,0.0,0,10,0,0,9
Randy Nteka,ANG,FW,Rayo Vallecano,28-017,1997,0.5,9,14,64.3,106,14,5,5,100.0,2,4,50.0,0,1,0.0,0,0.0,0.0,0.0,1,0,0,0,2
Álvaro Núñez,ESP,DF,Elche,25-169,2000,16.6,917,1031,88.9,15213,5008,462,487,94.9,361,393,91.9,73,110,66.4,2,1.8,2.1,0.2,18,69,23,12,90
Ørjan Nyland,NOR,GK,Sevilla,35-104,1990,4.0,92,131,70.2,2640,1750,9,9,100.0,54,55,98.2,27,64,42.2,0,0.0,0.0,0.0,0,2,0,0,0
Allan Nyom,CMR,"DF,FW",Getafe,37-227,1988,2.0,50,84,59.5,883,384,22,33,66.7,19,26,73.1,7,19,36.8,0,0.1,0.1,-0.1,2,6,3,2,7
Jan Oblak,SVN,GK,Atlético Madrid,32-350,1993,17.0,433,568,76.2,12801,9419,39,39,100.0,253,254,99.6,138,272,50.7,0,0.0,0.0,0.0,0,4,0,0,0
Álvaro Odriozola,ESP,DF,Real Sociedad,30-009,1995,0.6,12,14,85.7,185,87,6,6,100.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0.0,0,0,1,1,0
Olasagasti,ESP,MF,Levante,25-129,2000,5.0,181,243,74.5,3079,1097,99,115,86.1,58,70,82.9,21,43,48.8,1,0.5,0.5,0.5,4,22,5,2,21
Dani Olmo,ESP,MF,Barcelona,27-230,1998,9.3,429,527,81.4,6063,1462,247,283,87.3,145,166,87.3,17,31,54.8,2,2.3,3.2,-0.3,23,31,22,0,53
Tani Oluwaseyi,CAN,FW,Villarreal,25-222,2000,5.2,37,58,63.8,541,108,21,28,75.0,14,17,82.4,2,5,40.0,1,1.3,0.4,-0.3,4,2,2,0,5
Aimar Oroz,ESP,"MF,FW",Osasuna,24-026,2001,8.6,253,328,77.1,3975,1039,142,163,87.1,81,103,78.6,22,33,66.7,2,1.7,1.2,0.3,18,23,10,1,41
Ángel Ortíz,ESP,DF,Betis,21-151,2004,2.3,81,100,81.0,1093,420,52,55,94.5,26,32,81.3,1,8,12.5,0,0.4,0.3,-0.4,1,4,1,1,3
Asier Osambela,ESP,"DF,MF",Osasuna,21-318,2004,2.4,85,111,76.6,1350,485,39,47,83.0,38,42,90.5,4,14,28.6,0,0.1,0.1,-0.1,2,7,0,0,10
Azzedine Ounahi,MAR,"MF,FW",Girona,25-248,2000,8.7,307,376,81.6,4812,1418,166,193,86.0,104,123,84.6,26,36,72.2,1,1.4,1.4,-0.4,12,38,18,3,66
Mikel Oyarzabal,ESP,FW,Real Sociedad,28-246,1997,13.6,229,309,74.1,3459,786,132,160,82.5,70,94,74.5,15,20,75.0,3,3.5,2.2,-0.5,24,15,17,0,43
Jon Pacheco,ESP,DF,Alavés,24-349,2001,9.7,396,467,84.8,7434,2931,165,173,95.4,188,206,91.3,39,77,50.6,0,0.6,0.1,-0.6,3,29,3,0,31
Isaac Palazón Camacho,ESP,"MF,FW",Rayo Vallecano,30-361,1994,13.1,383,508,75.4,6831,2010,172,194,88.7,151,180,83.9,45,94,47.9,2,1.8,1.6,0.2,17,45,10,2,73
Diego Pampín,ESP,DF,Levante,25-283,2000,1.3,51,64,79.7,656,189,33,37,89.2,17,18,94.4,0,6,0.0,0,0.0,0.1,0.0,1,3,0,0,3
Victor Parada,ESP,DF,Alavés,23-263,2002,9.4,259,358,72.3,4304,1701,128,145,88.3,115,151,76.2,15,49,30.6,1,1.1,0.4,-0.1,8,11,3,3,18
Aitor Paredes,ESP,DF,Athletic Club,25-238,2000,10.1,495,565,87.6,9300,3305,158,172,91.9,296,315,94.0,37,66,56.1,0,0.0,0.2,0.0,1,30,1,0,56
Daniel Parejo,ESP,MF,Villarreal,36-251,1989,5.6,296,344,86.0,5623,1796,117,124,94.4,134,145,92.4,39,58,67.2,0,0.8,0.6,-0.8,8,34,3,0,29
Thomas Partey,GHA,MF,Villarreal,32-193,1993,7.0,314,365,86.0,5273,1424,150,163,92.0,132,154,85.7,26,38,68.4,0,0.2,0.3,-0.2,5,33,2,1,28
Alfonso Pedraza,ESP,"DF,MF",Villarreal,29-258,1996,6.9,236,317,74.4,4342,1077,92,108,85.2,121,153,79.1,20,40,50.0,2,2.1,0.9,-0.1,9,5,10,7,14
Pedri,ESP,MF,Barcelona,23-028,2002,12.2,1028,1132,90.8,17635,4661,453,479,94.6,473,497,95.2,77,98,78.6,5,3.1,3.1,1.9,34,137,32,2,137
Adrià Pedrosa,ESP,DF,Elche,27-224,1998,5.4,208,262,79.4,3207,1126,114,118,96.6,76,102,74.5,14,29,48.3,0,1.0,1.1,-1.0,14,14,5,4,15
Adrià Pedrosa,ESP,DF,Sevilla,27-224,1998,0.1,9,11,81.8,157,28,2,2,100.0,6,7,85.7,1,1,100.0,0,0.0,0.0,0.0,1,0,1,1,1
Iñaki Peña,ESP,GK,Elche,26-296,1999,11.0,506,661,76.6,10992,7440,170,172,98.8,243,244,99.6,91,236,38.6,0,0.1,0.0,-0.1,2,13,1,0,1
Nicolas Pépé,CIV,"FW,MF",Villarreal,30-208,1995,10.4,323,403,80.1,4721,1346,213,230,92.6,89,105,84.8,16,36,44.4,1,2.3,3.1,-1.3,26,17,26,2,56
Peque,ESP,MF,Sevilla,23-080,2002,5.9,174,239,72.8,2728,739,98,109,89.9,57,76,75.0,16,37,43.2,0,0.3,0.4,-0.3,11,30,3,0,22
Ayoze Pérez,ESP,FW,Villarreal,32-147,1993,4.5,76,101,75.2,1255,361,33,37,89.2,31,33,93.9,7,11,63.6,3,0.9,0.3,2.1,8,14,3,0,18
Francisco Perez,ESP,"FW,MF",Rayo Vallecano,23-105,2002,7.3,151,199,75.9,2112,407,85,98,86.7,52,66,78.8,5,12,41.7,0,1.3,1.0,-1.3,10,5,7,4,12
Léo Pétrot,FRA,DF,Elche,28-252,1997,5.4,288,335,86.0,4213,1170,174,188,92.6,95,115,82.6,13,21,61.9,0,0.2,0.1,-0.2,2,9,1,0,11
Charles Pickel,COD,"MF,FW",Espanyol,28-222,1997,3.8,96,120,80.0,1466,349,58,67,86.6,31,36,86.1,4,6,66.7,0,0.0,0.1,0.0,1,10,0,0,13
Lander Pinillos,ESP,MF,Alavés,22-078,2003,0.0,1,2,50.0,11,1,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Yeremi Pino,ESP,"MF,FW",Villarreal,23-064,2002,1.8,77,102,75.5,1093,321,46,54,85.2,25,33,75.8,4,12,33.3,1,0.9,1.0,0.1,6,2,7,2,18
Portu,ESP,"FW,MF",Girona,33-216,1992,5.3,62,99,62.6,884,206,37,47,78.7,15,20,75.0,4,14,28.6,0,0.3,0.6,-0.3,3,2,0,0,6
Beñat Prados,ESP,MF,Athletic Club,24-318,2001,0.9,37,49,75.5,602,163,21,28,75.0,13,16,81.3,3,3,100.0,0,0.1,0.0,-0.1,2,3,0,0,4
Abdón Prats,ESP,FW,Mallorca,33-016,1992,0.8,11,15,73.3,149,24,4,5,80.0,6,8,75.0,0,0,,0,0.1,0.1,-0.1,2,1,0,0,1
Javi Puado,ESP,"FW,MF",Espanyol,27-212,1998,7.3,175,222,78.8,2838,676,88,106,83.0,67,84,79.8,12,21,57.1,0,0.8,0.8,-0.8,10,15,7,5,29
