Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 20_level_0_Int,Unnamed: 21_level_0_Tkl+Int,Unnamed: 22_level_0_Clr,Unnamed: 23_level_0_Err,Unnamed: 24_level_0_Matches
64,Iker Benito,es ESP,"DF,FW",Osasuna,23-135,2002,1.7,1,0,0,1,0,1,4,25.0,3,1,1,0,2,3,5,0,Matches
65,Yuri Berchiche,es ESP,DF,Athletic Club,35-316,1990,15.1,22,15,8,8,6,15,22,68.2,7,14,1,13,16,38,65,0,Matches
66,Álex Berenguer,es ESP,"FW,MF",Athletic Club,30-172,1995,13.3,16,8,0,14,2,7,20,35.0,13,14,0,14,6,22,15,1,Matches
67,Lucas Bergström,fi FIN,GK,Mallorca,23-109,2002,5.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0,Matches
68,Marc Bernal,es ESP,MF,Barcelona,18-211,2007,1.4,3,3,1,2,0,0,3,0.0,3,1,0,1,0,3,4,0,Matches
69,Pedro Bigas,es ESP,DF,Elche,35-099,1990,11.9,23,13,14,9,0,13,20,65.0,7,16,9,7,16,39,45,2,Matches
70,Antonio Blanco,es ESP,MF,Alavés,25-153,2000,14.4,42,22,21,19,2,19,42,45.2,23,19,5,14,27,69,17,1,Matches
71,Daley Blind,nl NED,DF,Girona,35-289,1990,13.6,23,14,14,6,3,8,15,53.3,7,16,10,6,18,41,66,1,Matches
72,Adam Boayar,ma MAR,"MF,FW",Elche,20-071,2005,0.1,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
73,Adama Boiro,es ESP,DF,Athletic Club,23-184,2002,3.0,5,4,3,1,1,4,8,50.0,4,3,1,2,4,9,5,1,Matches
74,Rahim Bonkano,ne NIG,DF,Oviedo,23-356,2002,12.7,25,11,16,8,1,15,19,78.9,4,14,5,9,20,45,45,1,Matches
75,Lucas Boyé,ar ARG,"FW,MF",Alavés,29-298,1996,10.1,20,16,4,9,7,11,18,61.1,7,12,2,10,4,24,5,0,Matches
76,Enzo Boyomo,cm CMR,DF,Osasuna,24-077,2001,15.7,40,24,29,10,1,19,24,79.2,5,29,11,18,7,47,76,1,Matches
77,Josip Brekalo,hr CRO,FW,Oviedo,27-183,1998,4.5,8,5,1,7,0,5,9,55.6,4,8,0,8,3,11,1,0,Matches
78,Abel Bretones,es ESP,"DF,MF",Osasuna,25-124,2000,14.8,28,9,19,9,0,20,35,57.1,15,23,5,18,14,42,43,0,Matches
79,Brugui,es ESP,"MF,FW",Levante,29-049,1996,10.0,10,5,4,4,2,1,11,9.1,10,9,1,8,4,14,16,2,Matches
80,Tajon Buchanan,ca CAN,"MF,DF",Villarreal,26-318,1999,11.0,19,15,11,6,2,15,22,68.2,7,9,1,8,16,35,12,0,Matches
81,Ante Budimir,hr CRO,FW,Osasuna,34-154,1991,13.6,11,8,1,8,2,5,7,71.4,2,14,2,12,1,12,13,0,Matches
82,Manu Bueno,es ESP,MF,Sevilla,21-149,2004,0.7,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,2,0,Matches
83,Jorge Cabello,es ESP,DF,Levante,21-242,2004,4.0,7,4,2,4,1,5,6,83.3,1,5,4,1,0,7,23,2,Matches
84,Leandro Cabrera,uy URU,DF,Espanyol,34-189,1991,16.0,11,4,8,3,0,6,18,33.3,12,16,13,3,13,24,91,0,Matches
85,Calebe,br BRA,"MF,DF",Alavés,25-237,2000,5.5,19,11,10,5,4,11,15,73.3,4,4,1,3,5,24,1,0,Matches
86,Fernando Calero,es ESP,DF,Espanyol,30-100,1995,11.3,16,9,15,1,0,6,9,66.7,3,29,21,8,13,29,60,0,Matches
87,Duje Ćaleta-Car,hr CRO,DF,Real Sociedad,29-097,1996,9.1,8,6,4,4,0,3,4,75.0,1,8,7,1,10,18,42,0,Matches
88,Dani Calvo,es ESP,DF,Oviedo,31-266,1994,7.8,11,6,8,3,0,6,7,85.7,1,8,4,4,5,16,56,0,Matches
89,Dawda Camara,mr MTN,FW,Girona,23-049,2002,0.8,1,0,0,0,1,0,0,,0,0,0,0,1,2,0,0,Matches
90,Eduardo Camavinga,fr FRA,MF,Real Madrid,23-043,2002,5.7,23,12,15,6,2,14,21,66.7,7,11,2,9,4,27,9,0,Matches
91,Sergio Camello,es ESP,"FW,MF",Rayo Vallecano,24-316,2001,4.1,2,2,0,1,1,0,2,0.0,2,2,0,2,2,4,0,1,Matches
92,Sergi Cardona,es ESP,DF,Villarreal,26-168,1999,10.2,21,14,12,5,4,13,26,50.0,13,21,2,19,20,41,26,3,Matches
93,Fábio Cardoso,pt POR,DF,Sevilla,31-248,1994,2.4,5,3,5,0,0,4,5,80.0,1,1,1,0,3,8,15,0,Matches
