Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Rassoul Ndiaye,SEN,MF,Le Havre,22.0,2001.0,11.8,578,34,172,260,151,22,578,12,3,25.0,9,75.0,261,1223,450,6,5,0,15,4,324,30
Wilfried Ndollo,CMR,DF,Montpellier,19.0,2005.0,4.5,251,9,83,97,74,2,251,8,1,12.5,3,37.5,119,554,257,5,2,1,11,5,143,18
Tanguy Ndombele,FRA,MF,Nice,27.0,1996.0,12.6,611,17,100,398,120,25,611,47,25,53.2,19,40.4,366,1783,923,22,8,6,28,21,436,36
Loïc Nego,HUN,"DF,FW",Le Havre,33.0,1991.0,27.3,1469,96,476,693,312,34,1469,32,17,53.1,12,37.5,742,3703,2302,64,38,3,19,9,900,123
João Neves,POR,"MF,DF",Paris S-G,19.0,2004.0,20.5,1851,46,323,1051,494,55,1851,30,16,53.3,11,36.7,1018,4913,2262,35,44,3,26,16,1397,80
Mikayil Ngor Faye,SEN,DF,Rennes,20.0,2004.0,7.6,617,41,241,336,49,7,617,6,2,33.3,4,66.7,386,1726,960,12,6,1,9,4,415,4
Steve Ngoura,FRA,FW,Le Havre,19.0,2005.0,3.2,106,3,9,45,56,18,106,12,7,58.3,5,41.7,54,277,104,3,5,1,14,9,74,19
Bernard Nguene,CMR,FW,Nice,17.0,2006.0,0.1,5,0,0,3,2,0,5,1,0,0.0,1,100.0,4,11,5,0,0,0,1,0,5,1
Moussa Niakhate,SEN,DF,Lyon,28.0,1996.0,30.3,2133,277,1034,1032,77,7,2133,3,3,100.0,0,0.0,1331,7461,4792,34,14,0,9,4,1510,5
Abdoulaye Niakhate Ndiaye,SEN,DF,Brest,22.0,2002.0,19.0,1203,192,726,448,33,21,1203,8,2,25.0,6,75.0,598,3157,1594,5,2,0,15,5,740,4
Ibrahima Niane,SEN,FW,Angers,25.0,1999.0,10.5,312,8,27,146,145,50,311,19,6,31.6,11,57.9,182,934,424,19,15,8,35,17,230,50
Rasmus Nicolaisen,DEN,DF,Toulouse,27.0,1997.0,6.9,445,58,217,213,18,8,445,2,1,50.0,1,50.0,268,1220,626,3,0,0,1,2,289,2
Arnaud Nordin,FRA,FW,Montpellier,26.0,1998.0,13.0,499,6,63,190,259,49,497,51,23,45.1,23,45.1,323,2372,1247,51,21,22,37,14,359,111
Plamedi Nsingi,,MF,Nantes,23.0,2000.0,0.2,8,0,4,3,1,1,8,0,0,,0,,4,10,1,0,0,0,0,0,5,0
Ernest Nuamah,GHA,"FW,MF",Lyon,20.0,2003.0,11.7,597,13,100,214,300,51,597,43,22,51.2,19,44.2,388,2425,1388,44,26,18,31,22,431,131
Rabby Nzingoula,FRA,MF,Montpellier,18.0,2005.0,18.8,850,38,238,429,206,23,850,52,25,48.1,22,42.3,454,2589,1138,25,30,6,33,23,503,38
M'Bala Nzola,ANG,FW,Lens,27.0,1996.0,16.2,490,4,29,176,290,95,490,38,14,36.8,24,63.2,284,1466,509,26,10,14,62,47,381,118
Marwann Nzuzi,FRA,DF,Saint-Étienne,20.0,2004.0,1.4,72,3,31,28,13,0,72,2,0,0.0,2,100.0,34,142,59,2,1,0,3,2,40,5
Hamzat Ojediran,NGA,"MF,FW",Lens,20.0,2003.0,4.6,343,11,77,199,70,7,343,11,6,54.5,4,36.4,151,721,261,4,8,0,6,0,172,2
Joseph Okumu,KEN,DF,Reims,27.0,1997.0,18.8,1348,188,652,638,71,14,1348,18,14,77.8,2,11.1,710,4247,2624,18,17,0,12,2,819,1
Kazeem Olaigbe,BEL,"MF,FW",Rennes,21.0,2003.0,3.3,176,2,16,69,94,15,176,22,13,59.1,9,40.9,111,816,474,17,6,9,3,5,140,32
Ben Old,NZL,"FW,MF",Saint-Étienne,21.0,2002.0,5.9,218,4,40,72,112,23,218,22,9,40.9,12,54.5,134,906,400,16,6,8,19,6,163,48
Warmed Omari,COM,DF,Lyon,24.0,2000.0,0.1,7,0,7,0,0,0,7,0,0,,0,,3,6,4,0,0,0,0,0,5,0
Becir Omeragic,SUI,DF,Montpellier,22.0,2002.0,20.0,1084,158,496,550,48,8,1084,14,11,78.6,3,21.4,609,3647,1956,21,7,1,6,4,723,3
Andrew Omobamidele,IRL,DF,Strasbourg,22.0,2002.0,6.0,468,80,294,170,5,0,468,2,1,50.0,0,0.0,258,1171,606,0,1,0,4,1,324,0
Ado Onaiwu,JPN,"MF,FW",Auxerre,28.0,1995.0,10.6,458,9,51,223,193,30,458,25,11,44.0,13,52.0,268,1363,687,17,17,4,29,22,346,74
Christopher Operi,CIV,"DF,FW",Le Havre,27.0,1997.0,13.0,878,41,237,347,302,12,878,27,14,51.9,13,48.1,418,1898,935,28,21,3,14,11,501,65
Fredrik Oppegard,NOR,DF,Auxerre,21.0,2002.0,3.0,184,11,62,65,59,4,184,3,1,33.3,2,66.7,99,533,223,5,5,1,4,4,111,11
Victor Orakpo,NGA,FW,Nice,18.0,2006.0,0.4,21,0,2,10,9,3,21,2,2,100.0,0,0.0,14,83,57,2,1,1,1,0,18,4
Ike Orazi,IRL,MF,Reims,17.0,2007.0,0.0,2,0,0,0,2,0,2,1,0,0.0,1,100.0,2,21,19,1,1,0,0,0,2,1
Gift Orban,NGA,"FW,DF",Lyon,22.0,2002.0,2.1,49,0,6,13,30,10,49,5,2,40.0,3,60.0,26,108,36,1,0,1,6,0,35,12
