Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 20_level_0_Int,Unnamed: 21_level_0_Tkl+Int,Unnamed: 22_level_0_Clr,Unnamed: 23_level_0_Err,Unnamed: 24_level_0_Matches
52,Folarin Balogun,us USA,FW,Monaco,23,2001,6.8,1,1,0,0,1,0,4,0.0,4,0,0,0,1,2,0,0,Matches
53,Abdoulaye Bamba,ci CIV,DF,Angers,34,1990,16.8,22,12,17,4,1,14,19,73.7,5,14,8,6,19,41,79,0,Matches
54,Mohamed Bamba,ci CIV,MF,Reims,19,2004,0.1,0,0,0,0,0,0,1,0.0,1,2,1,1,0,0,1,0,Matches
55,Valentín Barco,ar ARG,"MF,DF",Strasbourg,20,2004,12.9,36,22,24,10,2,22,30,73.3,8,8,3,5,13,49,28,1,Matches
56,Bradley Barcola,fr FRA,FW,Paris S-G,21,2002,24.2,27,17,10,8,9,8,31,25.8,23,25,2,23,19,46,12,0,Matches
57,Melvin Bard,fr FRA,"DF,MF",Nice,23,2000,21.5,53,36,35,13,5,24,42,57.1,18,38,13,25,29,82,60,3,Matches
58,Gabriel Bares,ch SUI,"MF,DF",Montpellier,23,2000,0.6,2,2,2,0,0,1,2,50.0,1,0,0,0,1,3,3,0,Matches
59,Téo Barisic,hr CRO,DF,Lyon,19,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
60,Dylan Batubinsika,cd COD,DF,Saint-Étienne,28,1996,22.4,26,13,19,6,1,13,22,59.1,9,23,14,9,39,65,140,3,Matches
61,Haris Belkebla,dz ALG,MF,Angers,30,1994,19.9,56,38,38,15,3,26,45,57.8,19,30,9,21,35,91,46,1,Matches
62,Yassin Belkhdim,fr FRA,MF,Angers,22,2002,16.9,53,27,26,21,6,27,58,46.6,31,23,6,17,21,74,41,1,Matches
63,Eliesse Ben Seghir,ma MAR,"MF,FW",Monaco,19,2005,19.4,31,22,12,12,7,18,32,56.3,14,20,0,20,13,44,4,0,Matches
64,Ismaël Bennacer,dz ALG,MF,Marseille,26,1997,7.2,21,10,8,12,1,12,18,66.7,6,6,0,6,10,31,2,1,Matches
65,Saïd Benrahma,dz ALG,"FW,MF",Lyon,28,1995,8.2,9,5,4,4,1,3,10,30.0,7,6,0,6,3,12,2,0,Matches
66,Nabil Bentaleb,dz ALG,MF,Lille,29,1994,3.7,4,3,2,0,2,3,7,42.9,4,5,0,5,5,9,7,2,Matches
67,Lucas Beraldo,br BRA,DF,Paris S-G,20,2003,22.3,38,31,30,8,0,23,37,62.2,14,16,8,8,21,59,63,3,Matches
68,Maxime Bernauer,fr FRA,DF,Saint-Étienne,26,1998,8.5,9,9,5,2,2,5,8,62.5,3,7,3,4,5,14,44,1,Matches
69,Dimitry Bertaud,cd COD,GK,Montpellier,26,1998,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
70,Mika Biereth,dk DEN,FW,Monaco,21,2003,13.6,5,5,0,3,2,3,7,42.9,4,11,0,11,4,9,7,0,Matches
71,Emmanuel Biumla,fr FRA,DF,Angers,19,2005,14.8,19,12,14,5,0,12,18,66.7,6,18,8,10,8,27,84,1,Matches
72,Marco Bizot,nl NED,GK,Brest,33,1991,32.0,2,1,2,0,0,1,2,50.0,1,0,0,0,0,2,33,0,Matches
73,Ludovic Blas,fr FRA,"MF,FW",Rennes,26,1997,25.5,38,25,9,12,17,23,42,54.8,19,16,2,14,13,51,11,0,Matches
74,Augustine Boakye,gh GHA,"FW,MF",Saint-Étienne,23,2000,8.1,7,3,3,4,0,3,11,27.3,8,5,0,5,6,13,4,0,Matches
75,Mathéo Bodmer,fr FRA,MF,Le Havre,20,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
76,Jeremie Boga,ci CIV,"MF,FW",Nice,27,1997,11.7,10,5,2,5,3,4,8,50.0,4,13,0,13,3,13,2,1,Matches
77,Moïse Bombito,ca CAN,DF,Nice,24,2000,24.4,37,25,22,12,3,24,35,68.6,11,35,19,16,18,55,121,7,Matches
