Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Leonardo Balerdi,ARG,DF,Marseille,25.0,1999.0,25.3,9,1,1,28,20,0,2,38,39,0,0,1,161,39,21,65.0
Fodé Ballo-Touré,SEN,"DF,MF",Le Havre,27.0,1997.0,6.5,0,0,0,3,14,0,21,4,7,0,0,0,31,4,5,44.4
Folarin Balogun,USA,FW,Monaco,23.0,2001.0,6.8,0,0,0,7,9,8,5,1,1,0,0,0,15,4,20,16.7
Abdoulaye Bamba,CIV,DF,Angers,34.0,1990.0,16.8,2,0,0,10,7,0,5,19,12,0,0,0,47,11,17,39.3
Mohamed Bamba,CIV,MF,Reims,19.0,2004.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
Valentín Barco,ARG,"MF,DF",Strasbourg,20.0,2004.0,12.9,2,0,0,17,29,0,31,13,22,0,1,0,79,7,7,50.0
Bradley Barcola,FRA,FW,Paris S-G,21.0,2002.0,24.2,2,0,0,30,22,7,25,19,17,0,0,0,67,14,7,66.7
Melvin Bard,FRA,"DF,MF",Nice,23.0,2000.0,21.5,4,2,1,17,22,2,60,29,36,0,0,0,124,24,20,54.5
Gabriel Bares,SUI,"MF,DF",Montpellier,23.0,2000.0,0.6,0,0,0,0,1,0,1,1,2,0,0,0,1,0,1,0.0
Téo Barisic,CRO,DF,Lyon,19.0,2004.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dylan Batubinsika,COD,DF,Saint-Étienne,28.0,1996.0,22.4,3,1,0,24,13,0,1,39,13,0,3,1,76,45,17,72.6
Haris Belkebla,ALG,MF,Angers,30.0,1994.0,19.9,1,0,0,18,32,1,3,35,38,0,0,0,90,8,21,27.6
Yassin Belkhdim,FRA,MF,Angers,22.0,2002.0,16.9,4,0,0,28,15,2,16,21,27,0,0,0,74,5,15,25.0
Eliesse Ben Seghir,MAR,"MF,FW",Monaco,19.0,2005.0,19.4,0,0,0,25,55,2,52,13,22,0,0,0,86,13,22,37.1
Ismaël Bennacer,ALG,MF,Marseille,26.0,1997.0,7.2,2,0,0,19,11,0,28,10,10,0,0,0,50,2,4,33.3
Saïd Benrahma,ALG,"FW,MF",Lyon,28.0,1995.0,8.2,0,0,0,6,6,6,43,3,5,0,0,0,32,0,0,
Nabil Bentaleb,ALG,MF,Lille,29.0,1994.0,3.7,0,0,0,3,1,0,6,5,3,0,0,0,20,3,3,50.0
Lucas Beraldo,BRA,DF,Paris S-G,20.0,2003.0,22.3,6,0,0,22,9,1,3,21,31,0,1,0,115,45,21,68.2
Maxime Bernauer,FRA,DF,Saint-Étienne,26.0,1998.0,8.5,4,1,1,10,4,0,0,5,9,0,1,0,37,11,7,61.1
Dimitry Bertaud,COD,GK,Montpellier,26.0,1998.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Mika Biereth,DEN,FW,Monaco,21.0,2003.0,13.6,0,0,0,19,30,6,8,4,5,1,0,0,23,18,29,38.3
Emmanuel Biumla,FRA,DF,Angers,19.0,2005.0,14.8,2,0,0,7,10,0,0,8,12,0,1,0,37,16,12,57.1
Marco Bizot,NED,GK,Brest,33.0,1991.0,32.0,4,0,0,1,5,0,0,0,1,0,0,0,34,5,0,100.0
Ludovic Blas,FRA,"MF,FW",Rennes,26.0,1997.0,25.5,6,0,0,31,54,1,124,13,25,1,0,0,88,11,37,22.9
Augustine Boakye,GHA,"FW,MF",Saint-Étienne,23.0,2000.0,8.1,5,0,0,19,7,3,5,6,3,0,0,0,27,5,14,26.3
Mathéo Bodmer,FRA,MF,Le Havre,20.0,2004.0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Jeremie Boga,CIV,"MF,FW",Nice,27.0,1997.0,11.7,0,0,0,1,17,5,21,3,5,0,0,0,44,3,4,42.9
Moïse Bombito,CAN,DF,Nice,24.0,2000.0,24.4,3,1,1,28,13,0,2,18,25,0,1,1,97,48,52,48.0
Saïmon Bouabré,FRA,"MF,FW",Monaco,18.0,2006.0,1.1,0,0,0,1,2,0,0,0,0,0,0,0,2,0,3,0.0
Ayyoub Bouaddi,FRA,MF,Lille,16.0,2007.0,12.8,2,0,0,18,9,0,3,10,31,0,0,0,62,9,9,50.0
Badredine Bouanani,ALG,"MF,FW",Nice,19.0,2004.0,12.2,2,0,0,13,17,2,33,11,4,0,0,0,44,2,16,11.1
Benjamin Bouchouari,MAR,MF,Saint-Étienne,22.0,2001.0,19.7,6,0,0,15,42,0,9,17,27,0,1,0,119,6,17,26.1
Hicham Boudaoui,ALG,MF,Nice,24.0,1999.0,27.1,9,0,0,41,51,3,17,22,52,1,0,0,175,16,34,32.0
Justin Bourgault,FRA,DF,Brest,18.0,2005.0,1.4,0,0,0,1,1,0,4,0,1,0,0,0,11,1,2,33.3
Benjamin Bourigeaud,FRA,MF,Rennes,30.0,1994.0,0.9,0,0,0,0,0,0,6,2,0,0,0,0,4,2,2,50.0
Bilal Brahimi,ALG,MF,Nice,24.0,2000.0,0.8,0,0,0,3,0,0,5,0,0,0,0,0,1,0,0,
Lilian Brassier,FRA,DF,Marseille,24.0,1999.0,8.7,3,0,0,7,3,0,5,9,6,0,0,0,38,17,7,70.8
Lilian Brassier,FRA,DF,Rennes,24.0,1999.0,13.7,1,0,0,9,12,0,9,22,12,0,1,0,59,30,8,78.9
Anthony Briançon,FRA,DF,Saint-Étienne,29.0,1994.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aurélio Buta,POR,DF,Reims,27.0,1997.0,21.9,5,0,0,32,27,3,32,22,24,0,1,0,69,12,15,44.4
Marcin Bułka,POL,GK,Nice,24.0,1999.0,34.0,0,0,0,0,5,0,0,0,0,0,0,0,62,8,0,100.0
Rémy Cabella,FRA,"FW,MF",Lille,34.0,1990.0,11.2,1,0,0,16,19,2,60,8,19,1,1,0,63,3,8,27.3
Mathieu Cafaro,FRA,"MF,FW",Saint-Étienne,27.0,1997.0,8.1,3,1,0,11,14,3,27,7,7,0,1,0,30,3,4,42.9
Duje Ćaleta-Car,CRO,DF,Lyon,27.0,1996.0,17.6,8,0,0,27,9,2,1,17,12,0,0,0,65,39,12,76.5
Issiaga Camara,GUI,MF,Nice,19.0,2005.0,0.2,0,0,0,0,2,0,0,3,1,0,0,0,4,0,1,0.0
Lamine Camara,SEN,MF,Monaco,20.0,2004.0,22.8,10,1,1,45,39,0,118,31,41,0,0,0,153,21,21,50.0
Mahdi Camara,FRA,"MF,FW",Brest,26.0,1998.0,29.5,5,0,0,41,46,3,46,33,40,1,0,0,98,17,31,35.4
Ousmane Camara,MLI,DF,Angers,21.0,2003.0,2.8,1,0,0,1,0,0,0,0,3,0,0,0,6,4,3,57.1
Axel Camblan,FRA,"MF,FW",Brest,20.0,2003.0,0.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0
Jaydee Canvot,FRA,"DF,MF",Toulouse,18.0,2006.0,12.3,2,0,0,18,3,0,6,11,11,0,0,0,50,16,13,55.2
Pierrick Capelle,FRA,MF,Angers,37.0,1987.0,5.4,4,0,0,12,3,1,10,11,17,0,0,0,28,3,5,37.5
Gabin Capuano,FRA,FW,Lens,18.0,2006.0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Maxence Caqueret,FRA,MF,Lyon,24.0,2000.0,6.4,1,0,0,4,6,1,6,7,11,0,0,0,24,1,3,25.0
Simon Cara,FRA,"MF,FW",Montpellier,19.0,2005.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Valentin Carboni,ARG,"MF,FW",Marseille,19.0,2005.0,1.1,1,0,0,5,1,0,2,1,2,0,0,0,2,2,1,66.7
Irvin Cardona,MLT,FW,Saint-Étienne,26.0,1997.0,11.8,2,0,0,12,10,3,31,4,5,0,0,0,26,10,8,55.6
Patrik Carlgren,SWE,GK,Nantes,32.0,1992.0,4.6,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0.0
