Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Mauro Júnior,BRA,"DF,MF",PSV Eindhoven,25.0,1999.0,22.3,1436,1637,87.7,22595,6007,766,819,93.5,536,602,89.0,90,135,66.7,6,5.0,4.7,1.0,32,98,37,15,121
Hidde Jurjus,NED,GK,Groningen,30.0,1994.0,2.0,59,86,68.6,1640,1304,13,13,100.0,29,30,96.7,17,43,39.5,0,0.0,0.0,0.0,0,2,0,0,0
Daniël van Kaam,NED,MF,Heracles Almelo,24.0,2000.0,12.0,415,523,79.3,7052,2115,188,216,87.0,171,198,86.4,41,79,51.9,3,1.6,1.2,1.4,23,46,2,1,40
Junior Kadile,FRA,"FW,MF",Almere City,21.0,2002.0,24.5,403,605,66.6,5856,1308,227,282,80.5,136,199,68.3,18,48,37.5,2,1.6,2.0,0.4,18,18,20,6,47
Jochem van de Kamp,NED,"MF,FW",Almere City,20.0,2003.0,22.2,623,776,80.3,10591,1978,290,343,84.5,254,308,82.5,61,76,80.3,1,1.1,1.8,-0.1,19,51,18,2,72
Ahmetcan Kaplan,TUR,DF,Ajax,21.0,2003.0,6.2,463,503,92.0,7745,2637,211,219,96.3,214,224,95.5,28,44,63.6,0,0.1,0.5,-0.1,4,43,4,0,44
Daniel Karlsbakk,NOR,FW,Heerenveen,21.0,2003.0,3.0,32,55,58.2,414,48,20,28,71.4,9,15,60.0,0,1,0.0,0,0.0,0.2,0.0,2,1,1,0,7
Souffian El Karouani,MAR,DF,Utrecht,23.0,2000.0,33.0,1230,1817,67.7,24067,9126,476,555,85.8,544,766,71.0,184,396,46.5,8,6.5,6.9,1.5,75,91,39,25,129
Rick Karsdorp,NED,DF,PSV Eindhoven,29.0,1995.0,7.5,539,616,87.5,9449,2734,239,253,94.5,243,265,91.7,49,72,68.1,2,1.7,2.0,0.3,12,59,14,8,55
Neraysho Kasanwirjo,NED,DF,Feyenoord,22.0,2002.0,1.3,99,114,86.8,1877,667,31,33,93.9,62,66,93.9,6,12,50.0,0,0.2,0.1,-0.2,3,6,2,1,12
Denso Kasius,NED,DF,AZ Alkmaar,21.0,2002.0,15.1,641,835,76.8,12043,3460,269,314,85.7,286,350,81.7,78,139,56.1,3,3.9,3.4,-0.9,25,27,23,14,39
Adam Kayed,PLE,"MF,DF",NAC Breda,22.0,2002.0,5.2,137,181,75.7,1816,479,87,103,84.5,38,50,76.0,3,9,33.3,0,0.2,0.5,-0.2,6,5,2,1,8
Dennis Kaygin,GER,MF,Willem II,20.0,2004.0,2.6,74,95,77.9,1147,424,44,47,93.6,26,31,83.9,4,10,40.0,1,0.2,0.1,0.8,4,5,2,1,8
Emilio Kehrer,GER,"FW,MF",Willem II,22.0,2002.0,10.9,179,263,68.1,2720,652,107,137,78.1,43,64,67.2,19,32,59.4,3,1.7,1.2,1.3,21,7,6,1,13
Fabian de Keijzer,NED,GK,Heracles Almelo,24.0,2000.0,34.0,826,1305,63.3,28059,22081,123,125,98.4,351,356,98.6,350,817,42.8,1,0.1,0.4,0.9,4,56,5,0,0
Boy Kemper,NED,DF,NAC Breda,25.0,1999.0,26.7,900,1256,71.7,14681,5794,451,533,84.6,363,493,73.6,68,168,40.5,3,3.8,3.7,-0.8,20,78,27,15,97
Sam Kersten,NED,DF,Heerenveen,26.0,1998.0,26.4,1475,1650,89.4,26159,9935,578,618,93.5,778,835,93.2,94,150,62.7,1,0.4,0.5,0.6,8,91,4,0,100
Joey Kesting,NED,GK,RKC Waalwijk,23.0,2001.0,3.0,73,103,70.9,2371,1918,12,13,92.3,27,27,100.0,34,63,54.0,0,0.0,0.0,0.0,0,4,0,0,0
Joshua Kitolano,NOR,MF,Sparta R'dam,22.0,2001.0,17.6,515,638,80.7,8185,2345,259,300,86.3,229,272,84.2,20,41,48.8,2,1.3,1.8,0.7,20,52,15,4,65
Mathias Kjølø,NOR,MF,Twente,23.0,2001.0,9.6,476,580,82.1,8092,2326,232,264,87.9,191,218,87.6,42,67,62.7,1,0.5,0.8,0.5,6,67,6,1,56
Davy Klaassen,NED,MF,Ajax,31.0,1993.0,24.2,813,944,86.1,11849,3390,449,484,92.8,288,340,84.7,38,53,71.7,2,2.6,3.0,-0.6,21,67,21,1,99
Mike Kleijn,NED,DF,Sparta R'dam,19.0,2005.0,3.1,111,142,78.2,2163,550,37,43,86.0,61,74,82.4,11,19,57.9,1,0.1,0.1,0.9,2,6,3,2,9
Mats Köhlert,GER,DF,Heerenveen,26.0,1998.0,27.5,1647,1977,83.3,27276,8314,811,862,94.1,681,804,84.7,122,243,50.2,5,5.6,4.9,-0.6,65,105,42,23,156
Don-Angelo Konadu,NED,FW,Ajax,18.0,2006.0,0.7,13,18,72.2,156,47,8,11,72.7,4,4,100.0,0,0,,1,0.2,0.4,0.8,2,3,0,0,1
Terence Kongolo,NED,DF,NAC Breda,30.0,1994.0,9.8,375,435,86.2,6619,2440,142,156,91.0,204,218,93.6,20,42,47.6,0,0.2,0.3,-0.2,4,27,2,2,26
Luuk Koopmans,NED,GK,Fortuna Sittard,30.0,1993.0,6.0,85,185,45.9,3728,3354,6,6,100.0,20,21,95.2,59,157,37.6,0,0.0,0.0,0.0,0,10,0,0,0
Peer Koopmeiners,NED,"MF,DF",AZ Alkmaar,24.0,2000.0,31.0,1437,1827,78.7,25809,8019,613,719,85.3,661,766,86.3,132,267,49.4,7,5.1,5.3,1.9,45,167,30,6,170
Hasip Korkmazyürek,GER,MF,Fortuna Sittard,21.0,2003.0,0.1,2,2,100.0,77,15,0,0,,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1
Roy Kortsmit,NED,GK,NAC Breda,31.0,1992.0,1.0,17,30,56.7,763,679,1,1,100.0,3,3,100.0,13,26,50.0,0,0.0,0.0,0.0,0,4,0,0,0
Martin Koscelník,SVK,DF,NAC Breda,29.0,1995.0,1.2,30,46,65.2,438,85,15,22,68.2,13,17,76.5,1,4,25.0,0,0.2,0.4,-0.2,1,1,0,0,1
Kacper Kostorz,POL,"FW,MF",NAC Breda,24.0,1999.0,6.3,74,121,61.2,1005,151,43,62,69.4,21,35,60.0,5,8,62.5,0,1.1,0.6,-1.1,7,4,2,0,5
Joris Kramer,NED,DF,Go Ahead Eag,27.0,1996.0,33.8,2155,2435,88.5,40760,14059,775,819,94.6,1159,1233,94.0,199,321,62.0,1,1.2,2.0,-0.2,15,170,19,3,136
Michiel Kramer,NED,FW,RKC Waalwijk,35.0,1988.0,9.4,144,209,68.9,2142,408,78,110,70.9,48,66,72.7,8,12,66.7,0,0.4,0.3,-0.4,7,7,0,0,15
Filip Krastev,BUL,"FW,MF",Zwolle,22.0,2001.0,24.2,689,872,79.0,10236,2643,407,472,86.2,198,243,81.5,51,86,59.3,4,4.4,4.3,-0.4,38,76,24,3,90
Wessel Kuhn,NED,DF,PSV Eindhoven,17.0,2006.0,0.1,10,14,71.4,168,15,6,8,75.0,2,4,50.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0
Roy Kuijpers,NED,"FW,MF",NAC Breda,24.0,2000.0,2.6,41,68,60.3,748,162,17,21,81.0,21,30,70.0,3,10,30.0,0,0.3,0.3,-0.3,3,2,1,0,4
Bas Kuipers,NED,DF,Twente,29.0,1994.0,19.2,727,943,77.1,12134,4104,348,387,89.9,303,364,83.2,58,135,43.0,3,3.0,2.3,0.0,26,49,24,8,72
Luka Kulenović,BIH,FW,Heracles Almelo,24.0,1999.0,16.2,201,336,59.8,2708,612,127,182,69.8,55,96,57.3,9,13,69.2,2,1.9,0.9,0.1,17,19,5,1,26
Harry Kuster,NED,"FW,MF",Twente,18.0,2005.0,0.1,4,5,80.0,64,0,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Dave Kwakman,NED,"MF,FW",AZ Alkmaar,19.0,2004.0,1.7,62,75,82.7,1157,182,28,29,96.6,23,24,95.8,10,14,71.4,0,0.0,0.0,0.0,0,6,1,0,4
Dave Kwakman,NED,"FW,MF",Groningen,19.0,2004.0,11.4,264,343,77.0,3723,647,153,180,85.0,80,100,80.0,14,33,42.4,0,0.7,0.5,-0.7,6,17,4,2,27
Amine Lachkar,NED,MF,Willem II,21.0,2003.0,19.3,795,917,86.7,15035,3736,297,337,88.1,392,429,91.4,96,121,79.3,0,0.2,0.8,-0.2,8,97,3,0,81
Gustaf Lagerbielke,SWE,DF,Twente,24.0,2000.0,16.1,907,1066,85.1,18050,7437,322,342,94.2,447,504,88.7,127,201,63.2,1,0.7,1.0,0.3,8,78,4,0,82
Samir Lagsir,NED,"MF,FW",Zwolle,21.0,2003.0,0.0,1,2,50.0,18,11,0,0,,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1
