Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 24_level_0_Matches
22,Julian Baas,nl NED,MF,Sparta R'dam,22,2002,9.4,1,0,0,8,8,0,50,12,12,0,0,0,28,12,8,60.0,Matches
23,Youri Baas,nl NED,DF,Ajax,21,2003,22.7,2,0,0,16,24,1,3,33,12,0,0,0,111,28,31,47.5,Matches
24,Isaac Babadi,nl NED,MF,PSV Eindhoven,19,2005,1.9,0,0,0,1,0,0,4,3,5,0,0,0,17,1,2,33.3,Matches
25,Leandro Bacuna,cw CUW,"DF,MF",Groningen,32,1991,25.9,8,0,0,20,9,0,88,22,21,0,0,1,104,26,25,51.0,Matches
26,Thibo Baeten,be BEL,"MF,FW",Go Ahead Eag,22,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
27,Esmir Bajraktarevic,ba BIH,"FW,DF",PSV Eindhoven,19,2005,0.3,0,0,0,0,1,0,2,0,0,0,0,0,2,0,1,0.0,Matches
28,Saïd Bakari,km COM,DF,Sparta R'dam,29,1994,23.8,3,0,0,18,7,1,44,29,35,0,1,0,115,20,26,43.5,Matches
29,Johan Bakayoko,be BEL,FW,PSV Eindhoven,21,2003,17.5,1,0,0,23,13,7,90,8,14,0,1,0,61,4,9,30.8,Matches
30,Nordin Bakker,nl NED,GK,Almere City,26,1997,33.9,0,0,0,0,1,0,0,0,0,0,0,1,77,11,2,84.6,Matches
31,Max Balard,au AUS,MF,NAC Breda,23,2000,32.6,6,0,0,26,29,0,2,47,36,0,0,0,155,19,33,36.5,Matches
32,Alex Balboa,gq EQG,MF,Almere City,23,2001,4.5,3,0,0,10,12,0,1,2,2,0,0,0,18,7,3,70.0,Matches
33,Théo Barbet,fr FRA,DF,Almere City,23,2001,9.6,1,0,0,10,9,0,1,11,8,0,0,1,30,18,29,38.3,Matches
34,Vasilios Barkas,gr GRE,GK,Utrecht,30,1994,31.0,1,0,0,0,3,0,0,0,2,0,0,0,45,7,1,87.5,Matches
35,Samuel Bastien,cd COD,"MF,FW",Fortuna Sittard,27,1996,14.4,0,0,0,7,12,0,29,3,10,0,0,0,49,8,21,27.6,Matches
36,Riechedly Bazoer,cw CUW,MF,AZ Alkmaar,27,1996,0.0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,,Matches
37,Guus Beaumont,nl NED,MF,Almere City,22,2002,0.1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0.0,Matches
38,Thomas Beelen,nl NED,DF,Feyenoord,23,2001,18.9,1,0,0,15,9,2,3,31,15,0,0,0,98,49,41,54.4,Matches
39,Raffael Behounek,at AUT,DF,Willem II,27,1997,30.9,5,1,0,14,10,1,4,34,18,0,0,1,143,31,34,47.7,Matches
40,Kristijan Belic,rs SRB,MF,AZ Alkmaar,23,2001,6.5,4,0,0,17,9,0,1,12,20,0,0,0,46,17,11,60.7,Matches
41,Mimeirhel Benita,nl NED,DF,Heracles Almelo,20,2003,22.6,3,0,0,16,32,1,41,41,37,0,1,1,117,33,23,58.9,Matches
42,Walter Benítez,ar ARG,GK,PSV Eindhoven,31,1993,33.5,0,0,0,0,2,0,0,0,1,0,0,0,81,6,0,100.0,Matches
43,Mitchell van Bergen,nl NED,FW,Sparta R'dam,24,1999,12.5,0,0,0,4,8,7,87,6,7,0,0,0,33,0,5,0.0,Matches
44,Mitchell van Bergen,nl NED,FW,Twente,24,1999,8.9,0,0,0,1,6,2,64,0,4,0,0,0,30,2,7,22.2,Matches
45,Thom van Bergen,nl NED,FW,Groningen,20,2004,27.4,3,0,0,42,44,7,8,12,23,0,0,1,97,74,112,39.8,Matches
46,Steven Berghuis,nl NED,"FW,MF",Ajax,32,1991,15.9,2,0,0,12,10,5,108,6,10,0,0,0,66,8,7,53.3,Matches
47,Steven Bergwijn,nl NED,FW,Ajax,26,1997,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
48,Gijs Besselink,nl NED,MF,Twente,20,2004,3.6,2,0,0,10,3,0,1,3,4,0,0,0,17,8,17,32.0,Matches
49,Daniel Bielica,pl POL,GK,NAC Breda,25,1999,32.0,2,0,0,0,2,0,0,0,1,0,0,0,37,6,0,100.0,Matches
50,Justin Bijlow,nl NED,GK,Feyenoord,26,1998,4.0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,100.0,Matches
51,Adrian Blake,eng ENG,"FW,MF",Utrecht,19,2005,5.2,1,0,0,5,12,0,14,2,7,0,0,0,29,0,2,0.0,Matches
52,Thijmen Blokzijl,nl NED,DF,Groningen,19,2005,24.7,1,1,0,11,7,0,0,32,19,0,2,0,105,38,37,50.7,Matches
53,Ofosu Boakye,,FW,Go Ahead Eag,,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,Matches
54,Paweł Bochniewicz,pl POL,DF,Heerenveen,28,1996,12.3,3,0,0,8,7,2,2,24,7,0,0,0,66,41,21,66.1,Matches
