Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 22_level_0_Ast,Unnamed: 23_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 26_level_0_KP,Unnamed: 27_level_0_1/3,Unnamed: 28_level_0_PPA,Unnamed: 29_level_0_CrsPA,Unnamed: 30_level_0_PrgP,Unnamed: 31_level_0_Matches
314,Guilherme Ramos,pt POR,"DF,FW",Hamburger SV,28-134,1997,0.3,26,36,72.2,494,81,7,12,58.3,19,23,82.6,0,0,,0,0.0,0.0,0.0,1,2,0,0,3,Matches
315,Grant Ranos,am ARM,"MF,DF",Gladbach,22-156,2003,1.3,37,50,74.0,492,105,22,22,100.0,13,20,65.0,0,4,0.0,0,0.1,0.1,-0.1,1,1,1,0,3,Matches
316,David Raum,de GER,DF,RB Leipzig,27-245,1998,14.7,804,1111,72.4,15233,6620,331,376,88.0,348,448,77.7,112,236,47.5,1,4.2,5.0,-3.2,50,82,14,8,82,Matches
317,Rocco Reitz,de GER,MF,Gladbach,23-208,2002,14.1,483,672,71.9,7983,2738,232,273,85.0,197,250,78.8,40,91,44.0,1,1.6,1.7,-0.6,16,55,17,3,67,Matches
318,Nicolai Remberg,de GER,MF,Hamburger SV,25-187,2000,14.0,526,583,90.2,9832,1971,203,220,92.3,266,281,94.7,51,66,77.3,1,1.0,0.7,0.0,4,34,3,0,41,Matches
319,Elvis Rexhbeçaj,xk KVX,"MF,DF",Augsburg,28-052,1997,6.9,221,289,76.5,3539,1107,107,122,87.7,89,108,82.4,18,41,43.9,0,0.3,0.7,-0.3,5,19,5,1,26,Matches
320,Gio Reyna,us USA,MF,Gladbach,23-040,2002,4.2,164,202,81.2,2705,662,89,101,88.1,47,59,79.7,21,25,84.0,0,0.4,1.2,-0.4,6,11,11,1,22,Matches
321,Fabian Rieder,ch SUI,"MF,FW",Augsburg,23-310,2002,11.7,260,398,65.3,4359,1395,132,166,79.5,95,138,68.8,28,70,40.0,2,1.8,2.0,+0.2,17,25,13,6,46,Matches
322,Lasse Rieß,de GER,GK,Mainz 05,24-149,2001,3.2,69,108,63.9,1898,1427,15,15,100.0,37,37,100.0,17,55,30.9,0,0.0,0.0,0.0,0,4,1,0,1,Matches
323,Lars Ritzka,de GER,DF,St. Pauli,27-230,1998,3.7,127,172,73.8,2394,944,47,56,83.9,63,75,84.0,14,32,43.8,0,0.0,0.0,0.0,0,9,1,0,9,Matches
324,Merlin Röhl,de GER,"FW,MF",Freiburg,23-171,2002,0.7,25,29,86.2,366,44,16,18,88.9,6,6,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,1,0,1,Matches
325,Rômulo,br BRA,FW,RB Leipzig,23-318,2002,9.7,162,234,69.2,2137,594,101,130,77.7,33,46,71.7,11,14,78.6,3,1.4,0.7,+1.6,11,10,7,0,24,Matches
