Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Konrad Laimer,AUT,DF,Bayern Munich,28-210,1997,11.1,679,781,86.9,9248,2417,430,462,93.1,208,237,87.8,22,37,59.5,3,2.7,2.1,0.3,22,51,18,4,84
Hugo Larsson,SWE,MF,Eint Frankfurt,21-179,2004,6.9,284,349,81.4,4910,1523,131,149,87.9,128,151,84.8,21,35,60.0,2,0.3,0.4,1.7,7,26,3,1,27
Diogo Leite,POR,DF,Union Berlin,26-334,1999,10.6,290,401,72.3,5502,2153,108,127,85.0,141,176,80.1,35,77,45.5,0,0.2,0.3,-0.2,2,31,0,0,41
Maxim Leitsch,GER,DF,Mainz 05,27-219,1998,1.8,72,92,78.3,1326,532,32,35,91.4,29,37,78.4,9,16,56.3,0,0.0,0.0,0.0,0,8,1,0,6
Tim Lemperle,GER,FW,Hoffenheim,23-321,2002,11.1,192,279,68.8,2486,559,119,152,78.3,56,78,71.8,6,13,46.2,1,1.3,1.3,-0.3,14,12,8,2,22
Jamie Leweling,GER,"FW,DF",Stuttgart,24-300,2001,11.5,267,377,70.8,3762,1188,154,173,89.0,82,125,65.6,15,40,37.5,5,2.3,2.6,2.7,20,13,20,13,27
Philipp Lienhart,AUT,DF,Freiburg,29-165,1996,9.5,658,782,84.1,12645,4148,218,224,97.3,364,410,88.8,67,128,52.3,0,0.1,0.4,-0.1,3,60,6,4,51
Jesper Lindstrøm,DEN,"MF,FW",Wolfsburg,25-297,2000,0.1,9,10,90.0,143,24,4,4,100.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,1,1,0,0,1
Castello Lukeba,FRA,DF,RB Leipzig,23-006,2002,14.0,852,954,89.3,14820,5342,335,352,95.2,470,501,93.8,41,90,45.6,0,0.2,0.3,-0.2,5,47,2,0,62
Kristoffer Lund,USA,DF,Köln,23-223,2002,9.7,334,446,74.9,5647,1795,167,188,88.8,133,179,74.3,31,61,50.8,1,0.3,0.4,0.7,6,18,10,7,27
