Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 36_level_0_Matches
76,Sirlord Conteh,de GER,"FW,MF",Heidenheim,29-167,1996,5,2,260,2.9,1,1,2,1,0,0,1,0,1.3,1.3,0.6,1.9,4,4,18,0.35,0.35,0.69,0.35,0.69,0.44,0.21,0.65,0.44,0.65,Matches
77,Danny da Costa,de GER,DF,Mainz 05,32-163,1993,15,13,1229,13.7,1,0,1,1,0,0,3,0,0.6,0.6,0.6,1.3,11,64,13,0.07,0.00,0.07,0.07,0.07,0.05,0.05,0.09,0.05,0.09,Matches
78,Vladimír Coufal,cz CZE,DF,Hoffenheim,33-123,1992,15,15,1335,14.8,1,4,5,1,0,0,1,0,0.3,0.3,2.9,3.2,25,64,50,0.07,0.27,0.34,0.07,0.34,0.02,0.20,0.22,0.02,0.22,Matches
79,Abdoul Coulibaly,de GER,DF,Werder Bremen,18-214,2007,14,13,1130,12.6,1,0,1,1,0,0,5,1,0.5,0.5,0.2,0.7,7,28,0,0.08,0.00,0.08,0.08,0.08,0.04,0.01,0.05,0.04,0.05,Matches
80,Yan Couto,br BRA,"DF,MF",Dortmund,23-203,2002,10,8,668,7.4,1,2,3,1,0,0,4,0,0.6,0.6,2.7,3.2,28,20,70,0.13,0.27,0.40,0.13,0.40,0.08,0.36,0.44,0.08,0.44,Matches
81,Patrice Čović,hr CRO,"MF,FW",Werder Bremen,18-181,2007,9,2,223,2.5,0,0,0,0,0,0,1,0,0.7,0.7,0.5,1.2,7,10,16,0.00,0.00,0.00,0.00,0.00,0.28,0.19,0.47,0.28,0.47,Matches
82,Montrell Culbreath,de GER,MF,Leverkusen,18-116,2007,1,0,14,0.2,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,1,0,1,6.43,0.00,6.43,6.43,6.43,3.83,0.54,4.37,3.83,4.37,Matches
83,Adam Daghim,dk DEN,FW,Wolfsburg,20-086,2005,9,5,549,6.1,2,0,2,2,0,0,0,0,0.7,0.7,0.0,0.8,25,18,50,0.33,0.00,0.33,0.33,0.33,0.12,0.01,0.13,0.12,0.13,Matches
84,Finn Dahmen,de GER,GK,Augsburg,27-271,1998,15,15,1350,15.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
85,Mahmoud Dahoud,de GER,MF,Eint Frankfurt,29-356,1996,7,5,384,4.3,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,4,20,3,0.23,0.00,0.23,0.23,0.23,0.15,0.01,0.16,0.15,0.16,Matches
86,David Daiber,pt POR,MF,Bayern Munich,18-347,2007,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
87,Ameen Al-Dakhil,be BEL,DF,Stuttgart,23-292,2002,7,3,357,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,14,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
88,Muhammed Damar,de GER,"FW,MF",Hoffenheim,21-258,2004,8,2,227,2.5,0,0,0,0,0,0,0,0,0.8,0.8,0.4,1.2,1,13,17,0.00,0.00,0.00,0.00,0.00,0.30,0.17,0.47,0.30,0.47,Matches
89,Bence Dárdai,hu HUN,MF,Wolfsburg,19-333,2006,1,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,Matches
90,Aiman Dardari,lu LUX,MF,Augsburg,20-277,2005,3,0,34,0.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,5,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches
91,Alphonso Davies,ca CAN,DF,Bayern Munich,25-051,2000,2,0,48,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,2,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
92,Ermedin Demirović,ba BIH,FW,Stuttgart,27-273,1998,6,6,492,5.5,3,1,4,2,1,1,1,0,2.2,1.4,0.5,1.9,4,11,29,0.55,0.18,0.73,0.37,0.55,0.41,0.09,0.50,0.26,0.35,Matches
93,Rav van den Berg,nl NED,DF,Köln,21-169,2004,6,5,500,5.6,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
94,Luis Díaz,co COL,FW,Bayern Munich,28-344,1997,14,13,1162,12.9,8,6,14,8,0,0,5,0,7.6,7.6,2.8,10.4,53,47,159,0.62,0.46,1.08,0.62,1.08,0.59,0.22,0.80,0.59,0.80,Matches
95,Kevin Diks,id IDN,DF,Gladbach,29-078,1996,15,14,1243,13.8,2,0,2,0,2,2,3,0,2.3,0.8,0.2,1.0,14,60,10,0.14,0.00,0.14,0.00,0.00,0.17,0.01,0.18,0.06,0.07,Matches
96,Eren Dinkçi,de GER,"MF,FW",Freiburg,24-010,2001,8,3,248,2.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,4,7,11,0.00,0.00,0.00,0.00,0.00,0.12,0.04,0.15,0.12,0.15,Matches
97,Yan Diomandé,ci CIV,FW,RB Leipzig,19-039,2006,14,10,888,9.9,6,2,8,6,0,0,2,0,3.2,3.2,1.1,4.3,62,40,78,0.61,0.20,0.81,0.61,0.81,0.32,0.12,0.44,0.32,0.44,Matches
