Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Damian van Bruggen,NED,DF,Almere City,27.0,1996.0,27.8,29,17,14,15,0,14,24,58.3,10,33,23,10,56,85,118,1
Jordy Bruijn,NED,MF,Heracles Almelo,27.0,1996.0,7.6,10,5,7,2,1,4,14,28.6,10,5,1,4,4,14,8,0
Jeffrey Bruma,NED,DF,RKC Waalwijk,31.0,1991.0,4.4,4,4,3,1,0,2,3,66.7,1,12,8,4,4,8,21,1
Max Bruns,NED,DF,Twente,20.0,2002.0,6.3,8,6,4,3,1,4,8,50.0,4,6,3,3,7,15,21,1
Thomas Bruns,NED,"MF,FW",Heracles Almelo,31.0,1992.0,12.0,24,16,11,10,3,13,25,52.0,12,13,2,11,6,30,9,0
Charles-Andréas Brym,CAN,"FW,MF",Sparta R'dam,24.0,1998.0,15.3,16,12,11,2,3,4,10,40.0,6,6,0,6,4,20,18,1
Thomas Buitink,NED,FW,Vitesse,23.0,2000.0,5.3,5,1,1,2,2,2,10,20.0,8,1,0,1,0,5,2,0
Stijn Bultman,NED,DF,Heracles Almelo,18.0,2005.0,12.4,29,22,18,10,1,14,20,70.0,6,24,9,15,17,46,62,0
Oskar Buur,DEN,DF,Volendam,25.0,1998.0,18.3,42,28,24,12,6,25,42,59.5,17,14,6,8,13,55,52,0
Zico Buurmeester,NED,MF,Zwolle,21.0,2002.0,15.1,23,15,13,9,1,11,25,44.0,14,15,6,9,25,48,29,0
Yoann Cathline,FRA,"DF,FW",Almere City,21.0,2002.0,19.1,28,23,10,9,9,11,22,50.0,11,14,0,14,9,37,8,0
Sava Cestic,SRB,DF,Heracles Almelo,22.0,2001.0,2.3,3,2,2,1,0,3,4,75.0,1,7,6,1,6,9,11,0
Tjaronn Chery,SUR,"MF,FW",NEC Nijmegen,35.0,1988.0,11.5,8,6,4,4,0,4,12,33.3,8,8,3,5,4,12,2,0
Jasper Cillessen,NED,GK,NEC Nijmegen,34.0,1989.0,29.3,0,0,0,0,0,0,4,0.0,4,1,0,1,0,0,7,2
Jordy Clasie,NED,MF,AZ Alkmaar,32.0,1991.0,27.4,63,32,24,34,5,28,54,51.9,26,22,4,18,43,106,35,0
Pelle Clement,NED,"MF,FW",Sparta R'dam,27.0,1996.0,21.1,35,17,16,14,5,18,46,39.1,28,29,12,17,18,53,46,0
