Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Pelle van Amersfoort,NED,FW,Heerenveen,27.0,1996.0,23.7,10,81,33,40.7,3.42,1.39,0.12,0.3,13.2,0,0,0,9.9,9.9,0.12,0.1,0.1
Jamal Amofa,NED,DF,Go Ahead Eag,24.0,1998.0,18.5,1,3,2,66.7,0.16,0.11,0.33,0.5,8.4,0,0,0,0.3,0.3,0.11,0.7,0.7
Silas Andersen,DEN,FW,Utrecht,19.0,2004.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Augustin Anello,ITA,"FW,MF",Sparta R'dam,21.0,2002.0,2.5,0,6,2,33.3,2.4,0.8,0.0,0.0,19.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Joey Antonioli,NED,MF,Volendam,19.0,2003.0,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Carlens Arcus,HAI,DF,Vitesse,27.0,1996.0,24.2,0,11,3,27.3,0.45,0.12,0.0,0.0,28.1,0,0,0,0.2,0.2,0.02,-0.2,-0.2
D'Leanu Arts,NED,DF,NEC Nijmegen,20.0,2003.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Gastón Ávila,ARG,DF,Ajax,21.0,2001.0,3.9,0,3,1,33.3,0.76,0.25,0.0,0.0,14.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Marouan Azarkan,NED,FW,Utrecht,21.0,2001.0,8.8,0,3,0,0.0,0.34,0.0,0.0,,14.9,0,0,0,0.3,0.3,0.11,-0.3,-0.3
Anouar El Azzouzi,NED,MF,Zwolle,22.0,2001.0,14.6,0,9,2,22.2,0.62,0.14,0.0,0.0,18.2,0,0,0,0.8,0.8,0.09,-0.8,-0.8
Julian Baas,NED,MF,Excelsior,21.0,2002.0,32.0,2,12,5,41.7,0.37,0.16,0.08,0.2,24.1,4,1,1,1.7,0.9,0.08,0.3,0.1
Youri Baas,NED,"DF,FW",NEC Nijmegen,20.0,2003.0,19.1,3,15,10,66.7,0.79,0.52,0.2,0.3,15.2,0,0,0,2.1,2.1,0.14,0.9,0.9
Isaac Babadi,NED,MF,PSV Eindhoven,18.0,2005.0,3.9,1,11,6,54.5,2.79,1.52,0.09,0.17,17.0,0,0,0,1.2,1.2,0.11,-0.2,-0.2
Mio Backhaus,GER,GK,Volendam,19.0,2004.0,32.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Thibo Baeten,BEL,"FW,MF",Go Ahead Eag,21.0,2002.0,10.1,0,23,11,47.8,2.28,1.09,0.0,0.0,18.8,0,0,0,1.1,1.1,0.05,-1.1,-1.1
Saïd Bakari,COM,DF,Sparta R'dam,28.0,1994.0,31.7,0,17,6,35.3,0.54,0.19,0.0,0.0,21.7,0,0,0,1.1,1.1,0.06,-1.1,-1.1
