Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Thomas Bruns,NED,"MF,FW",Heracles Almelo,31.0,1992.0,12.0,522,450,67,17,3,6,51,16,21,6,11,0,355,5,14
Charles-Andréas Brym,CAN,"FW,MF",Sparta R'dam,24.0,1998.0,15.3,379,362,15,2,0,1,41,3,4,3,1,0,283,2,11
Thomas Buitink,NED,FW,Vitesse,23.0,2000.0,5.3,79,65,14,0,2,0,8,2,0,0,0,0,52,0,2
Stijn Bultman,NED,DF,Heracles Almelo,18.0,2005.0,12.4,619,601,18,9,0,9,0,4,0,0,0,0,492,0,6
Oskar Buur,DEN,DF,Volendam,25.0,1998.0,18.3,661,514,146,7,2,2,31,139,0,0,0,0,483,1,12
Zico Buurmeester,NED,MF,Zwolle,21.0,2002.0,15.1,586,557,26,8,0,2,16,4,12,5,5,0,475,3,10
Yoann Cathline,FRA,"DF,FW",Almere City,21.0,2002.0,19.1,551,506,40,4,2,2,69,19,16,0,7,0,353,5,24
Sava Cestic,SRB,DF,Heracles Almelo,22.0,2001.0,2.3,93,91,2,2,0,1,0,0,0,0,0,0,67,0,2
Tjaronn Chery,SUR,"MF,FW",NEC Nijmegen,35.0,1988.0,11.5,537,437,98,23,5,0,75,5,53,18,26,0,409,2,12
Jasper Cillessen,NED,GK,NEC Nijmegen,34.0,1989.0,29.3,1052,726,325,50,0,0,0,0,0,0,0,0,697,1,0
Jordy Clasie,NED,MF,AZ Alkmaar,32.0,1991.0,27.4,1766,1723,37,33,5,12,6,4,0,0,0,0,1554,6,14
Pelle Clement,NED,"MF,FW",Sparta R'dam,27.0,1996.0,21.1,897,792,99,33,2,1,69,16,38,25,6,0,680,6,31
