Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Yvandro Borges Sanches,LUX,"FW,MF",NEC Nijmegen,19.0,2004.0,2.4,143,1,21,44,81,10,143,20,12,60.0,6,30.0,82,714,350,10,12,4,10,3,105,26
Olivier Boscagli,FRA,DF,PSV Eindhoven,25.0,1997.0,31.5,3181,275,1182,1830,185,20,3181,18,15,83.3,3,16.7,1947,9806,6241,52,43,1,12,3,2207,12
Othman Boussaid,BEL,FW,Utrecht,23.0,2000.0,21.9,1182,10,141,546,517,57,1182,67,34,50.7,29,43.3,736,4910,2365,71,44,20,53,24,848,154
Amine Boutrah,FRA,FW,Vitesse,22.0,2000.0,20.2,991,14,127,441,441,87,991,79,31,39.2,44,55.7,707,5775,2583,85,57,38,59,30,751,182
Can Bozdogan,GER,MF,Utrecht,22.0,2001.0,21.8,1326,67,288,769,293,23,1326,46,25,54.3,17,37.0,726,4020,1774,30,25,6,39,17,799,60
Jayden Braaf,NED,"FW,MF",Fortuna Sittard,20.0,2002.0,0.5,29,1,4,9,17,4,29,5,1,20.0,3,60.0,17,123,14,0,2,1,7,0,18,5
Mattijs Branderhorst,NED,GK,Utrecht,29.0,1993.0,5.0,151,139,151,0,0,0,151,0,0,,0,,80,450,294,0,0,0,0,0,67,0
Oliver Braude,NOR,DF,Heerenveen,19.0,2004.0,23.5,1430,91,504,629,309,13,1430,22,11,50.0,5,22.7,645,3380,1729,33,34,3,33,13,714,85
Myron van Brederode,NED,FW,AZ Alkmaar,20.0,2003.0,14.6,719,13,96,256,384,64,719,64,37,57.8,25,39.1,482,3154,1555,64,33,21,45,24,514,146
Joshua Brenet,CUW,DF,Twente,29.0,1994.0,12.0,829,32,237,358,243,32,829,23,10,43.5,12,52.2,412,2466,1244,31,18,7,26,20,485,62
Jakob Breum,DEN,FW,Go Ahead Eag,19.0,2003.0,16.1,806,30,109,300,403,65,806,44,20,45.5,22,50.0,422,2764,1277,49,21,14,40,15,503,122
Brian Brobbey,NED,FW,Ajax,21.0,2002.0,26.7,825,32,46,307,483,227,824,57,28,49.1,22,38.6,500,2856,1234,53,24,40,77,39,661,211
Michael Brouwer,NED,GK,Heracles Almelo,30.0,1993.0,34.0,1494,1298,1478,17,0,0,1494,1,1,100.0,0,0.0,833,3974,2447,0,0,0,1,0,687,0
Luuk Brouwers,NED,MF,Heerenveen,25.0,1998.0,22.5,968,31,160,520,295,67,968,26,10,38.5,8,30.8,489,2229,1088,22,19,6,30,9,639,92
Damian van Bruggen,NED,DF,Almere City,27.0,1996.0,27.8,1151,144,590,531,36,14,1151,3,3,100.0,0,0.0,385,1572,494,0,1,0,10,0,413,3
Jordy Bruijn,NED,MF,Heracles Almelo,27.0,1996.0,7.6,302,10,66,151,87,16,302,8,0,0.0,8,100.0,145,585,213,6,3,1,19,10,173,22
Jeffrey Bruma,NED,DF,RKC Waalwijk,31.0,1991.0,4.4,302,40,154,136,15,4,302,1,1,100.0,0,0.0,179,1274,790,5,1,1,6,2,192,1
Max Bruns,NED,DF,Twente,20.0,2002.0,6.3,391,36,190,188,15,7,391,1,1,100.0,0,0.0,196,1261,900,5,3,0,4,1,227,0
Thomas Bruns,NED,"MF,FW",Heracles Almelo,31.0,1992.0,12.0,653,14,102,331,226,17,653,19,7,36.8,8,42.1,355,1700,651,15,8,2,24,7,409,55
Charles-Andréas Brym,CAN,"FW,MF",Sparta R'dam,24.0,1998.0,15.3,582,22,90,206,298,54,582,55,18,32.7,32,58.2,363,2492,1085,37,22,16,45,25,397,94
Thomas Buitink,NED,FW,Vitesse,23.0,2000.0,5.3,147,1,7,75,68,21,147,9,2,22.2,6,66.7,86,420,130,7,6,1,29,6,96,30
Stijn Bultman,NED,DF,Heracles Almelo,18.0,2005.0,12.4,772,115,485,272,17,8,772,3,3,100.0,0,0.0,431,2181,1008,4,4,1,6,2,479,3
Oskar Buur,DEN,DF,Volendam,25.0,1998.0,18.3,846,73,279,352,226,26,846,34,17,50.0,14,41.2,362,2397,1172,37,28,7,24,11,386,78
Zico Buurmeester,NED,MF,Zwolle,21.0,2002.0,15.1,741,52,206,393,149,11,741,23,9,39.1,13,56.5,387,1607,682,9,15,2,10,10,430,29
Yoann Cathline,FRA,"DF,FW",Almere City,21.0,2002.0,19.1,854,12,133,299,452,77,854,129,58,45.0,68,52.7,524,3916,1980,72,42,37,79,35,559,141
Sava Cestic,SRB,DF,Heracles Almelo,22.0,2001.0,2.3,125,25,81,40,5,3,125,0,0,,0,,62,274,120,1,1,0,0,0,69,1
Tjaronn Chery,SUR,"MF,FW",NEC Nijmegen,35.0,1988.0,11.5,664,9,71,291,309,22,664,25,11,44.0,13,52.0,369,2079,1010,27,28,4,29,15,449,57
Jasper Cillessen,NED,GK,NEC Nijmegen,34.0,1989.0,29.3,1122,984,1116,6,0,0,1122,0,0,,0,,586,3111,1911,0,0,0,0,0,482,0
Jordy Clasie,NED,MF,AZ Alkmaar,32.0,1991.0,27.4,1999,74,410,1281,324,11,1999,14,13,92.9,1,7.1,1095,5006,2504,28,34,3,22,13,1389,41
Pelle Clement,NED,"MF,FW",Sparta R'dam,27.0,1996.0,21.1,1125,62,243,518,381,42,1125,25,9,36.0,12,48.0,556,3077,1520,34,24,7,40,12,657,86
Denilho Cleonise,NED,"FW,MF",RKC Waalwijk,21.0,2001.0,20.0,739,6,66,242,448,70,739,91,43,47.3,38,41.8,487,4489,2480,99,69,36,53,40,528,145
