Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Paweł Bochniewicz,POL,DF,Heerenveen,27.0,1996.0,25.7,36,1.4,31,0,0,5,0,0,5,0.19,5,0,0,0,0,0
Ruben van Bommel,NED,FW,AZ Alkmaar,18.0,2004.0,17.2,54,3.14,42,1,6,1,3,1,5,0.29,4,0,0,1,0,0
Taylor Booth,USA,FW,Utrecht,22.0,2001.0,9.6,22,2.28,14,1,3,3,1,0,1,0.1,1,0,0,0,0,0
Zach Booth,USA,"MF,FW",Volendam,19.0,2004.0,17.3,27,1.56,16,0,4,4,3,0,3,0.17,3,0,0,0,0,0
Yvandro Borges Sanches,LUX,"FW,MF",NEC Nijmegen,19.0,2004.0,2.4,10,4.17,8,0,2,0,0,0,1,0.42,1,0,0,0,0,0
Olivier Boscagli,FRA,DF,PSV Eindhoven,25.0,1997.0,31.5,74,2.35,70,0,1,2,1,0,11,0.35,10,0,0,1,0,0
Othman Boussaid,BEL,FW,Utrecht,23.0,2000.0,21.9,91,4.15,74,4,3,8,2,0,10,0.46,7,0,1,2,0,0
Amine Boutrah,FRA,FW,Vitesse,22.0,2000.0,20.2,60,2.96,47,0,7,3,2,1,5,0.25,4,0,0,1,0,0
Can Bozdogan,GER,MF,Utrecht,22.0,2001.0,21.8,43,1.97,22,8,1,4,5,3,3,0.14,0,1,0,2,0,0
Jayden Braaf,NED,"FW,MF",Fortuna Sittard,20.0,2002.0,0.5,3,5.51,3,0,0,0,0,0,1,1.84,1,0,0,0,0,0
Mattijs Branderhorst,NED,GK,Utrecht,29.0,1993.0,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Oliver Braude,NOR,DF,Heerenveen,19.0,2004.0,23.5,39,1.66,30,4,1,1,2,1,5,0.21,4,0,0,1,0,0
Myron van Brederode,NED,FW,AZ Alkmaar,20.0,2003.0,14.6,49,3.36,42,1,3,1,1,1,9,0.62,9,0,0,0,0,0
Joshua Brenet,CUW,DF,Twente,29.0,1994.0,12.0,33,2.76,32,0,1,0,0,0,5,0.42,5,0,0,0,0,0
Jakob Breum,DEN,FW,Go Ahead Eag,19.0,2003.0,16.1,70,4.35,45,7,1,10,7,0,5,0.31,3,0,0,1,1,0
Brian Brobbey,NED,FW,Ajax,21.0,2002.0,26.7,92,3.44,67,0,8,5,11,1,15,0.56,8,0,3,1,3,0
Michael Brouwer,NED,GK,Heracles Almelo,30.0,1993.0,34.0,8,0.24,7,1,0,0,0,0,1,0.03,1,0,0,0,0,0
Luuk Brouwers,NED,MF,Heerenveen,25.0,1998.0,22.5,61,2.71,51,0,3,3,2,2,4,0.18,2,0,0,1,1,0
Damian van Bruggen,NED,DF,Almere City,27.0,1996.0,27.8,18,0.65,10,4,1,2,0,1,0,0.0,0,0,0,0,0,0
Jordy Bruijn,NED,MF,Heracles Almelo,27.0,1996.0,7.6,18,2.38,11,4,0,3,0,0,3,0.4,1,1,0,1,0,0
Jeffrey Bruma,NED,DF,RKC Waalwijk,31.0,1991.0,4.4,4,0.89,4,0,0,0,0,0,1,0.22,1,0,0,0,0,0
Max Bruns,NED,DF,Twente,20.0,2002.0,6.3,2,0.32,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Thomas Bruns,NED,"MF,FW",Heracles Almelo,31.0,1992.0,12.0,36,2.99,26,6,0,1,2,1,5,0.42,4,1,0,0,0,0
Charles-Andréas Brym,CAN,"FW,MF",Sparta R'dam,24.0,1998.0,15.3,46,3.0,32,2,3,3,5,1,4,0.26,2,0,0,1,0,1
Thomas Buitink,NED,FW,Vitesse,23.0,2000.0,5.3,5,0.94,5,0,0,0,0,0,2,0.37,2,0,0,0,0,0
Stijn Bultman,NED,DF,Heracles Almelo,18.0,2005.0,12.4,8,0.64,6,0,0,2,0,0,3,0.24,2,0,0,1,0,0
