Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Jonathan Tah,GER,DF,Leverkusen,27,1996,29.2,6,0,0,33,4,1,3,23,9,0,0,0,161,62,22,73.8
Edmond Tapsoba,BFA,DF,Leverkusen,24,1999,23.2,4,0,0,25,4,1,5,24,25,0,0,0,175,40,38,51.3
Mathys Tel,FRA,"FW,MF",Bayern Munich,18,2005,11.7,2,0,0,18,15,3,18,6,2,0,0,0,42,14,13,51.9
Nathan Tella,NGA,"DF,MF",Leverkusen,24,1999,9.1,2,0,0,11,18,4,27,3,8,2,0,0,30,5,9,35.7
Norman Theuerkauf,GER,"MF,DF",Heidenheim,36,1987,14.0,3,0,0,13,16,0,22,14,16,0,1,0,77,12,10,54.5
Jan Thielmann,GER,"FW,DF",Köln,21,2002,17.5,4,1,0,27,27,6,42,8,18,0,0,0,75,20,27,42.6
Denis Thomalla,GER,"MF,FW",Heidenheim,30,1992,5.0,0,0,0,6,2,0,2,4,6,0,0,0,29,18,16,52.9
Phillip Tietz,GER,FW,Augsburg,26,1997,26.5,1,0,0,42,17,16,6,6,14,0,0,0,88,105,125,45.7
Steffen Tigges,GER,FW,Köln,25,1998,8.1,0,0,0,7,8,2,7,1,6,0,0,0,25,38,41,48.1
Umut Tohumcu,GER,MF,Hoffenheim,18,2004,11.2,5,0,0,10,24,0,6,6,12,0,0,0,62,2,10,16.7
Tiago Tomás,POR,"FW,MF",Wolfsburg,21,2002,11.5,3,0,0,12,26,3,28,3,2,0,0,0,37,15,14,51.7
Fabio Torsiello,ITA,"FW,DF",Darmstadt 98,18,2005,1.7,0,0,0,4,0,0,2,1,0,0,0,0,4,0,3,0.0
Lucas Tousart,FRA,MF,Union Berlin,26,1997,17.5,5,0,0,31,8,0,9,25,20,0,0,0,93,38,38,50.0
Omar Traoré,GER,DF,Heidenheim,25,1998,27.5,5,0,0,30,31,1,73,40,33,0,1,0,155,15,19,44.1
Kevin Trapp,GER,GK,Eint Frankfurt,33,1990,32.0,2,0,0,0,6,0,0,1,0,0,0,0,58,8,1,88.9
Christopher Trimmel,AUT,DF,Union Berlin,36,1987,18.3,2,1,0,13,4,3,165,13,15,1,1,0,78,26,20,56.5
Tuta,BRA,DF,Eint Frankfurt,24,1999,28.9,3,2,1,29,17,0,11,36,33,0,0,0,171,52,43,54.7
Lukas Ullrich,GER,"DF,FW",Gladbach,19,2004,0.5,0,0,0,0,1,0,5,0,0,0,0,0,3,0,2,0.0
Sven Ulreich,GER,GK,Bayern Munich,34,1988,11.0,1,0,0,0,0,0,0,0,0,0,0,0,17,1,0,100.0
Deniz Undav,GER,"FW,MF",Stuttgart,27,1996,23.2,5,0,0,29,27,3,7,6,13,2,0,0,71,17,33,34.0
Dayot Upamecano,FRA,DF,Bayern Munich,24,1998,19.6,3,1,1,22,8,2,3,19,21,0,1,0,156,42,25,62.7
Mark Uth,GER,"MF,FW",Köln,31,1991,4.1,2,0,0,9,12,0,31,1,4,0,0,0,24,3,3,50.0
Josha Vagnoman,GER,DF,Stuttgart,22,2000,13.1,2,0,0,11,8,2,22,2,18,0,0,0,58,8,15,34.8
Ruben Vargas,SUI,"MF,FW",Augsburg,24,1998,21.8,3,0,0,33,28,18,63,7,10,1,1,0,84,21,32,39.6
Miloš Veljković,SRB,DF,Werder Bremen,27,1995,21.3,2,0,0,9,5,0,20,17,15,0,0,0,95,38,44,46.3
Yorbe Vertessen,BEL,"FW,MF",Union Berlin,22,2001,6.6,1,0,0,8,11,1,3,1,2,0,0,0,20,4,19,17.4
Oscar Vilhelmsson,SWE,"FW,MF",Darmstadt 98,19,2003,15.3,2,0,0,32,27,7,10,3,6,0,0,0,22,42,81,34.1
Kevin Vogt,GER,DF,Hoffenheim,31,1991,14.7,2,0,0,11,9,0,3,9,10,0,0,0,99,7,5,58.3
Kevin Vogt,GER,DF,Union Berlin,31,1991,14.7,5,0,0,17,8,1,0,7,9,0,0,0,74,15,11,57.7
Kevin Volland,GER,"FW,MF",Union Berlin,31,1992,14.9,3,2,1,28,13,7,56,6,9,0,0,0,56,23,41,35.9
Aster Vranckx,BEL,MF,Wolfsburg,20,2002,12.8,6,0,0,29,24,0,10,14,15,0,0,0,72,15,6,71.4
Luca Waldschmidt,GER,"MF,FW",Köln,27,1996,12.7,0,0,0,20,15,5,39,6,12,1,0,0,64,7,9,43.8
Kjell-Arik Wätjen,GER,"MF,FW",Dortmund,17,2006,1.2,0,0,0,1,1,0,0,0,2,0,0,0,9,0,1,0.0
Wout Weghorst,NED,FW,Hoffenheim,30,1992,22.0,4,0,0,23,34,13,4,6,6,0,0,0,47,65,75,46.4
Julian Weigl,GER,MF,Gladbach,27,1995,30.7,10,0,0,33,30,0,3,48,40,0,0,0,168,25,19,56.8
Nelson Weiper,GER,"FW,MF",Mainz 05,18,2005,1.4,0,0,0,0,0,0,0,1,1,0,0,0,6,3,12,20.0
Mitchell Weiser,GER,"DF,MF",Werder Bremen,29,1994,29.3,5,0,0,29,39,4,82,20,38,0,0,0,171,23,40,36.5
Noah Weißhaupt,GER,"DF,FW",Freiburg,21,2001,8.4,1,0,0,8,31,2,52,8,4,2,0,0,37,3,10,23.1
Timo Werner,GER,"FW,MF",RB Leipzig,27,1996,2.3,0,0,0,2,0,0,4,1,1,0,0,0,7,0,2,0.0
Silvan Widmer,SUI,DF,Mainz 05,30,1993,13.8,4,0,0,10,3,3,35,16,10,0,0,0,61,19,32,37.3
Patrick Wimmer,AUT,"FW,MF",Wolfsburg,22,2001,6.5,3,1,0,14,11,1,12,3,5,0,0,0,27,13,9,59.1
Jonas Wind,DEN,FW,Wolfsburg,24,1999,29.5,3,0,0,28,45,9,8,3,10,0,0,0,60,90,85,51.4
Florian Wirtz,GER,MF,Leverkusen,20,2003,26.4,3,0,0,23,27,6,36,9,18,0,0,0,143,9,15,37.5
Maximilian Wittek,GER,"DF,FW",Bochum,27,1995,11.9,4,0,0,20,26,2,51,18,17,0,0,0,69,15,26,36.6
Maximilian Wöber,AUT,DF,Gladbach,25,1998,23.0,4,1,1,27,3,5,21,38,31,0,0,0,147,47,32,59.5
Marius Wolf,GER,DF,Dortmund,28,1995,13.0,2,0,0,12,7,1,45,8,12,0,1,0,79,6,8,42.9
Nick Woltemade,GER,"FW,MF",Werder Bremen,21,2002,13.2,1,0,0,22,23,6,3,5,23,0,0,0,69,28,43,39.4
Jeong Woo-yeong,KOR,"MF,FW",Stuttgart,23,1999,7.0,1,0,0,4,9,2,8,7,9,0,0,0,28,3,11,21.4
Granit Xhaka,SUI,MF,Leverkusen,30,1992,31.3,5,0,0,30,43,0,10,19,21,0,0,0,226,26,22,54.2
Dan-Axel Zagadou,FRA,DF,Stuttgart,24,1999,16.1,1,0,0,17,3,1,0,20,14,0,0,1,109,60,13,82.2
Bryan Zaragoza,ESP,"FW,MF",Bayern Munich,21,2001,2.0,1,0,0,2,1,1,10,2,4,0,0,0,4,1,0,100.0
Robin Zentner,GER,GK,Mainz 05,28,1994,30.0,3,0,0,1,4,0,0,1,2,0,1,0,36,9,1,90.0
Cedric Zesiger,SUI,DF,Wolfsburg,25,1998,18.2,5,0,0,24,10,0,5,15,9,0,1,0,66,39,16,70.9
Michael Zetterer,GER,GK,Werder Bremen,28,1995,27.0,2,0,0,0,7,0,0,0,1,0,0,0,20,13,3,81.3
Christoph Zimmermann,GER,DF,Darmstadt 98,30,1993,13.6,5,0,0,13,10,1,0,21,21,0,0,1,53,29,21,58.0
Simon Zoller,GER,"FW,MF",Bochum,32,1991,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0
Lovro Zvonarek,CRO,"FW,MF",Bayern Munich,18,2005,1.8,0,0,0,3,0,1,1,0,0,0,0,0,6,2,5,28.6
