Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Mitchell Dijks,NED,DF,Vitesse,29,1993,3.3,1,0,0,5,6,0,8,2,3,0,1,0,11,6,3,66.7
Javairô Dilrosun,NED,"FW,MF",Feyenoord,24,1998,20.9,1,0,0,11,25,2,67,15,11,0,0,1,86,8,13,38.1
Landry Dimata,BEL,FW,NEC Nijmegen,24,1997,24.4,1,0,0,31,86,14,5,0,4,0,0,0,46,66,55,54.5
Julius Dirksen,NED,DF,Emmen,19,2003,15.6,1,0,0,8,5,0,15,34,24,0,0,0,87,24,25,49.0
Toni Domgjoni,KVX,MF,Vitesse,23,1998,3.3,2,0,0,2,2,1,1,1,3,0,0,0,17,4,7,36.4
Jacky Donkor,BEL,"FW,MF",Excelsior,23,1998,0.7,1,0,0,1,1,1,5,3,0,0,0,0,11,1,3,25.0
Bas Dost,NED,FW,Utrecht,33,1989,15.0,2,0,0,9,3,5,0,2,8,0,0,0,24,90,42,68.2
Achraf Douiri,NED,"DF,FW",Volendam,22,1999,4.2,2,0,0,8,3,0,7,5,12,0,0,0,32,0,1,0.0
Anastasios Douvikas,GRE,FW,Utrecht,22,1999,23.8,1,0,0,21,42,4,11,2,19,0,0,0,75,64,88,42.1
Couhaib Driouech,MAR,"FW,MF",Excelsior,20,2002,26.0,5,0,0,34,10,11,61,17,33,0,0,0,160,9,36,20.0
Joel Drommel,NED,GK,PSV Eindhoven,25,1996,4.0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
Deroy Duarte,CPV,MF,Fortuna Sittard,23,1999,15.9,3,0,0,8,8,0,5,28,11,0,0,0,94,17,20,45.9
Laros Duarte,CPV,MF,Groningen,25,1997,20.0,0,1,0,12,19,0,48,14,16,0,2,0,116,7,21,25.0
Mikkel Duelund,DEN,"MF,FW",NEC Nijmegen,25,1997,10.3,1,0,0,15,13,0,3,6,13,0,0,0,46,11,14,44.0
Billy van Duijl,NED,DF,Volendam,16,2005,1.7,0,0,0,0,0,0,0,3,1,0,0,0,6,0,3,0.0
Mike van Duinen,NED,"FW,MF",Excelsior,30,1991,11.1,4,0,0,12,10,1,3,5,8,0,0,0,32,38,40,48.7
Jorge Eduardo Sánchez,MEX,DF,Ajax,24,1997,12.3,3,0,0,19,8,3,28,18,27,0,0,0,84,11,9,55.0
Oliver Edvardsen,NOR,"FW,MF",Go Ahead Eag,23,1999,22.6,3,0,0,25,49,2,46,29,26,1,0,0,107,20,24,45.5
Mike Eerdhuijzen,NED,DF,Sparta R'dam,22,2000,13.1,5,0,0,11,8,0,6,25,14,0,0,0,73,35,19,64.8
Joshua Eijgenraam,NED,MF,Excelsior,21,2001,6.6,2,0,0,9,0,0,1,13,8,0,0,0,36,3,3,50.0
Carel Eiting,NED,MF,Volendam,24,1998,33.7,4,0,0,27,21,2,155,31,39,0,0,0,226,24,27,47.1
Úmaro Embaló,POR,"FW,MF",Fortuna Sittard,21,2001,16.3,5,0,0,17,23,10,52,8,23,0,0,0,86,4,8,33.3
Mario Engels,GER,"FW,DF",Sparta R'dam,28,1993,0.6,1,0,0,2,1,1,3,0,0,0,0,0,2,0,2,0.0
Doğan Erdoğan,TUR,"MF,DF",Fortuna Sittard,25,1996,18.8,4,2,1,17,16,0,14,17,25,0,0,0,120,20,15,57.1
Luca Everink,NED,"DF,FW",Twente,21,2001,0.6,1,0,0,4,0,0,2,0,4,0,1,0,2,1,3,25.0
Håkon Evjen,NOR,FW,AZ Alkmaar,22,2000,5.7,1,0,0,3,4,0,19,3,7,0,0,0,27,3,1,75.0
Milan van Ewijk,NED,DF,Heerenveen,21,2000,34.0,1,0,0,20,40,4,118,48,38,1,0,0,223,17,22,43.6
Raphaël Eyongo,NED,"FW,MF",Excelsior,19,2003,0.9,0,0,0,0,0,1,0,0,0,0,0,0,3,4,4,50.0
Andri Fannar Baldursson,ISL,MF,NEC Nijmegen,20,2002,2.4,2,0,0,6,2,0,0,5,6,0,0,0,22,3,4,42.9
Adrian Fein,GER,MF,Excelsior,23,1999,8.1,2,0,0,8,2,0,3,2,5,0,0,0,48,4,5,44.4
Kevin Felida,CUW,MF,RKC Waalwijk,22,1999,0.8,0,0,0,2,1,0,1,0,3,0,0,0,5,2,3,40.0
Arianit Ferati,KVX,MF,Fortuna Sittard,24,1997,16.4,5,0,0,25,22,0,25,21,29,1,0,0,121,10,25,28.6
Derensili Fernandes,NED,"FW,DF",Utrecht,21,2001,0.5,0,0,0,2,0,0,5,0,0,0,0,0,4,0,1,0.0
Rashaan Fernandes,NED,"MF,FW",Go Ahead Eag,23,1998,8.0,1,1,0,11,8,0,23,2,9,0,0,0,50,6,9,40.0
Kian Fitz-Jim,NED,"MF,DF",Ajax,19,2003,0.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
Ryan Flamingo,NED,"DF,MF",Vitesse,19,2002,29.8,4,0,0,27,16,1,12,56,28,0,0,0,173,71,54,56.8
Josh Flint,ENG,DF,Volendam,21,2000,7.8,2,0,0,10,4,0,2,9,8,0,1,0,32,21,19,52.5
Fodé Fofana,NED,FW,PSV Eindhoven,19,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
José Fontán,ESP,DF,Go Ahead Eag,22,2000,12.3,5,0,0,14,10,0,25,11,10,0,0,0,71,18,15,54.5
Navarone Foor,NED,"MF,FW",Cambuur,30,1992,13.8,2,0,0,9,12,3,83,6,12,0,0,0,54,4,15,21.1
Juriën Gaari,CUW,DF,RKC Waalwijk,28,1993,32.4,8,0,0,42,14,0,14,38,35,0,1,0,225,47,37,56.0
Cody Gakpo,NED,FW,PSV Eindhoven,23,1999,12.5,0,0,0,9,29,13,134,8,10,0,0,0,48,15,17,46.9
Stijn van Gassel,NED,GK,Excelsior,25,1996,33.7,0,0,0,0,0,0,0,1,0,0,0,1,44,5,2,71.4
Lutsharel Geertruida,NED,"DF,MF",Feyenoord,22,2000,28.6,1,0,0,16,15,1,12,31,34,0,0,0,176,20,14,58.8
Liam van Gelderen,SUR,"DF,MF",Groningen,21,2001,11.9,4,0,0,15,6,1,17,15,25,0,0,0,64,20,18,52.6
Anwar El Ghazi,NED,FW,PSV Eindhoven,27,1995,13.1,4,1,1,10,15,8,73,4,7,1,0,0,53,23,17,57.5
Santiago Giménez,MEX,FW,Feyenoord,21,2001,21.4,3,0,0,19,27,13,1,4,4,2,0,0,56,33,29,53.2
