Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Thomas Foket,BEL,DF,Reims,27,1994,22.0,39,1.78,37,0,0,0,1,1,2,0.09,2,0,0,0,0,0
José Fonte,POR,DF,Lille,38,1983,28.8,16,0.56,13,0,0,2,1,0,2,0.07,1,0,0,1,0,0
Steven Fortes,CPV,DF,Lens,30,1992,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Przemysław Frankowski,POL,"DF,MF",Lens,27,1995,31.5,123,3.91,69,44,3,3,2,2,12,0.38,8,4,0,0,0,0
Angelo Fulgini,FRA,"MF,FW",Lens,25,1996,9.5,45,4.72,23,17,2,2,1,0,4,0.42,3,1,0,0,0,0
Gauthier Gallon,FRA,GK,Troyes,29,1993,29.6,2,0.07,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Kévin Gameiro,FRA,FW,Strasbourg,35,1987,23.3,58,2.49,44,0,1,9,4,0,3,0.13,0,0,0,2,1,0
Ignatius Ganago,CMR,"FW,MF",Nantes,23,1999,16.9,29,1.72,17,0,0,5,6,1,7,0.41,4,0,0,1,1,1
Ignatius Ganago,CMR,FW,Lens,23,1999,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Johan Gastien,FRA,MF,Clermont Foot,34,1988,28.9,69,2.39,44,21,0,2,1,1,9,0.31,5,4,0,0,0,0
Denis Genreau,AUS,MF,Toulouse,23,1999,7.3,18,2.46,15,0,0,1,0,2,2,0.27,2,0,0,0,0,0
Valère Germain,FRA,"FW,MF",Montpellier,32,1990,7.6,14,1.83,11,0,0,2,1,0,3,0.39,1,0,0,1,1,0
Gerson,BRA,MF,Marseille,25,1997,4.6,12,2.6,9,0,1,0,2,0,1,0.22,1,0,0,0,0,0
Ismaël Gharbi,TUN,"MF,FW",Paris S-G,18,2004,0.6,2,3.1,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0
Faouzi Ghoulam,ALG,DF,Angers,31,1991,5.3,17,3.2,6,10,0,0,1,0,1,0.19,1,0,0,0,0,0
Samuel Gigot,FRA,DF,Marseille,28,1993,20.9,19,0.91,15,0,0,4,0,0,4,0.19,4,0,0,0,0,0
Andrei Girotto,BRA,"DF,MF",Nantes,30,1992,35.0,32,0.91,27,1,0,3,0,1,5,0.14,3,1,0,1,0,0
Aleksandr Golovin,RUS,"MF,FW",Monaco,26,1996,27.4,121,4.42,79,24,8,3,5,2,14,0.51,10,1,3,0,0,0
André Gomes,POR,MF,Lille,29,1993,18.1,40,2.21,36,1,1,2,0,0,5,0.28,4,0,0,1,0,0
Angel Gomes,ENG,MF,Lille,21,2000,31.3,89,2.84,62,9,7,2,8,1,15,0.48,12,1,1,0,1,0
Maxime Gonalons,FRA,MF,Clermont Foot,33,1989,16.1,21,1.31,20,0,1,0,0,0,1,0.06,1,0,0,0,0,0
Oumar Gonzalez,CMR,DF,Ajaccio,24,1998,28.6,4,0.14,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Amine Gouiri,ALG,"FW,MF",Nice,22,2000,2.5,7,2.79,4,1,0,1,1,0,1,0.4,0,0,0,0,1,0
Amine Gouiri,ALG,"FW,MF",Rennes,22,2000,28.0,93,3.32,72,0,9,9,2,1,11,0.39,8,0,3,0,0,0
Jonathan Gradit,FRA,DF,Lens,29,1992,31.4,49,1.56,40,1,1,0,4,3,8,0.25,8,0,0,0,0,0
Andrew Gravillon,GLP,DF,Reims,24,1998,11.5,9,0.78,5,2,0,2,0,0,1,0.09,1,0,0,0,0,0
Adrian Grbić,AUT,"MF,FW",Lorient,25,1996,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Gabriel Gudmundsson,SWE,"DF,FW",Lille,23,1999,9.3,22,2.37,16,0,3,1,2,0,1,0.11,0,0,0,0,1,0
Axel Gueguin,FRA,"FW,MF",Montpellier,17,2005,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mattéo Guendouzi,FRA,MF,Marseille,23,1999,23.4,67,2.86,55,1,4,2,2,3,9,0.38,7,0,0,0,1,1
Evann Guessand,CIV,"FW,MF",Nantes,21,2001,14.0,28,2.0,16,0,6,3,3,0,4,0.29,3,0,1,0,0,0
Pape Gueye,SEN,"MF,DF",Marseille,23,1999,5.5,10,1.83,10,0,0,0,0,0,1,0.18,1,0,0,0,0,0
Frederic Guilbert,FRA,DF,Strasbourg,27,1994,16.2,32,1.97,23,4,0,0,3,2,2,0.12,1,1,0,0,0,0
Serhou Guirassy,GUI,MF,Rennes,26,1996,0.3,2,7.83,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Rafik Guitane,FRA,FW,Reims,23,1999,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Malo Gusto,FRA,DF,Lyon,19,2003,17.7,50,2.82,42,2,4,0,2,0,2,0.11,2,0,0,0,0,0
Jaouen Hadjam,ALG,DF,Nantes,19,2003,8.9,23,2.57,19,1,3,0,0,0,1,0.11,1,0,0,0,0,0
Massadio Haïdara,MLI,"DF,MF",Lens,29,1992,18.6,18,0.97,15,0,1,0,1,1,3,0.16,1,0,0,0,1,1
Achraf Hakimi,MAR,"DF,MF",Paris S-G,23,1998,22.8,75,3.29,64,1,4,2,2,2,9,0.39,5,0,1,1,1,1
Mathis Hamdi,FRA,DF,Troyes,18,2003,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ben Hamed Touré,CIV,FW,Ajaccio,18,2003,2.3,1,0.43,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Romain Hamouma,FRA,"FW,MF",Ajaccio,35,1987,12.0,35,2.92,20,6,2,3,4,0,6,0.5,4,0,0,1,1,0
Saïd Hamulic,BIH,FW,Toulouse,21,2000,1.2,1,0.85,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Amine Harit,MAR,"MF,FW",Marseille,25,1997,5.7,30,5.25,23,3,3,0,1,0,2,0.35,2,0,0,0,0,0
Rhys Healey,WAL,FW,Toulouse,27,1994,0.7,2,2.77,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Gauthier Hein,FRA,"MF,FW",Auxerre,25,1996,20.8,63,3.02,43,13,4,1,1,1,1,0.05,1,0,0,0,0,0
Henrique,BRA,"DF,FW",Lyon,28,1994,4.0,3,0.76,2,0,0,0,1,0,1,0.25,1,0,0,0,0,0
Christophe Hérelle,MTQ,DF,Brest,29,1992,11.8,6,0.51,4,1,0,1,0,0,0,0.0,0,0,0,0,0,0
Noah Holm,NOR,"FW,MF",Reims,21,2001,2.2,7,3.28,4,0,0,0,1,2,0,0.0,0,0,0,0,0,0
Franck Honorat,FRA,"FW,MF",Brest,25,1996,28.2,132,4.69,80,37,5,7,3,0,11,0.39,5,4,1,1,0,0
Cédric Hountondji,BEN,DF,Angers,28,1994,34.4,13,0.38,12,0,0,1,0,0,2,0.06,1,0,0,1,0,0
Ilyes Housni,FRA,FW,Paris S-G,17,2005,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Adrien Hunou,FRA,"MF,FW",Angers,28,1994,24.8,48,1.94,36,1,1,3,7,0,6,0.24,3,0,0,1,2,0
Mounaim El Idrissy,FRA,FW,Ajaccio,23,1999,27.7,42,1.52,24,1,0,1,15,1,2,0.07,1,0,0,0,1,0
Rareş Ilie,ROU,"MF,FW",Nice,19,2003,1.6,6,3.65,3,0,0,1,0,2,0,0.0,0,0,0,0,0,0
Bonke Innocent,NGA,MF,Lorient,26,1996,13.1,17,1.3,14,0,0,2,0,1,4,0.3,4,0,0,0,0,0
Ismaily,BRA,DF,Lille,32,1990,19.8,42,2.13,38,0,0,2,1,1,6,0.3,4,0,0,1,1,0
Junya Ito,JPN,FW,Reims,29,1993,32.4,141,4.35,97,19,15,4,5,1,12,0.37,8,2,2,0,0,0
Ismail Jakobs,SEN,"DF,FW",Monaco,22,1999,12.4,30,2.41,24,2,1,3,0,0,2,0.16,2,0,0,0,0,0
Marin Jakoliš,CRO,FW,Angers,25,1996,0.3,2,6.43,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Léo Jardim,BRA,GK,Lille,27,1995,6.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Luis Javier Suárez,COL,FW,Marseille,24,1997,3.3,7,2.14,5,0,1,1,0,0,2,0.61,1,0,0,1,0,0
Dany Jean,HAI,"DF,MF",Strasbourg,19,2002,0.1,1,6.43,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Julian Jeanvier,GUI,DF,Auxerre,30,1992,19.6,9,0.46,6,1,1,0,1,0,0,0.0,0,0,0,0,0,0
Jeffinho,BRA,FW,Lyon,22,1999,5.0,19,3.83,12,0,3,0,4,0,3,0.61,2,0,0,0,1,0
Paul Joly,FRA,DF,Auxerre,22,2000,9.6,18,1.87,14,0,2,1,1,0,3,0.31,1,0,1,0,1,0
Jubal,BRA,DF,Auxerre,28,1993,35.7,19,0.53,13,3,0,2,1,0,2,0.06,1,0,0,0,1,0
Christopher Jullien,FRA,DF,Montpellier,29,1993,29.9,19,0.63,16,1,0,2,0,0,4,0.13,3,0,0,1,0,0
Eli Junior Kroupi,FRA,"FW,MF",Lorient,16,2006,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Issa Kaboré,BFA,DF,Marseille,21,2001,11.4,35,3.06,30,1,3,0,1,0,1,0.09,1,0,0,0,0,0
Abdoul Kader Bamba,FRA,"FW,MF",Nantes,28,1994,0.9,3,3.46,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Gaël Kakuta,COD,FW,Lens,31,1991,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Arnaud Kalimuendo,FRA,FW,Rennes,20,2002,20.5,35,1.7,24,0,1,6,3,1,6,0.29,5,0,0,1,0,0
Gedeon Kalulu,COD,DF,Lorient,24,1997,27.1,41,1.51,35,1,3,1,1,0,5,0.18,5,0,0,0,0,0
Justin-Noël Kalumba,FRA,DF,Angers,17,2004,6.1,8,1.32,3,0,0,1,4,0,0,0.0,0,0,0,0,0,0
Warren Kamanzi,NOR,DF,Toulouse,21,2000,7.4,11,1.49,10,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Bingourou Kamara,SEN,GK,Montpellier,25,1996,4.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Nordine Kandil,FRA,"MF,FW",Strasbourg,20,2001,1.1,8,7.13,3,1,2,1,1,0,2,1.78,1,0,0,1,0,0
Ayman Kari,FRA,"MF,DF",Lorient,17,2004,1.1,7,6.56,5,0,1,0,1,0,1,0.94,1,0,0,0,0,0
Kévin Keben Biakolo,CMR,DF,Toulouse,18,2004,4.0,3,0.75,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Check Keita,FRA,DF,Reims,19,2003,7.6,6,0.79,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Saîf-Eddine Khaoui,TUN,MF,Clermont Foot,27,1995,22.5,74,3.28,46,12,4,5,7,0,6,0.27,2,0,1,2,1,0
Wahbi Khazri,TUN,"FW,MF",Montpellier,31,1991,18.2,42,2.31,21,8,3,5,4,1,7,0.39,3,0,0,3,1,0
Anthony Khelifa,ALG,DF,Ajaccio,16,2005,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Presnel Kimpembe,FRA,DF,Paris S-G,26,1995,8.1,2,0.25,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Samuel Koeberlé,FRA,MF,Reims,17,2004,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Rudy Kohon,FRA,DF,Troyes,18,2004,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Sead Kolašinac,BIH,DF,Marseille,29,1993,24.6,27,1.1,24,0,1,2,0,0,5,0.2,2,0,1,2,0,0
Cheick Konaté,MLI,DF,Clermont Foot,18,2004,6.4,7,1.1,3,1,2,0,1,0,1,0.16,1,0,0,0,0,0
Ibrahima Koné,MLI,FW,Lorient,23,1999,17.5,37,2.11,30,0,2,3,0,2,2,0.11,2,0,0,0,0,0
Youssouf Koné,MLI,DF,Ajaccio,27,1995,10.2,6,0.59,4,0,0,1,0,1,0,0.0,0,0,0,0,0,0
Rominigue Kouamé,MLI,MF,Troyes,25,1996,29.6,66,2.23,58,0,5,2,1,0,7,0.24,6,0,1,0,0,0
Boubakar Kouyaté,MLI,DF,Montpellier,25,1997,14.0,11,0.79,10,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Sael Kumbedi,FRA,DF,Lyon,17,2005,14.7,24,1.64,20,1,1,1,0,1,5,0.34,4,1,0,0,0,0
Grejohn Kyei,FRA,FW,Clermont Foot,26,1995,24.8,53,2.14,32,0,8,7,4,2,10,0.4,5,0,2,1,1,1
Rémy Labeau Lascary,GLP,"FW,MF",Lens,19,2003,1.4,1,0.74,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Gaëtan Laborde,FRA,FW,Nice,28,1994,27.8,76,2.73,56,8,6,6,0,0,12,0.43,6,0,4,2,0,0
Gaëtan Laborde,FRA,FW,Rennes,28,1994,2.8,10,3.61,6,0,1,3,0,0,1,0.36,0,0,0,1,0,0
Alexandre Lacazette,FRA,FW,Lyon,31,1991,32.5,113,3.47,78,2,10,8,13,2,11,0.34,8,0,0,0,3,0
Qazim Laçi,ALB,MF,Ajaccio,26,1996,2.4,10,4.25,4,4,0,1,1,0,0,0.0,0,0,0,0,0,0
Alban Lafont,CIV,GK,Nantes,23,1999,37.0,7,0.19,6,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Kenny Lala,MAD,DF,Brest,30,1991,15.7,40,2.54,20,16,1,1,2,0,3,0.19,3,0,0,0,0,0
Mohamed Lamine Bayo,GUI,"FW,MF",Lille,24,1998,7.2,26,3.6,13,0,5,5,2,1,3,0.42,1,0,1,1,0,0
Julien Laporte,FRA,DF,Lorient,28,1993,18.4,9,0.49,8,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Yasser Larouci,ALG,"DF,MF",Troyes,21,2001,20.0,35,1.75,23,1,3,2,5,1,1,0.05,1,0,0,0,0,0
Armand Lauriente,FRA,FW,Lorient,23,1998,3.0,19,6.43,13,0,2,2,2,0,2,0.68,1,0,0,0,1,0
Théo Le Bris,FRA,"MF,DF",Lorient,19,2002,16.1,25,1.55,21,1,2,1,0,0,6,0.37,4,0,2,0,0,0
Julien Le Cardinal,FRA,DF,Lens,24,1997,1.8,7,3.82,4,1,0,1,1,0,0,0.0,0,0,0,0,0,0
Jérémy Le Douaron,FRA,"MF,FW",Brest,24,1998,23.0,46,2.0,26,0,2,9,6,3,6,0.26,3,0,0,3,0,0
Enzo Le Fée,FRA,MF,Lorient,22,2000,33.6,120,3.57,79,27,5,4,4,1,11,0.33,5,5,0,1,0,0
Vincent Le Goff,FRA,DF,Lorient,32,1989,37.0,38,1.03,32,3,1,1,0,1,2,0.05,2,0,0,0,0,0
Maxime Le Marchand,FRA,DF,Strasbourg,32,1989,22.4,19,0.85,13,1,2,0,1,2,3,0.13,1,0,0,0,1,1
Paolo Lebas,FRA,MF,Ajaccio,19,2003,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jean-Louis Leca,FRA,GK,Lens,36,1985,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Benjamin Lecomte,FRA,GK,Montpellier,31,1991,19.0,5,0.26,5,0,0,0,0,0,1,0.05,1,0,0,0,0,0
Pierre Lees-Melou,FRA,MF,Brest,29,1993,30.7,56,1.82,42,2,2,6,1,3,7,0.23,5,0,0,1,0,1
Félix Lemaréchal,FRA,MF,Brest,18,2003,3.2,12,3.75,10,1,1,0,0,0,0,0.0,0,0,0,0,0,0
Mario Lemina,GAB,"MF,DF",Nice,28,1993,9.3,12,1.29,11,0,0,0,0,1,1,0.11,1,0,0,0,0,0
Donovan Léon,GUF,GK,Auxerre,29,1992,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Johann Lepenant,FRA,MF,Lyon,19,2002,21.5,35,1.63,26,0,0,4,3,2,4,0.19,2,0,0,1,1,0
Benjamin Leroy,FRA,GK,Ajaccio,33,1989,31.1,5,0.16,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Léo Leroy,FRA,MF,Montpellier,22,2000,13.2,31,2.34,24,0,1,4,1,1,7,0.53,7,0,0,0,0,0
Alexandre Letellier,FRA,GK,Paris S-G,31,1990,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ruan Levine,BRA,"MF,FW",Ajaccio,23,1999,0.3,3,10.8,0,0,1,1,1,0,0,0.0,0,0,0,0,0,0
Dimitri Liénard,FRA,"DF,MF",Strasbourg,34,1988,17.1,56,3.26,30,23,0,1,0,2,1,0.06,1,0,0,0,0,0
Mateusz Lis,POL,GK,Troyes,25,1997,8.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Bradley Locko,FRA,DF,Reims,20,2002,11.8,21,1.78,18,0,1,0,1,1,0,0.0,0,0,0,0,0,0
Bradley Locko,FRA,DF,Brest,20,2002,3.0,5,1.67,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Anthony Lopes,POR,GK,Lyon,31,1990,31.3,1,0.03,1,0,0,0,0,0,1,0.03,1,0,0,0,0,0
Rony Lopes,POR,"MF,FW",Troyes,26,1995,26.1,94,3.61,47,27,8,10,2,0,8,0.31,4,2,0,2,0,0
Pau López,ESP,GK,Marseille,27,1994,32.5,6,0.18,4,2,0,0,0,0,2,0.06,1,1,0,0,0,0
Dion Lopy,SEN,MF,Reims,20,2002,15.3,36,2.35,26,2,1,3,4,0,4,0.26,2,0,0,0,2,0
Jordan Lotomba,SUI,DF,Nice,23,1998,27.3,55,2.02,44,4,1,2,2,2,5,0.18,5,0,0,0,0,0
Dejan Lovren,CRO,DF,Lyon,33,1989,16.2,10,0.62,6,0,0,4,0,0,0,0.0,0,0,0,0,0,0
Jean Lucas,BRA,MF,Monaco,24,1998,3.2,5,1.55,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Castello Lukeba,FRA,DF,Lyon,19,2002,33.2,17,0.51,17,0,0,0,0,0,3,0.09,3,0,0,0,0,0
Youssouf M'Changama,COM,MF,Auxerre,31,1990,12.0,29,2.42,19,5,0,0,5,0,2,0.17,1,0,0,0,1,0
Deiver Machado,COL,"DF,MF",Lens,28,1993,24.3,42,1.73,26,4,2,0,8,2,6,0.25,3,2,0,0,0,1
Soungoutou Magassa,FRA,MF,Monaco,18,2003,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
