Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 30_level_0_Matches
385,Guus Til,nl NED,"FW,MF",PSV Eindhoven,28-001,1997,13.9,508,22,68,195,251,87,508,12,2,16.7,10,83.3,286,1493,687,30,13,11,30,14,383,109,Matches
386,Quinten Timber,nl NED,MF,Feyenoord,24-189,2001,13.4,669,18,93,313,271,49,668,25,15,60.0,10,40.0,398,2009,1087,29,18,9,30,14,440,53,Matches
387,Jens Toornstra,nl NED,MF,Sparta R'dam,36-263,1989,8.3,414,29,104,189,124,15,414,13,5,38.5,7,53.8,199,920,409,8,9,1,13,5,225,23,Matches
388,Bertrand Traoré,bf BFA,FW,Ajax,30-108,1995,0.7,27,0,2,12,13,2,27,0,0,,0,,20,151,100,2,3,1,0,2,23,6,Matches
389,Jacob Trenskow,dk DEN,"FW,MF",Heerenveen,25-027,2000,15.2,689,18,71,225,402,93,689,30,13,43.3,15,50.0,414,2790,1564,61,31,30,26,20,456,115,Matches
390,Luka Tunjić,hr CRO,"MF,FW",Fortuna Sittard,20-034,2005,3.1,160,6,35,75,52,6,160,6,3,50.0,3,50.0,85,505,296,9,7,0,13,6,93,9,Matches
391,Calvin Twigt,nl NED,MF,Go Ahead Eag,22-327,2003,5.5,350,21,108,193,50,4,350,5,1,20.0,4,80.0,174,764,346,6,2,1,7,2,222,7,Matches
392,Ayase Ueda,jp JPN,FW,Feyenoord,27-104,1998,15.5,437,15,39,164,234,119,437,16,5,31.3,9,56.3,232,891,363,18,2,16,50,14,346,90,Matches
393,Precious Ugwu,nl NED,DF,Volendam,19-318,2006,7.4,342,28,102,155,86,9,342,7,3,42.9,4,57.1,177,1066,454,12,8,2,4,8,195,25,Matches
394,Lars Unnerstall,de GER,GK,Twente,35-156,1990,17.0,578,485,574,4,0,0,578,0,0,,0,,353,1699,960,0,0,0,0,0,308,0,Matches
395,Naci Ünüvar,nl NED,"FW,MF",Twente,22-193,2003,2.1,107,1,16,25,70,14,107,7,4,57.1,3,42.9,71,500,295,12,10,1,6,10,79,23,Matches
396,Etienne Vaessen,sr SUR,GK,Groningen,30-150,1995,14.0,699,497,686,15,0,0,699,0,0,,0,,446,2661,1850,0,0,0,0,0,407,0,Matches
397,Luciano Valente,nl NED,MF,Feyenoord,22-080,2003,13.9,944,23,124,492,342,36,944,42,23,54.8,18,42.9,610,3562,1802,45,38,6,34,16,659,60,Matches
398,Cherrion Valerius,cw CUW,DF,NAC Breda,20-092,2005,11.0,628,50,225,275,136,7,628,26,8,30.8,14,53.8,303,1627,798,17,12,3,15,4,330,24,Matches
399,Amourrichio Van Axel Dongen,nl NED,"FW,MF",Heerenveen,21-085,2004,0.6,20,0,4,9,9,3,20,5,2,40.0,2,40.0,19,205,105,3,1,2,0,0,15,2,Matches
400,Dave Van Den Berg,nl NED,"MF,FW",Utrecht,25-322,2000,1.6,70,2,18,38,15,3,70,2,1,50.0,1,50.0,44,199,82,1,1,0,3,1,52,9,Matches
401,Alec Van Hoorenbeeck,be BEL,DF,Heracles Almelo,26-358,1998,12.0,739,142,391,320,29,15,739,6,3,50.0,3,50.0,385,2377,1047,7,2,0,6,1,419,1,Matches
402,Jaygo Chubasco Van Ommeren,nl NED,MF,Utrecht,17-229,2008,0.5,37,0,7,21,9,0,37,2,1,50.0,0,0.0,21,83,26,0,0,0,3,0,21,0,Matches
