Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Unnamed: 8_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 23_level_0_Matches
64,Gonzalo Crettaz,ar ARG,GK,NEC Nijmegen,25-298,2000,17.0,898,778,119,44,0,4,0,0,0,0,0,0,563,1,1,Matches
65,Vito van Crooij,nl NED,"MF,FW",NEC Nijmegen,29-328,1996,2.8,101,87,14,1,0,1,8,11,2,1,0,0,65,0,5,Matches
66,Robin van Cruijsen,,MF,Volendam,,,6.4,218,182,36,13,0,3,45,1,20,6,13,0,149,0,6,Matches
67,Ro-Zangelo Daal,nl NED,FW,AZ Alkmaar,21-316,2004,5.6,199,197,2,1,2,3,7,1,0,0,0,0,155,0,5,Matches
68,Jasper Dahlhaus,nl NED,DF,Fortuna Sittard,24-026,2001,14.1,636,511,122,21,1,0,29,101,0,0,0,0,487,3,18,Matches
69,Brynjolfur Darri Willumsson,is ISL,FW,Groningen,25-133,2000,8.5,135,122,13,0,0,0,0,2,0,0,0,0,98,0,5,Matches
70,Eli Dasa,il ISR,DF,NEC Nijmegen,33-020,1992,9.2,482,394,83,12,1,3,14,71,0,0,0,0,393,5,7,Matches
71,Jari De Busser,be BEL,GK,Go Ahead Eag,26-063,1999,17.0,792,667,124,33,0,1,0,0,0,0,0,0,530,1,0,Matches
72,Mats Deijl,nl NED,DF,Go Ahead Eag,28-161,1997,16.5,842,681,157,11,1,4,33,146,0,0,0,0,686,4,8,Matches
73,Maxim Dekker,nl NED,DF,AZ Alkmaar,21-246,2004,0.9,47,44,3,1,0,0,0,0,0,0,0,0,45,0,1,Matches
