Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Jayson Molumby,IRL,MF,West Brom,26-139,1999.0,13.8,38,2.76,26,2,1,3,5,1,2,0.15,2,0,0,0,0,0
Jeremy Monga,ENG,FW,Leicester City,16-166,2009.0,6.1,23,3.78,16,0,4,1,2,0,4,0.66,3,0,0,0,1,0
Kristi Montgomery,SCO,MF,Blackburn,21-206,2004.0,3.4,3,0.87,2,0,0,0,1,0,1,0.29,0,0,0,0,1,0
Elliott Moore,ENG,DF,Oxford United,28-282,1997.0,1.7,1,0.58,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Kieffer Moore,WAL,FW,Wrexham,33-137,1992.0,19.9,34,1.71,20,1,2,8,3,0,3,0.15,0,0,0,2,1,0
Kieran Morgan,ENG,"DF,MF",QPR,19-281,2006.0,3.4,7,2.03,5,1,0,1,0,0,0,0.0,0,0,0,0,0,0
Ryoya Morishita,JPN,"MF,FW",Blackburn,28-256,1997.0,11.7,37,2.92,30,4,0,3,0,0,5,0.39,3,1,0,1,0,0
Aidan Morris,USA,MF,Middlesbrough,24-037,2001.0,13.9,38,2.74,27,2,2,2,2,3,3,0.22,3,0,0,0,0,0
Carlton Morris,ENG,"FW,MF",Derby County,30-007,1995.0,14.9,35,2.35,27,2,2,1,0,3,2,0.13,2,0,0,0,0,0
James Morris,ENG,DF,Watford,24-030,2001.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Liam Morrison,SCO,DF,QPR,22-260,2003.0,10.5,5,0.47,4,0,0,0,0,1,1,0.09,1,0,0,0,0,0
Alex Mowatt,ENG,MF,West Brom,30-313,1995.0,17.4,60,3.46,40,16,1,2,1,0,5,0.29,4,1,0,0,0,0
Divin Mubama,ENG,FW,Stoke City,21-059,2004.0,15.2,25,1.64,12,0,4,7,2,0,3,0.2,1,0,0,2,0,0
Errol Mundle-Smith,ENG,"FW,MF",Norwich City,19-279,2006.0,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Josh Murphy,ENG,"FW,MF",Portsmouth,30-302,1995.0,11.8,50,4.24,30,6,5,6,3,0,9,0.76,7,1,1,0,0,0
Paul Nardi,FRA,GK,QPR,31-219,1994.0,14.8,9,0.61,7,2,0,0,0,0,1,0.07,0,1,0,0,0,0
Joel Ndala,ENG,"FW,MF",Hull City,19-206,2006.0,7.1,10,1.4,8,0,1,0,1,0,0,0.0,0,0,0,0,0,0
Camiel Neghli,NED,"MF,FW",Millwall,24-047,2001.0,13.0,32,2.45,26,3,1,0,0,2,0,0.0,0,0,0,0,0,0
Benjamin Nelson,ENG,DF,Leicester City,21-280,2004.0,5.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Curtis Nelson,ENG,DF,Derby County,32-216,1993.0,0.0,1,90.0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Phil Neumann,GER,DF,Birmingham City,28-168,1997.0,16.5,11,0.66,10,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Jeremy Ngakia,,DF,Watford,25-107,2000.0,17.4,41,2.36,35,2,0,1,1,2,4,0.23,4,0,0,0,0,0
Kevin Nisbet,SCO,FW,Millwall,28-290,1997.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Casper de Norre,BEL,MF,Millwall,28-319,1997.0,11.9,26,2.19,21,1,0,2,0,2,4,0.34,4,0,0,0,0,0
Rhys Norrington-Davies,WAL,DF,Sheffield Utd,26-245,1999.0,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Rhys Norrington-Davies,WAL,DF,QPR,26-245,1999.0,12.8,29,2.26,25,1,1,1,1,0,2,0.16,2,0,0,0,0,0
Marcelino Núñez,CHI,MF,Norwich City,25-297,2000.0,0.8,5,6.34,2,1,0,0,2,0,2,2.54,0,1,0,0,1,0
Marcelino Núñez,CHI,MF,Ipswich Town,25-297,2000.0,11.3,59,5.25,32,18,1,5,2,1,6,0.53,3,3,0,0,0,0
Ryan Nyambe,NAM,DF,Derby County,28-019,1997.0,2.9,1,0.34,1,0,0,0,0,0,1,0.34,1,0,0,0,0,0
Sverre Nypan,NOR,"MF,FW",Middlesbrough,19-004,2006.0,6.1,16,2.65,12,1,3,0,0,0,1,0.17,1,0,0,0,0,0
Steven Nzonzi,FRA,MF,Stoke City,37-008,1988.0,4.7,3,0.64,2,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Lewis O'Brien,ENG,MF,Wrexham,27-070,1998.0,14.1,40,2.83,27,8,1,3,0,1,4,0.28,3,1,0,0,0,0
Gatlin O'Donkor,ENG,MF,Oxford United,21-070,2004.0,0.0,2,45.0,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Callum O'Hare,ENG,MF,Sheffield Utd,27-236,1998.0,19.6,60,3.07,46,0,3,4,6,1,9,0.46,6,0,2,1,0,0
Max O'Leary,IRL,GK,Bristol City,29-074,1996.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Dara O'Shea,IRL,DF,Ipswich Town,26-294,1999.0,22.0,30,1.36,24,1,0,4,0,1,5,0.23,2,0,0,2,0,1
Odeluga Offiah,ENG,"DF,FW",Preston,23-058,2002.0,12.6,18,1.43,16,0,1,0,0,1,0,0.0,0,0,0,0,0,0
Chiedozie Ogbene,IRL,"DF,FW",Sheffield Utd,28-236,1997.0,8.2,32,3.91,25,0,1,0,5,1,2,0.24,2,0,0,0,0,0
Chiedozie Ogbene,IRL,"MF,FW",Ipswich Town,28-236,1997.0,1.0,2,2.07,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Connor Ogilvie,ENG,DF,Portsmouth,29-312,1996.0,11.6,22,1.9,13,1,0,4,3,1,1,0.09,1,0,0,0,0,0
Yuki Ohashi,JPN,FW,Blackburn,29-149,1996.0,18.0,40,2.1,24,0,6,5,4,1,1,0.05,0,0,0,0,1,0
Caleb Okoli,ITA,DF,Leicester City,24-163,2001.0,8.9,8,0.9,7,0,0,0,0,1,1,0.11,1,0,0,0,0,0
Arthur Okonkwo,ENG,GK,Wrexham,24-105,2001.0,18.0,2,0.11,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
