Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Rhys Norrington-Davies,WAL,DF,Sheffield Utd,26-245,1999.0,0.6,53,59,89.8,926,260,25,27,92.6,24,27,88.9,4,5,80.0,0,0.0,0.0,0.0,0,7,0,0,6
Rhys Norrington-Davies,WAL,DF,QPR,26-245,1999.0,12.8,446,631,70.7,7612,3518,211,254,83.1,196,257,76.3,32,78,41.0,0,0.6,1.0,-0.6,6,33,13,8,63
Marcelino Núñez,CHI,MF,Norwich City,25-297,2000.0,0.8,31,40,77.5,559,168,13,13,100.0,12,14,85.7,4,10,40.0,1,0.1,0.3,0.9,1,3,1,0,5
Marcelino Núñez,CHI,MF,Ipswich Town,25-297,2000.0,11.3,395,498,79.3,7244,2538,166,188,88.3,156,181,86.2,57,87,65.5,5,3.6,2.5,1.4,34,52,12,1,75
Ryan Nyambe,NAM,DF,Derby County,28-019,1997.0,2.9,80,105,76.2,1188,438,45,48,93.8,32,42,76.2,2,7,28.6,0,0.0,0.1,0.0,0,4,1,0,6
Sverre Nypan,NOR,"MF,FW",Middlesbrough,19-004,2006.0,6.1,164,208,78.8,2392,517,90,105,85.7,61,74,82.4,6,16,37.5,0,0.6,0.9,-0.6,6,13,4,0,23
Steven Nzonzi,FRA,MF,Stoke City,37-008,1988.0,4.7,185,237,78.1,3188,678,87,109,79.8,83,101,82.2,11,15,73.3,0,0.0,0.1,0.0,0,12,2,1,16
Lewis O'Brien,ENG,MF,Wrexham,27-070,1998.0,14.1,372,499,74.5,5746,1519,199,235,84.7,133,171,77.8,28,61,45.9,2,2.7,2.4,-0.7,20,37,5,4,47
Gatlin O'Donkor,ENG,MF,Oxford United,21-070,2004.0,0.0,2,2,100.0,14,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Callum O'Hare,ENG,MF,Sheffield Utd,27-236,1998.0,19.6,559,714,78.3,7525,1938,365,419,87.1,153,194,78.9,21,35,60.0,6,2.7,3.4,3.3,26,60,31,4,92
