Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 24_level_0_Matches
124,Lamine Cissé,fr FRA,FW,Stoke City,22-311,2003,3.3,11,3.32,9,0,1,0,0,1,1,0.30,1,0,0,0,0,0,Matches
125,Bobby Clark,eng ENG,"MF,FW",Derby County,20-319,2005,16.3,37,2.27,28,0,2,2,2,3,3,0.18,1,0,0,1,1,0,Matches
126,Jack Clarke,eng ENG,FW,Ipswich Town,25-030,2000,10.6,48,4.55,37,3,5,2,1,0,5,0.47,3,0,2,0,0,0,Matches
127,Matthew Clarke,eng ENG,DF,Derby County,29-092,1996,22.0,16,0.73,14,0,0,2,0,0,1,0.05,1,0,0,0,0,0,Matches
128,Jake Clarke-Salter,eng ENG,DF,QPR,28-092,1997,2.7,2,0.75,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
129,Max Cleworth,wls WAL,DF,Wrexham,23-136,2002,22.0,23,1.05,19,1,0,3,0,0,3,0.14,2,0,0,1,0,0,Matches
130,Conor Coady,eng ENG,DF,Wrexham,32-301,1993,4.9,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
131,Josh Coburn,eng ENG,"FW,MF",Millwall,23-017,2002,7.1,17,2.38,13,0,0,1,2,1,1,0.14,1,0,0,0,0,0,Matches
132,Alex Cochrane,eng ENG,DF,Birmingham City,25-246,2000,16.3,38,2.33,25,13,0,0,0,0,6,0.37,2,4,0,0,0,0,Matches
133,Toby Collyer,eng ENG,MF,West Brom,21-354,2004,2.9,6,2.08,6,0,0,0,0,0,1,0.35,1,0,0,0,0,0,Matches
134,Tommy Conway,sct SCO,"FW,MF",Middlesbrough,23-139,2002,18.2,56,3.07,37,1,3,9,4,2,8,0.44,6,0,0,2,0,0,Matches
135,Steve Cook,eng ENG,DF,QPR,34-248,1991,13.3,9,0.67,8,0,0,0,1,0,2,0.15,1,0,0,0,1,0,Matches
136,Jake Cooper,eng ENG,DF,Millwall,30-323,1995,21.0,24,1.14,21,1,0,0,2,0,2,0.10,2,0,0,0,0,0,Matches
