Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Ethan Ampadu,WAL,"DF,MF",Spezia,21,2000,29.3,10,1,1,44,20,1,11,36,37,0,2,0,203,61,40,60.4
Sofyan Amrabat,MAR,MF,Fiorentina,25,1996,22.2,11,0,0,54,28,0,26,21,24,0,2,0,157,11,13,45.8
Felipe Anderson,BRA,FW,Lazio,29,1993,32.9,3,0,0,40,33,7,50,31,50,1,0,0,142,14,21,40.0
Janis Antiste,FRA,FW,Sassuolo,19,2002,0.6,0,0,0,4,0,0,0,0,0,0,0,0,4,2,1,66.7
Marcos Antônio,BRA,MF,Lazio,22,2000,6.6,2,0,0,9,15,0,0,11,6,0,0,0,42,0,4,0.0
Valentin Antov,BUL,DF,Monza,21,2000,3.4,2,0,0,4,2,0,2,4,5,0,0,0,24,6,11,35.3
Marko Arnautović,AUT,FW,Bologna,33,1989,17.0,5,0,0,22,20,11,9,2,6,0,0,0,36,10,12,45.5
Tolgay Arslan,GER,MF,Udinese,31,1990,13.5,3,0,0,15,35,0,28,12,18,0,0,0,78,8,4,66.7
Santiago Ascacíbar,ARG,MF,Cremonese,25,1997,8.1,1,0,0,11,9,0,5,13,14,0,0,0,62,10,20,33.3
Kristoffer Askildsen,NOR,MF,Lecce,21,2001,8.1,3,0,0,20,7,1,19,11,3,0,1,0,45,21,19,52.5
Kristjan Asllani,ALB,MF,Inter,20,2002,6.6,2,0,0,5,7,0,21,6,5,0,0,0,37,0,4,0.0
Emil Audero,IDN,GK,Sampdoria,25,1997,25.0,1,0,0,0,2,0,0,0,0,0,0,1,41,6,0,100.0
Tommaso Augello,ITA,DF,Sampdoria,27,1994,34.0,3,0,0,14,26,1,170,17,14,0,1,0,183,38,32,54.3
Carlos Augusto,BRA,DF,Monza,23,1999,34.3,4,0,0,41,19,6,54,24,38,0,0,0,157,57,33,63.3
Kaan Ayhan,TUR,DF,Sassuolo,27,1994,6.1,1,0,0,4,8,0,0,5,4,0,0,0,28,2,7,22.2
Jaime Báez,URU,DF,Cremonese,27,1995,1.1,0,0,0,1,1,1,9,0,2,0,0,0,5,1,0,100.0
Nedim Bajrami,ALB,"MF,FW",Empoli,23,1999,10.4,1,0,0,6,6,3,35,7,4,0,0,0,49,2,7,22.2
Nedim Bajrami,ALB,"FW,MF",Sassuolo,23,1999,9.1,0,0,0,6,9,6,57,7,7,0,0,0,44,2,4,33.3
Tiemoué Bakayoko,FRA,MF,Milan,27,1994,0.5,0,0,0,3,1,0,0,0,5,0,0,0,6,1,1,50.0
Tommaso Baldanzi,ITA,MF,Empoli,19,2003,19.7,2,0,0,12,37,1,21,2,12,0,0,0,69,3,9,25.0
Fodé Ballo-Touré,SEN,DF,Milan,25,1997,5.8,0,0,0,5,13,0,17,2,9,0,0,0,33,13,5,72.2
Lameck Banda,ZAM,"FW,MF",Lecce,21,2001,18.2,6,0,0,31,37,11,51,8,20,0,0,0,82,7,32,17.9
Filippo Bandinelli,ITA,MF,Empoli,27,1995,25.1,10,0,0,53,37,0,91,18,34,0,1,0,138,10,19,34.5
Antonín Barák,CZE,MF,Hellas Verona,27,1994,0.3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
Antonín Barák,CZE,MF,Fiorentina,27,1994,20.0,4,0,0,13,17,3,14,3,9,0,1,0,76,18,31,36.7
Andrea Barberis,ITA,MF,Monza,28,1993,3.8,0,0,0,1,2,0,4,8,2,0,0,0,16,2,2,50.0
Tommaso Barbieri,ITA,DF,Juventus,19,2002,1.2,0,0,0,5,4,0,7,0,3,0,0,0,2,0,2,0.0
Francesco Bardi,ITA,GK,Bologna,30,1992,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nicolò Barella,ITA,MF,Inter,25,1997,29.0,6,0,0,32,45,9,84,12,25,0,0,0,178,20,15,57.1
Enzo Barrenechea,ARG,MF,Juventus,21,2001,1.8,0,0,0,3,1,0,0,2,3,0,0,0,9,1,1,50.0
Musa Barrow,GAM,"FW,MF",Bologna,23,1998,21.8,3,0,0,20,19,5,103,1,4,0,0,0,80,12,34,26.1
Federico Baschirotto,ITA,DF,Lecce,25,1996,37.0,6,0,0,37,11,0,14,36,30,0,1,0,204,91,64,58.7
Toma Bašić,CRO,MF,Lazio,25,1996,5.7,2,0,0,12,17,1,20,7,4,0,0,0,32,14,6,70.0
Alberto Basso,ITA,MF,Cremonese,18,2004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Alessandro Bastoni,ITA,DF,Inter,23,1999,24.0,3,0,0,19,15,1,49,24,20,0,0,0,117,39,23,62.9
Simone Bastoni,ITA,"MF,DF",Spezia,25,1996,13.2,7,0,0,29,12,2,103,8,24,0,0,0,87,12,9,57.1
Brian Bayeye,COD,DF,Torino,22,2000,0.7,0,0,0,1,1,0,2,1,0,0,0,0,12,0,1,0.0
Rodrigo Becão,BRA,DF,Udinese,26,1996,27.6,11,1,0,38,32,6,19,26,36,0,0,1,157,63,28,69.2
Julius Beck,DEN,MF,Spezia,17,2005,0.1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0
Raoul Bellanova,ITA,DF,Inter,22,2000,5.5,0,0,0,4,9,2,32,4,6,0,0,0,25,3,3,50.0
Andrea Belotti,ITA,FW,Roma,28,1993,12.7,0,0,0,21,36,7,6,3,5,0,0,0,24,36,61,37.1
Marco Benassi,ITA,DF,Fiorentina,27,1994,1.0,0,0,0,1,1,0,7,1,3,0,0,0,10,3,2,60.0
Marco Benassi,ITA,MF,Cremonese,27,1994,11.1,1,0,0,10,6,0,24,12,15,0,0,0,71,5,15,25.0
Ismaël Bennacer,ALG,MF,Milan,24,1997,22.3,5,0,0,36,25,1,79,26,33,0,0,0,186,22,22,50.0
Domenico Berardi,ITA,FW,Sassuolo,27,1994,20.7,7,0,0,33,49,8,83,19,14,2,0,0,84,13,21,38.2
