Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Pietro Comuzzo,ITA,DF,Fiorentina,19,2005,24.4,1,5,2,40.0,0.2,0.08,0.2,0.5,13.0,0,0,0,0.5,0.5,0.1,0.5,0.5
Francisco Conceição,POR,"FW,MF",Juventus,21,2002,14.9,3,40,13,32.5,2.69,0.87,0.08,0.23,18.1,1,0,0,2.3,2.3,0.06,0.7,0.7
Diego Coppola,ITA,DF,Hellas Verona,20,2003,32.5,2,10,4,40.0,0.31,0.12,0.2,0.5,9.1,0,0,0,0.7,0.7,0.07,1.3,1.3
Maxwel Cornet,CIV,"FW,MF",Genoa,27,1996,2.7,2,5,3,60.0,1.83,1.1,0.4,0.67,12.3,0,0,0,1.0,1.0,0.2,1.0,1.0
Joaquín Correa,ARG,"FW,MF",Inter,29,1994,8.1,2,14,6,42.9,1.72,0.74,0.14,0.33,13.3,0,0,0,2.1,2.1,0.15,-0.1,-0.1
Alberto costa,POR,DF,Juventus,20,2003,4.0,0,7,0,0.0,1.76,0.0,0.0,,15.7,0,0,0,0.6,0.6,0.09,-0.6,-0.6
Lassana Coulibaly,MLI,MF,Lecce,28,1996,29.6,1,9,3,33.3,0.3,0.1,0.11,0.33,18.7,0,0,0,0.8,0.8,0.09,0.2,0.2
Woyo Coulibaly,MLI,DF,Parma,25,1999,12.0,0,3,0,0.0,0.25,0.0,0.0,,23.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Bryan Cristante,ITA,MF,Roma,29,1995,22.7,4,30,7,23.3,1.32,0.31,0.13,0.57,16.9,0,0,0,2.1,2.1,0.07,1.9,1.9
Domen Črnigoj,SVN,MF,Venezia,28,1995,1.5,0,1,0,0.0,0.66,0.0,0.0,,10.3,0,0,0,0.1,0.1,0.11,-0.1,-0.1
Juan Cuadrado,COL,"DF,MF",Atalanta,36,1988,9.2,0,16,4,25.0,1.73,0.43,0.0,0.0,16.0,0,0,0,0.9,0.9,0.06,-0.9,-0.9
Patrick Cutrone,ITA,FW,Como,26,1998,22.7,7,69,26,37.7,3.03,1.14,0.1,0.27,15.9,0,0,1,7.1,6.3,0.09,-0.1,0.7
Wylan Cyprien,FRA,MF,Parma,29,1995,0.3,0,1,0,0.0,3.21,0.0,0.0,,15.2,0,0,0,0.2,0.2,0.2,-0.2,-0.2
Danilo D'Ambrosio,ITA,DF,Monza,35,1988,12.2,0,9,4,44.4,0.74,0.33,0.0,0.0,18.0,1,0,0,0.5,0.5,0.06,-0.5,-0.5
Lucas Da Cunha,FRA,MF,Como,23,2001,29.0,3,37,14,37.8,1.27,0.48,0.08,0.21,23.8,3,0,0,2.0,2.0,0.05,1.0,1.0
Samuel Dahl,SWE,"DF,MF",Roma,24,2000,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Thijs Dallinga,NED,FW,Bologna,23,2000,12.8,3,31,11,35.5,2.42,0.86,0.1,0.27,11.6,0,0,0,4.3,4.3,0.14,-1.3,-1.3
Maat Daniel Caprini,ITA,FW,Fiorentina,18,2006,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Flavius Daniliuc,AUT,DF,Hellas Verona,23,2001,11.2,0,3,1,33.3,0.27,0.09,0.0,0.0,18.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Danilo,BRA,DF,Juventus,33,1991,6.5,0,1,0,0.0,0.15,0.0,0.0,,8.2,0,0,0,0.1,0.1,0.1,-0.1,-0.1
Matteo Darmian,ITA,DF,Inter,34,1989,19.8,3,11,3,27.3,0.56,0.15,0.27,1.0,14.4,0,0,0,1.9,1.9,0.18,1.1,1.1
Juan David Cabal,COL,DF,Juventus,23,2001,5.1,0,5,0,0.0,0.98,0.0,0.0,,21.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Keinan Davis,ENG,FW,Udinese,26,1998,11.8,2,29,11,37.9,2.45,0.93,0.07,0.18,12.7,0,0,0,2.9,2.9,0.1,-0.9,-0.9
Paweł Dawidowicz,POL,"DF,MF",Hellas Verona,29,1995,20.5,0,4,0,0.0,0.2,0.0,0.0,,14.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Charles De Ketelaere,BEL,"MF,FW",Atalanta,23,2001,23.0,7,48,20,41.7,2.09,0.87,0.15,0.35,12.2,0,0,0,7.3,7.3,0.15,-0.3,-0.3
