Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
Flavius Daniliuc,AUT,DF,Hellas Verona,23,2001,11.2,11,0.98,10,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Danilo,BRA,DF,Juventus,33,1991,6.5,10,1.55,10,0,0,0,0,0,1,0.15,1,0,0,0,0,0
Matteo Darmian,ITA,DF,Inter,34,1989,19.8,34,1.72,26,3,0,1,2,2,4,0.2,4,0,0,0,0,0
Juan David Cabal,COL,DF,Juventus,23,2001,5.1,3,0.59,3,0,0,0,0,0,3,0.59,3,0,0,0,0,0
Keinan Davis,ENG,FW,Udinese,26,1998,11.8,35,2.95,27,0,4,3,0,1,2,0.17,0,0,1,1,0,0
Paweł Dawidowicz,POL,"DF,MF",Hellas Verona,29,1995,20.5,8,0.39,6,2,0,0,0,0,1,0.05,1,0,0,0,0,0
Charles De Ketelaere,BEL,"MF,FW",Atalanta,23,2001,23.0,88,3.83,73,0,5,7,3,0,14,0.61,11,0,1,2,0,0
Mattia De Sciglio,ITA,DF,Empoli,31,1992,8.5,8,0.94,5,1,0,0,1,1,0,0.0,0,0,0,0,0,0
Lorenzo De Silvestri,ITA,DF,Bologna,36,1988,11.8,14,1.19,10,2,0,2,0,0,2,0.17,1,0,0,1,0,0
Koni De Winter,BEL,DF,Genoa,22,2002,23.7,15,0.63,11,2,0,0,1,1,1,0.04,1,0,0,0,0,0
Alessandro Deiola,ITA,MF,Cagliari,28,1995,15.9,26,1.63,19,1,0,3,2,1,3,0.19,2,0,0,1,0,0
Enrico Del Prato,ITA,DF,Parma,24,1999,32.7,32,0.98,28,2,0,0,1,1,1,0.03,0,0,0,0,0,1
Fisayo Dele-Bashiru,NGA,"MF,FW",Lazio,23,2001,10.5,24,2.28,17,0,5,2,0,0,1,0.09,1,0,0,0,0,0
Ali Dembélé,FRA,DF,Torino,20,2004,4.3,7,1.62,5,0,2,0,0,0,0,0.0,0,0,0,0,0,0
Michele Di Gregorio,ITA,GK,Juventus,27,1997,33.0,2,0.06,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Giovanni Di Lorenzo,ITA,DF,Napoli,30,1993,37.0,80,2.16,72,4,0,2,1,1,8,0.22,7,0,0,1,0,0
Boulaye Dia,SEN,"MF,FW",Lazio,27,1996,24.2,55,2.27,40,0,4,8,2,1,8,0.33,7,0,0,1,0,0
Assane Diao,SEN,"FW,MF",Como,18,2005,13.9,31,2.23,21,0,4,3,3,0,4,0.29,2,0,1,0,1,0
