Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Gabriel Charpentier,CGO,FW,Parma,25,1999,3.0,111,7,22,35,58,12,111,6,2,33.3,3,50.0,55,337,138,6,4,2,16,4,64,16
Walid Cheddira,MAR,FW,Napoli,26,1998,0.1,3,0,0,1,2,0,3,0,0,,0,,1,3,0,0,0,0,0,0,2,1
Leandro Chichizola,ARG,GK,Parma,34,1990,1.0,54,45,53,1,0,0,54,0,0,,0,,30,156,107,0,0,0,0,0,31,0
Samuel Chukwueze,NGA,"FW,MF",Milan,25,1999,10.3,556,8,62,195,307,54,556,47,26,55.3,20,42.6,369,2763,1494,48,37,20,23,11,406,116
Aaron Ciammaglichella,ITA,MF,Torino,19,2005,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Giuseppe Ciocci,ITA,GK,Cagliari,22,2002,0.1,1,0,1,0,0,0,1,0,0,,0,,1,3,2,0,0,0,0,0,1,0
Alessandro Circati,AUS,DF,Parma,20,2003,6.0,301,69,176,119,7,3,301,0,0,,0,,123,505,262,1,0,0,4,2,158,0
Alphadjo Cissè,ITA,"FW,MF",Hellas Verona,17,2006,0.1,11,0,1,6,4,0,11,0,0,,0,,6,15,3,0,0,0,0,0,10,0
Patrick Ciurria,ITA,"MF,DF",Monza,29,1995,12.3,542,22,103,241,202,17,542,12,5,41.7,7,58.3,306,1380,649,19,10,3,18,14,327,52
Saúl Coco,EQG,DF,Torino,25,1999,31.6,1879,241,863,961,65,17,1879,9,7,77.8,2,22.2,1135,5790,3043,17,8,0,13,2,1227,3
Lorenzo Colombo,ITA,"FW,MF",Empoli,22,2002,24.8,837,18,77,417,355,83,836,50,24,48.0,25,50.0,438,2185,856,27,28,10,88,52,547,116
Andrea Colpani,ITA,"FW,MF",Fiorentina,25,1999,16.1,609,9,62,251,299,49,609,27,12,44.4,13,48.1,395,2413,1094,37,35,13,26,22,449,129
Florinel Coman,ROU,"FW,MF",Cagliari,26,1998,2.9,121,2,23,50,50,8,121,5,2,40.0,2,40.0,84,472,178,5,8,2,12,6,98,22
Pietro Comuzzo,ITA,DF,Fiorentina,19,2005,24.4,1533,170,730,744,63,9,1533,2,0,0.0,2,100.0,892,3728,1815,14,11,1,15,4,982,12
Francisco Conceição,POR,"FW,MF",Juventus,21,2002,14.9,739,11,87,244,425,92,739,79,35,44.3,37,46.8,548,4309,2292,95,32,59,35,22,581,143
Diego Coppola,ITA,DF,Hellas Verona,20,2003,32.5,1576,185,839,708,40,23,1576,5,1,20.0,4,80.0,749,3707,1419,4,4,0,10,5,793,3
Maxwel Cornet,CIV,"FW,MF",Genoa,27,1996,2.7,97,2,11,42,45,13,97,9,3,33.3,5,55.6,54,307,154,8,7,5,5,3,72,26
Joaquín Correa,ARG,"FW,MF",Inter,29,1994,8.1,438,5,40,216,188,39,438,10,6,60.0,4,40.0,295,1432,680,22,17,4,13,5,353,45
Alberto costa,POR,DF,Juventus,20,2003,4.0,276,13,81,113,85,14,276,11,4,36.4,6,54.5,148,692,407,8,6,3,9,0,170,25
Lassana Coulibaly,MLI,MF,Lecce,28,1996,29.6,1229,86,311,748,185,19,1229,38,18,47.4,13,34.2,623,3338,1229,21,18,3,33,19,714,49
Woyo Coulibaly,MLI,DF,Parma,25,1999,12.0,706,34,213,388,110,12,706,17,8,47.1,8,47.1,404,2492,1389,36,15,9,19,11,439,23
