Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Gil Bastião Dias,POR,FW,Stuttgart,25,1996,4.4,1,10,4,40.0,2.26,0.9,0.1,0.25,20.2,0,0,0,0.5,0.5,0.05,0.5,0.5
Maximilian Bauer,GER,DF,Augsburg,22,2000,20.5,0,8,0,0.0,0.39,0.0,0.0,,8.5,0,0,0,1.6,1.6,0.2,-1.6,-1.6
Oliver Baumann,GER,GK,Hoffenheim,32,1990,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Timo Baumgartl,GER,DF,Union Berlin,26,1996,6.2,0,4,2,50.0,0.64,0.32,0.0,0.0,11.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Julian Baumgartlinger,AUT,MF,Augsburg,34,1988,6.2,0,3,0,0.0,0.49,0.0,0.0,,18.2,0,0,0,0.3,0.3,0.09,-0.3,-0.3
Christoph Baumgartner,AUT,"MF,FW",Hoffenheim,22,1999,28.5,7,66,19,28.8,2.31,0.67,0.11,0.37,15.7,0,0,0,7.1,7.1,0.11,-0.1,-0.1
Noah Joel Sarenren Bazee,NGA,"MF,FW",Augsburg,25,1996,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ihlas Bebou,TOG,"FW,DF",Hoffenheim,28,1994,15.7,7,28,13,46.4,1.78,0.83,0.21,0.46,15.0,0,1,1,4.6,3.8,0.14,2.4,2.2
Sheraldo Becker,SUR,FW,Union Berlin,27,1995,28.4,11,67,26,38.8,2.36,0.92,0.16,0.42,18.3,0,0,0,6.5,6.5,0.1,4.5,4.5
Kevin Behrens,GER,FW,Union Berlin,31,1991,17.1,8,35,14,40.0,2.05,0.82,0.23,0.57,11.7,0,0,0,4.8,4.8,0.14,3.2,3.2
Stefan Bell,GER,DF,Mainz 05,30,1991,26.6,0,7,2,28.6,0.26,0.08,0.0,0.0,10.4,0,0,0,0.7,0.7,0.09,-0.7,-0.7
Karim Bellarabi,GER,"FW,MF",Leverkusen,32,1990,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jude Bellingham,ENG,MF,Dortmund,19,2003,29.9,8,66,23,34.8,2.21,0.77,0.11,0.3,18.0,2,1,1,8.2,7.4,0.11,-0.2,-0.4
Ramy Bensebaini,ALG,DF,Gladbach,27,1995,27.6,6,39,12,30.8,1.41,0.44,0.1,0.33,17.3,3,2,2,5.3,3.7,0.1,0.7,0.3
Mergim Berisha,GER,FW,Augsburg,24,1998,18.7,9,51,13,25.5,2.73,0.7,0.12,0.46,18.7,6,3,4,8.1,5.0,0.1,0.9,1.0
Ermin Bičakčić,BIH,DF,Hoffenheim,32,1990,2.9,0,2,1,50.0,0.68,0.34,0.0,0.0,11.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Tom Bischof,GER,"MF,FW",Hoffenheim,17,2005,3.5,0,7,2,28.6,2.0,0.57,0.0,0.0,22.4,0,0,0,1.0,1.0,0.14,-1.0,-1.0
Leonardo Bittencourt,GER,"MF,DF",Werder Bremen,28,1993,18.1,3,25,9,36.0,1.38,0.5,0.12,0.33,22.3,2,0,0,1.4,1.4,0.05,1.6,1.6
Janis Blaswich,GER,GK,RB Leipzig,31,1991,26.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Daley Blind,NED,"DF,MF",Bayern Munich,32,1990,1.5,0,1,1,100.0,0.67,0.67,0.0,0.0,24.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Kevin-Prince Boateng,GHA,MF,Hertha BSC,35,1987,5.2,0,6,0,0.0,1.16,0.0,0.0,,19.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3
