Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 22_level_0_Ast,Unnamed: 23_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 26_level_0_KP,Unnamed: 27_level_0_1/3,Unnamed: 28_level_0_PPA,Unnamed: 29_level_0_CrsPA,Unnamed: 30_level_0_PrgP,Unnamed: 31_level_0_Matches
461,Franco Vázquez,ar ARG,"FW,MF",Cremonese,36-304,1989,5.1,150,206,72.8,2663,647,62,75,82.7,64,79,81.0,17,31,54.8,1,0.9,1.2,+0.1,9,14,4,1,28,Matches
462,Matías Vecino,uy URU,MF,Lazio,34-121,1991,3.3,172,191,90.1,2581,594,92,98,93.9,67,71,94.4,8,12,66.7,0,0.1,0.2,-0.1,1,19,0,0,12,Matches
463,Danilo Veiga,pt POR,DF,Lecce,23-089,2002,12.5,437,582,75.1,7610,2737,197,241,81.7,191,238,80.3,40,76,52.6,1,0.3,0.7,+0.7,9,43,17,6,57,Matches
464,Lorenzo Venturino,it ITA,"FW,MF",Genoa,19-184,2006,0.4,23,32,71.9,417,111,9,11,81.8,12,14,85.7,1,5,20.0,0,0.4,0.6,-0.4,1,2,2,2,4,Matches
465,Antonio Vergara,it ITA,"FW,MF",Napoli,22-341,2003,0.1,2,2,100.0,24,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
466,Mattia Viti,it ITA,DF,Fiorentina,23-333,2002,2.4,106,130,81.5,2022,752,38,44,86.4,54,63,85.7,11,18,61.1,0,0.0,0.0,0.0,0,15,0,0,17,Matches
467,Martin Vitík,cz CZE,DF,Bologna,22-336,2003,4.0,172,207,83.1,3602,1142,37,44,84.1,115,121,95.0,19,37,51.4,0,0.2,0.0,-0.2,2,23,0,0,17,Matches
468,Vitinha,pt POR,"FW,MF",Genoa,25-283,2000,9.2,113,191,59.2,1772,471,67,84,79.8,32,54,59.3,11,29,37.9,1,1.6,1.0,-0.6,8,9,8,3,12,Matches
469,Dušan Vlahović,rs SRB,FW,Juventus,25-329,2000,7.6,89,131,67.9,1292,218,58,80,72.5,19,32,59.4,9,13,69.2,1,0.6,0.7,+0.4,7,4,3,1,8,Matches
470,Nikola Vlašić,hr CRO,"MF,FW",Torino,28-080,1997,13.0,359,442,81.2,5767,1808,192,218,88.1,135,153,88.2,26,45,57.8,2,1.0,0.9,+1.0,21,45,22,5,62,Matches
471,Mërgim Vojvoda,xk KVX,"FW,DF",Como,30-325,1995,7.0,297,361,82.3,4940,1468,150,166,90.4,122,141,86.5,19,34,55.9,0,0.9,0.4,-0.9,10,21,7,2,33,Matches
472,Cristian Volpato,it ITA,"FW,MF",Sassuolo,22-038,2003,6.1,166,227,73.1,2973,801,76,92,82.6,54,66,81.8,27,50,54.0,4,1.4,0.8,+2.6,10,15,5,3,18,Matches
473,Aster Vranckx,be BEL,MF,Sassuolo,23-080,2002,5.6,145,181,80.1,2212,425,81,87,93.1,47,57,82.5,10,16,62.5,0,0.1,0.1,-0.1,2,4,1,1,10,Matches
474,Stefan de Vrij,nl NED,DF,Inter,33-321,1992,2.0,126,136,92.6,2409,955,38,41,92.7,75,79,94.9,13,15,86.7,0,0.0,0.0,0.0,1,7,1,0,10,Matches
475,İsak Vural,tr TUR,MF,Pisa,19-209,2006,4.1,84,107,78.5,1480,421,45,54,83.3,25,32,78.1,12,19,63.2,0,0.0,0.1,0.0,2,9,0,0,3,Matches
476,Sebastian Walukiewicz,pl POL,DF,Sassuolo,25-262,2000,13.7,563,671,83.9,8917,3881,277,309,89.6,246,277,88.8,28,52,53.8,0,1.0,1.4,-1.0,12,46,13,6,49,Matches
477,Wesley,br BRA,DF,Roma,22-108,2003,13.2,516,669,77.1,7669,2490,290,314,92.4,180,233,77.3,26,69,37.7,0,2.5,2.2,-2.5,17,30,18,9,45,Matches
478,Kenan Yıldız,tr TUR,"MF,FW",Juventus,20-233,2005,13.9,437,570,76.7,6597,1682,257,300,85.7,140,179,78.2,27,53,50.9,4,4.1,3.3,-0.1,34,26,24,6,53,Matches
479,Mattia Zaccagni,it ITA,FW,Lazio,30-190,1995,13.0,357,461,77.4,5105,1221,203,225,90.2,113,139,81.3,21,47,44.7,0,1.5,0.9,-1.5,15,29,12,1,39,Matches
480,Nicola Zalewski,pl POL,DF,Atalanta,23-334,2002,6.1,199,298,66.8,3720,1214,88,104,84.6,76,112,67.9,31,70,44.3,2,1.0,1.6,+1.0,7,14,7,3,24,Matches
481,Andre-Frank Zambo Anguissa,cm CMR,MF,Napoli,30-037,1995,10.4,418,505,82.8,5979,1616,253,284,89.1,148,177,83.6,11,20,55.0,1,1.3,1.0,-0.3,10,29,10,2,40,Matches
482,Nicolò Zaniolo,it ITA,FW,Udinese,26-174,1999,10.2,192,263,73.0,3537,919,84,99,84.8,75,94,79.8,24,46,52.2,0,1.0,1.0,-1.0,20,18,9,2,34,Matches
483,Alessandro Zanoli,it ITA,DF,Udinese,25-081,2000,9.4,277,352,78.7,4483,1663,140,160,87.5,94,116,81.0,29,50,58.0,1,0.9,0.8,+0.1,13,15,14,10,9,Matches
