Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
John Buckley,ENG,MF,Blackburn,24.0,1999.0,9.5,0,9,2,22.2,0.95,0.21,0.0,0.0,28.8,2,0,0,0.2,0.2,0.02,-0.2,-0.2
Mustapha Bundu,SLE,"FW,MF",Plymouth Argyle,27.0,1997.0,25.6,10,35,18,51.4,1.37,0.7,0.29,0.56,16.5,2,0,0,5.5,5.5,0.17,4.5,4.5
Wouter Burger,NED,MF,Stoke City,23.0,2001.0,33.4,1,25,5,20.0,0.75,0.15,0.04,0.2,15.4,0,0,0,1.9,1.9,0.08,-0.9,-0.9
Delano Burgzorg,SUR,"FW,MF",Middlesbrough,25.0,1998.0,24.3,5,68,20,29.4,2.8,0.82,0.06,0.2,16.3,0,1,1,7.8,7.0,0.1,-2.8,-3.0
Reece Burke,ENG,DF,Luton Town,27.0,1996.0,9.5,0,7,2,28.6,0.74,0.21,0.0,0.0,19.4,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Finley Burns,ENG,"DF,MF",Hull City,21.0,2003.0,3.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Harrison Burrows,ENG,DF,Sheffield Utd,22.0,2002.0,38.4,5,49,14,28.6,1.27,0.36,0.06,0.21,21.8,5,2,2,3.8,2.3,0.05,1.2,0.7
Mason Burstow,ENG,"FW,MF",Hull City,20.0,2003.0,10.6,2,29,13,44.8,2.74,1.23,0.07,0.15,19.0,1,0,0,2.0,2.0,0.07,0.0,0.0
Sam Byram,ENG,DF,Leeds United,30.0,1993.0,15.7,1,15,4,26.7,0.96,0.26,0.07,0.25,11.4,0,0,0,0.8,0.8,0.06,0.2,0.2
Ben Cabango,WAL,DF,Swansea City,24.0,2000.0,44.8,2,23,4,17.4,0.51,0.09,0.09,0.5,8.9,0,0,0,2.6,2.6,0.11,-0.6,-0.6
Tyrese Campbell,ENG,FW,Sheffield Utd,24.0,1999.0,17.6,10,47,25,53.2,2.68,1.42,0.21,0.4,13.2,0,0,0,8.4,8.4,0.18,1.6,1.6
Thomas Cannon,IRL,FW,Stoke City,21.0,2002.0,20.6,9,52,26,50.0,2.52,1.26,0.12,0.23,18.1,7,3,4,9.0,5.9,0.11,0.0,0.1
Thomas Cannon,IRL,FW,Sheffield Utd,21.0,2002.0,7.6,1,21,5,23.8,2.77,0.66,0.05,0.2,16.3,0,0,0,1.7,1.7,0.08,-0.7,-0.7
