Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 36_level_0_Matches
56,Ashley Barnes,eng ENG,"FW,MF",Norwich City,34,1989,8,1,173,1.9,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,0,8,6,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches
57,Ashley Barnes,eng ENG,"FW,MF",Burnley,34,1989,13,1,134,1.5,1,1,2,1,0,0,1,0,0.9,0.9,0.3,1.2,1,3,5,0.67,0.67,1.34,0.67,1.34,0.61,0.23,0.84,0.61,0.84,Matches
58,Louie Barry,eng ENG,"FW,MF",Hull City,21,2003,4,2,165,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,7,3,14,0.00,0.00,0.00,0.00,0.00,0.10,0.04,0.14,0.10,0.14,Matches
59,Kyle Bartley,eng ENG,DF,West Brom,33,1991,31,30,2610,29.0,0,0,0,0,0,0,5,1,1.9,1.9,1.0,2.9,7,66,3,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.10,0.06,0.10,Matches
60,Norman Bassette,be BEL,FW,Coventry City,19,2004,25,11,907,10.1,2,0,2,2,0,0,5,0,4.9,4.9,0.2,5.1,11,6,46,0.20,0.00,0.20,0.20,0.20,0.48,0.02,0.50,0.48,0.50,Matches
61,Danny Batth,eng ENG,DF,Blackburn,33,1990,37,34,3009,33.4,2,0,2,2,0,0,5,0,2.1,2.1,0.8,2.9,4,59,6,0.06,0.00,0.06,0.06,0.06,0.06,0.02,0.09,0.06,0.09,Matches
62,Patrick Bauer,de GER,DF,Preston,31,1992,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
63,Vakoun Bayo,ci CIV,FW,Watford,27,1997,41,25,2242,24.9,10,0,10,9,1,1,5,1,13.1,12.3,0.8,13.1,19,22,97,0.40,0.00,0.40,0.36,0.36,0.53,0.03,0.56,0.49,0.53,Matches
64,James Beadle,eng ENG,GK,Sheffield Weds,20,2004,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
65,Owen Beck,wls WAL,"DF,FW",Blackburn,21,2002,24,21,1874,20.8,1,0,1,1,0,0,3,1,1.1,1.1,1.4,2.6,32,37,62,0.05,0.00,0.05,0.05,0.05,0.05,0.07,0.12,0.05,0.12,Matches
