Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 25_level_0_Matches
522,Max O'Leary,ie IRL,GK,Bristol City,27,1996,46.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
523,Mark O'Mahony,ie IRL,FW,Portsmouth,19,2005,6.6,3,10,3,30.0,1.51,0.45,0.30,1.00,12.8,0,0,0,1.9,1.9,0.19,+1.1,+1.1,Matches
524,Luke O'Nien,eng ENG,DF,Sunderland,29,1994,43.7,3,16,5,31.3,0.37,0.11,0.19,0.60,16.7,0,0,1,3.3,2.6,0.16,-0.3,+0.4,Matches
525,Dara O'Shea,ie IRL,DF,Burnley,25,1999,2.0,1,4,2,50.0,2.00,1.00,0.25,0.50,15.5,0,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches
526,Michael Obafemi,ie IRL,"FW,MF",Plymouth Argyle,24,2000,13.3,2,15,5,33.3,1.13,0.38,0.13,0.40,15.1,0,0,0,2.0,2.0,0.13,0.0,0.0,Matches
527,Wilson Odobert,fr FRA,MF,Burnley,19,2004,1.0,1,3,1,33.3,3.03,1.01,0.33,1.00,12.2,0,0,0,0.6,0.6,0.19,+0.4,+0.4,Matches
528,Chiedozie Ogbene,ie IRL,"DF,MF",Luton Town,27,1997,2.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
529,Nathanael Ogbeta,eng ENG,DF,Plymouth Argyle,23,2001,7.0,1,4,1,25.0,0.58,0.14,0.25,1.00,15.0,0,0,0,0.4,0.4,0.10,+0.6,+0.6,Matches
530,Angelo Ogbonna,it ITA,DF,Watford,36,1988,4.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
531,Connor Ogilvie,eng ENG,DF,Portsmouth,28,1996,44.8,4,39,9,23.1,0.87,0.20,0.10,0.44,13.0,0,0,0,4.4,4.4,0.11,-0.4,-0.4,Matches
532,Yuki Ohashi,jp JPN,"FW,MF",Blackburn,28,1996,24.7,9,53,19,35.8,2.15,0.77,0.17,0.47,14.1,0,0,0,7.2,7.2,0.14,+1.8,+1.8,Matches
533,Jeppe Okkels,dk DEN,"FW,MF",Preston,25,1999,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
534,Abdülkadir Ömür,tr TUR,"MF,FW",Hull City,25,1999,11.8,0,8,3,37.5,0.68,0.25,0.00,0.00,21.5,4,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches
535,Ryan One,sct SCO,FW,Sheffield Utd,18,2006,3.2,1,7,2,28.6,2.16,0.62,0.14,0.50,13.7,0,0,0,1.0,1.0,0.15,0.0,0.0,Matches
536,Ben Osborn,eng ENG,"MF,DF",Derby County,29,1994,18.9,0,6,0,0.0,0.32,0.00,0.00,,20.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
537,Milutin Osmajić,me MNE,FW,Preston,25,1999,21.3,9,43,18,41.9,2.02,0.84,0.21,0.50,12.6,0,0,0,8.4,8.4,0.20,+0.6,+0.6,Matches
538,Gabriel Otegbayo,,DF,Sheffield Weds,,,5.3,1,3,2,66.7,0.56,0.37,0.33,0.50,7.8,0,0,0,0.7,0.7,0.24,+0.3,+0.3,Matches
539,David Ozoh,eng ENG,MF,Derby County,19,2005,7.8,1,6,2,33.3,0.77,0.26,0.17,0.50,18.3,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
540,Kenneth Paal,sr SUR,DF,QPR,27,1997,32.0,1,16,5,31.3,0.50,0.16,0.06,0.20,21.3,3,0,0,1.4,1.4,0.09,-0.4,-0.4,Matches
541,Marlon Pack,eng ENG,"DF,MF",Portsmouth,33,1991,30.1,0,13,2,15.4,0.43,0.07,0.00,0.00,13.5,2,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
542,Alex Palmer,eng ENG,GK,West Brom,27,1996,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
543,Kasey Palmer,jm JAM,"MF,FW",Hull City,27,1996,12.1,1,22,6,27.3,1.82,0.50,0.05,0.17,21.8,4,0,1,2.5,1.5,0.08,-1.5,-0.5,Matches
544,Kasey Palmer,jm JAM,"MF,FW",Coventry City,27,1996,0.6,1,3,1,33.3,5.00,1.67,0.33,1.00,18.7,1,0,0,0.2,0.2,0.08,+0.8,+0.8,Matches
545,Liam Palmer,sct SCO,"DF,MF",Sheffield Weds,32,1991,9.7,0,4,1,25.0,0.41,0.10,0.00,0.00,11.3,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Matches
