Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Giorgi Chakvetadze,GEO,"MF,FW",Watford,24.0,1999.0,36.5,6,0,0,32,51,3,175,10,32,0,0,0,146,10,27,27.0
Nathaniel Chalobah,ENG,MF,Sheffield Weds,29.0,1994.0,4.9,3,0,0,11,7,0,3,12,4,0,0,0,43,9,6,60.0
Calum Chambers,ENG,"DF,MF",Cardiff City,29.0,1995.0,39.0,8,1,0,53,14,3,20,52,48,0,1,1,176,87,58,60.0
Samuel Chambers,ENG,FW,Leeds United,16.0,2007.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pierce Charles,NIR,GK,Sheffield Weds,19.0,2005.0,8.0,1,0,0,0,2,0,0,0,0,0,0,0,15,3,0,100.0
Shea Charles,NIR,"MF,DF",Sheffield Weds,20.0,2003.0,40.3,10,0,0,57,80,1,162,59,57,1,0,0,246,62,43,59.0
Tawanda Chirewa,ZIM,MF,Derby County,20.0,2003.0,1.7,1,0,0,6,0,0,0,1,5,0,0,0,11,0,1,0.0
Tahith Chong,CUW,"MF,DF",Luton Town,24.0,1999.0,22.5,5,0,0,29,49,3,58,8,13,1,0,0,99,12,31,27.9
Hamza Choudhury,BAN,"MF,DF",Sheffield Utd,26.0,1997.0,12.3,2,0,0,12,10,0,5,28,23,0,0,0,54,13,15,46.4
Benjamin Chrisene,ENG,DF,Norwich City,20.0,2004.0,12.8,2,0,0,16,18,2,21,10,23,0,1,0,54,14,24,36.8
Cyrus Christie,IRL,DF,Swansea City,31.0,1992.0,3.1,1,0,0,4,2,0,2,3,1,0,1,0,17,18,7,72.0
Dennis Cirkin,ENG,DF,Sunderland,22.0,2002.0,30.4,6,0,0,45,51,1,55,43,51,1,1,0,105,40,52,43.5
Ibrahim Cissoko,NED,"FW,MF",Plymouth Argyle,21.0,2003.0,7.3,2,1,0,8,23,1,22,4,5,0,0,0,34,3,11,21.4
Ibrahim Cissoko,NED,"FW,MF",Sheffield Weds,21.0,2003.0,0.6,1,0,0,1,1,1,2,1,0,0,0,0,1,0,2,0.0
Jordan Clark,ENG,MF,Luton Town,30.0,1993.0,35.9,10,0,0,41,39,2,158,30,37,0,0,0,159,40,47,46.0
Harry Clarke,ENG,DF,Sheffield Utd,23.0,2001.0,5.2,3,0,0,9,1,0,9,4,6,0,0,0,9,20,10,66.7
Jack Clarke,ENG,FW,Sunderland,23.0,2000.0,2.0,0,0,0,2,7,2,7,0,1,0,0,0,9,1,1,50.0
Matthew Clarke,ENG,DF,Derby County,27.0,1996.0,15.2,2,0,0,16,8,2,2,19,16,0,0,0,48,78,34,69.6
Matthew Clarke,ENG,DF,Middlesbrough,27.0,1996.0,12.4,0,0,0,6,8,0,4,17,18,0,0,0,54,29,16,64.4
Jake Clarke-Salter,ENG,DF,QPR,26.0,1997.0,8.4,3,0,0,7,4,0,2,4,7,0,0,0,21,17,15,53.1
Josh Coburn,ENG,MF,Middlesbrough,21.0,2002.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
Josh Coburn,ENG,FW,Millwall,21.0,2002.0,13.5,0,0,0,29,18,11,8,2,8,2,0,0,26,67,70,48.9
Jack Colback,ENG,MF,QPR,34.0,1989.0,16.1,8,1,1,24,22,0,7,11,13,0,1,0,56,9,14,39.1
Devante Cole,ENG,"FW,MF",West Brom,29.0,1995.0,1.8,0,0,0,0,4,3,1,1,1,0,0,0,7,8,18,30.8
Bradley Collins,ENG,GK,Coventry City,27.0,1997.0,14.6,2,0,0,0,2,0,0,0,1,0,0,0,20,2,2,50.0
James Collins,IRL,"FW,MF",Derby County,33.0,1990.0,2.5,1,0,0,12,3,1,1,2,1,0,0,0,9,8,18,30.8
Jamilu Collins,NGA,DF,Cardiff City,29.0,1994.0,1.8,1,0,0,2,2,1,4,2,3,0,0,0,6,1,1,50.0
Rubin Colwill,WAL,"MF,FW",Cardiff City,22.0,2002.0,28.0,3,0,0,36,25,7,77,11,33,0,0,0,130,30,45,40.0
Aaron Connolly,IRL,"FW,MF",Sunderland,24.0,2000.0,2.7,0,0,0,2,11,1,0,0,1,0,0,0,4,3,13,18.8
Aaron Connolly,IRL,"FW,MF",Millwall,24.0,2000.0,7.3,3,0,0,7,29,0,7,1,4,1,0,0,23,7,15,31.8
Tommy Conway,SCO,"FW,MF",Middlesbrough,21.0,2002.0,26.2,1,0,0,16,27,22,15,3,10,1,0,0,33,8,28,22.2
Steve Cook,ENG,DF,QPR,33.0,1991.0,29.1,4,0,0,12,18,0,19,24,14,0,0,0,60,72,36,66.7
Jake Cooper,ENG,DF,Millwall,29.0,1995.0,35.5,4,0,0,37,17,7,1,21,24,0,0,2,96,181,65,73.6
Michael Cooper,ENG,GK,Sheffield Utd,24.0,1999.0,43.0,3,0,0,1,5,0,0,0,0,0,1,0,46,13,0,100.0
Oliver Cooper,WAL,"MF,FW",Swansea City,24.0,1999.0,11.6,0,0,0,19,41,2,17,6,12,0,0,0,34,2,7,22.2
José Cordoba,PAN,DF,Norwich City,23.0,2001.0,23.4,4,1,1,26,13,0,3,21,12,0,1,0,122,33,34,49.3
David Cornell,WAL,GK,Preston,33.0,1991.0,9.0,0,0,0,0,1,0,0,0,0,0,0,0,11,1,0,100.0
Harry Cornick,ENG,"FW,MF",Bristol City,29.0,1995.0,0.4,0,0,0,1,0,0,0,0,0,0,0,0,1,1,7,12.5
Lewie Coyle,ENG,DF,Hull City,28.0,1995.0,41.3,6,0,0,40,73,2,166,26,64,0,2,0,192,50,56,47.2
Amario Cozier-Duberry,ENG,"FW,MF",Blackburn,19.0,2005.0,8.0,0,0,0,9,10,0,16,1,8,0,0,0,54,1,6,14.3
Tristan Crama,FRA,DF,Millwall,22.0,2001.0,18.2,1,0,0,22,10,2,51,30,23,0,0,0,74,70,48,59.3
