Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 25_level_0_Matches
584,Alessandro Vogliacco,it ITA,DF,Genoa,24,1998,13.0,0,5,0,0.0,0.38,0.00,0.00,,13.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
585,Mërgim Vojvoda,xk KVX,DF,Torino,28,1995,15.3,0,9,4,44.4,0.59,0.26,0.00,0.00,21.0,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
586,Cristian Volpato,it ITA,"MF,FW",Sassuolo,19,2003,7.2,1,12,6,50.0,1.67,0.84,0.08,0.17,23.2,0,0,0,0.5,0.5,0.04,+0.5,+0.5,Matches
587,Stefan de Vrij,nl NED,DF,Inter,31,1992,17.6,1,10,3,30.0,0.57,0.17,0.10,0.33,12.3,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches
588,Walace,br BRA,MF,Udinese,28,1995,36.0,2,27,9,33.3,0.75,0.25,0.07,0.22,27.3,0,0,0,0.8,0.8,0.03,+1.2,+1.2,Matches
589,Sebastian Walukiewicz,pl POL,DF,Empoli,23,2000,22.8,0,4,2,50.0,0.18,0.09,0.00,0.00,18.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
590,Timothy Weah,us USA,"DF,FW",Juventus,23,2000,14.0,0,12,2,16.7,0.86,0.14,0.00,0.00,20.0,0,0,0,1.5,1.5,0.13,-1.5,-1.5,Matches
591,Shon Weissman,il ISR,"FW,DF",Salernitana,27,1996,5.5,1,6,1,16.7,1.09,0.18,0.17,1.00,11.2,0,0,0,1.0,1.0,0.17,0.0,0.0,Matches
592,Mateusz Wieteska,pl POL,DF,Cagliari,26,1997,10.7,0,4,0,0.0,0.37,0.00,0.00,,9.8,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
593,Kenan Yıldız,tr TUR,"FW,MF",Juventus,18,2005,10.6,2,19,7,36.8,1.80,0.66,0.11,0.29,16.6,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches
594,Mattia Zaccagni,it ITA,"FW,MF",Lazio,28,1995,21.7,6,42,13,31.0,1.93,0.60,0.14,0.46,17.6,3,0,0,4.7,4.7,0.12,+1.3,+1.3,Matches
595,Nicola Zalewski,pl POL,"DF,FW",Roma,21,2002,10.8,0,16,1,6.3,1.49,0.09,0.00,0.00,19.8,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
596,Andre-Frank Zambo Anguissa,cm CMR,MF,Napoli,27,1995,31.0,0,33,6,18.2,1.07,0.19,0.00,0.00,16.6,0,0,0,3.4,3.3,0.10,-3.4,-3.3,Matches
597,Alessandro Zanoli,it ITA,DF,Salernitana,22,2000,10.2,0,3,1,33.3,0.29,0.10,0.00,0.00,12.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
598,Alessandro Zanoli,it ITA,"DF,FW",Napoli,22,2000,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
599,Duván Zapata,co COL,FW,Torino,32,1991,32.0,12,99,38,38.4,3.09,1.19,0.12,0.32,13.3,0,0,0,10.9,10.9,0.11,+1.1,+1.1,Matches
600,Duván Zapata,co COL,FW,Atalanta,32,1991,1.2,1,5,2,40.0,4.02,1.61,0.20,0.50,12.3,0,0,0,0.4,0.4,0.08,+0.6,+0.6,Matches
601,Gabriele Zappa,it ITA,DF,Cagliari,23,1999,28.5,1,19,5,26.3,0.67,0.18,0.05,0.20,18.7,0,0,0,1.5,1.5,0.08,-0.5,-0.5,Matches
602,Davide Zappacosta,it ITA,DF,Atalanta,31,1992,20.7,2,37,10,27.0,1.78,0.48,0.05,0.20,17.1,0,0,0,2.2,2.2,0.06,-0.2,-0.2,Matches
603,Oier Zarraga,es ESP,MF,Udinese,24,1999,4.5,2,6,2,33.3,1.34,0.45,0.33,1.00,19.7,0,0,0,0.6,0.6,0.10,+1.4,+1.4,Matches
604,Jordan Zemura,zw ZIM,DF,Udinese,23,1999,11.5,1,5,3,60.0,0.43,0.26,0.20,0.33,13.0,0,0,0,0.8,0.8,0.16,+0.2,+0.2,Matches
605,Alessio Zerbin,it ITA,"DF,FW",Monza,24,1999,7.6,0,6,2,33.3,0.79,0.26,0.00,0.00,20.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
606,Alessio Zerbin,it ITA,"FW,DF",Napoli,24,1999,1.7,0,3,1,33.3,1.80,0.60,0.00,0.00,18.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
607,Kevin Zeroli,it ITA,MF,Milan,18,2005,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
608,Piotr Zieliński,pl POL,MF,Napoli,29,1994,21.4,3,29,8,27.6,1.36,0.37,0.07,0.25,21.4,3,1,1,2.6,1.8,0.06,+0.4,+0.2,Matches
609,David Zima,cz CZE,DF,Torino,22,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
610,Joshua Zirkzee,nl NED,FW,Bologna,22,2001,30.7,11,84,29,34.5,2.74,0.95,0.11,0.31,17.8,3,2,2,9.0,7.4,0.09,+2.0,+1.6,Matches
611,Nadir Zortea,it ITA,DF,Frosinone,24,1999,14.0,1,10,4,40.0,0.72,0.29,0.10,0.25,22.3,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
612,Nadir Zortea,it ITA,DF,Atalanta,24,1999,1.7,1,2,1,50.0,1.21,0.60,0.50,1.00,22.2,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
613,Szymon Żurkowski,pl POL,MF,Empoli,25,1997,9.6,4,16,6,37.5,1.66,0.62,0.25,0.67,18.1,0,0,0,1.0,1.0,0.06,+3.0,+3.0,Matches
614,Milan Đurić,ba BIH,FW,Hellas Verona,33,1990,13.4,5,22,13,59.1,1.64,0.97,0.18,0.31,12.5,0,1,3,4.5,2.2,0.10,+0.5,+1.8,Matches
615,Milan Đurić,ba BIH,FW,Monza,33,1990,14.0,4,26,6,23.1,1.86,0.43,0.15,0.67,10.7,0,0,0,3.0,3.0,0.11,+1.0,+1.0,Matches
616,Mateusz Łęgowski,pl POL,MF,Salernitana,20,2003,12.7,0,7,1,14.3,0.55,0.08,0.00,0.00,20.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
