Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Bruno Amione,ARG,DF,Hellas Verona,21,2002,10,7,579,6.4,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,2,17,2,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.05,0.05,0.05
Felipe Anderson,BRA,"FW,MF",Lazio,30,1993,38,33,2770,30.8,5,6,11,5,0,0,3,0,4.4,4.4,6.3,10.7,108,126,226,0.16,0.19,0.36,0.16,0.36,0.14,0.21,0.35,0.14,0.35
Angeliño,ESP,DF,Roma,26,1997,16,14,1141,12.7,0,1,1,0,0,0,2,0,0.2,0.2,1.6,1.7,12,40,55,0.0,0.08,0.08,0.0,0.08,0.01,0.12,0.14,0.01,0.14
Houssem Aouar,ALG,"MF,FW",Roma,25,1998,16,9,756,8.4,4,0,4,4,0,0,3,0,2.3,2.3,0.5,2.8,17,26,60,0.48,0.0,0.48,0.48,0.48,0.28,0.05,0.33,0.28,0.33
Simone Aresti,ITA,GK,Cagliari,37,1986,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marko Arnautović,AUT,FW,Inter,34,1989,27,5,801,8.9,5,3,8,5,0,0,0,0,5.0,5.0,2.6,7.6,12,20,77,0.56,0.34,0.9,0.56,0.9,0.56,0.29,0.85,0.56,0.85
Kristjan Asllani,ALB,MF,Inter,21,2002,23,6,787,8.7,1,2,3,1,0,0,1,0,0.6,0.6,1.1,1.6,5,32,8,0.11,0.23,0.34,0.11,0.34,0.07,0.12,0.19,0.06,0.18
Emil Audero,IDN,GK,Inter,26,1997,4,4,337,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tommaso Augello,ITA,DF,Cagliari,28,1994,32,28,2418,26.9,1,1,2,1,0,0,5,0,0.5,0.5,2.0,2.5,62,96,99,0.04,0.04,0.07,0.04,0.07,0.02,0.07,0.09,0.02,0.09
Carlos Augusto,BRA,DF,Inter,24,1999,37,14,1725,19.2,0,3,3,0,0,0,1,0,1.0,1.0,2.8,3.9,42,54,88,0.0,0.16,0.16,0.0,0.16,0.05,0.15,0.2,0.05,0.2
Yann Aurel Bisseck,GER,DF,Inter,22,2000,16,9,904,10.0,2,0,2,2,0,0,0,0,0.9,0.9,0.5,1.4,24,30,20,0.2,0.0,0.2,0.2,0.2,0.09,0.05,0.14,0.09,0.14
Sardar Azmoun,IRN,"FW,MF",Roma,28,1995,23,3,585,6.5,3,0,3,3,0,0,4,0,2.9,2.9,1.4,4.2,5,14,35,0.46,0.0,0.46,0.46,0.46,0.44,0.21,0.65,0.44,0.65
Paulo Azzi,BRA,"DF,MF",Cagliari,29,1994,25,9,950,10.6,0,0,0,0,0,0,1,0,1.2,1.2,0.7,1.9,47,35,42,0.0,0.0,0.0,0.0,0.0,0.12,0.06,0.18,0.12,0.18
Oussama El Azzouzi,MAR,MF,Bologna,22,2001,18,5,547,6.1,2,2,4,2,0,0,4,0,0.5,0.5,0.6,1.0,4,19,8,0.33,0.33,0.66,0.33,0.66,0.08,0.09,0.17,0.08,0.17
Milan Badelj,CRO,MF,Genoa,34,1989,33,32,2535,28.2,1,3,4,1,0,0,6,0,1.4,1.4,1.1,2.5,18,151,36,0.04,0.11,0.14,0.04,0.14,0.05,0.04,0.09,0.05,0.09
Jaime Báez,URU,"FW,MF",Frosinone,28,1995,11,6,500,5.6,1,0,1,1,0,0,1,0,0.5,0.5,0.5,1.0,12,29,39,0.18,0.0,0.18,0.18,0.18,0.08,0.1,0.18,0.08,0.18
Nicola Bagnolini,ITA,GK,Bologna,19,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nedim Bajrami,ALB,"MF,FW",Sassuolo,24,1999,28,15,1310,14.6,2,2,4,2,0,0,0,0,2.5,2.5,2.2,4.7,51,49,70,0.14,0.14,0.27,0.14,0.27,0.17,0.15,0.33,0.17,0.33
Mitchel Bakker,NED,DF,Atalanta,23,2000,14,3,382,4.2,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,12,10,20,0.24,0.0,0.24,0.24,0.24,0.05,0.03,0.08,0.05,0.08
Tommaso Baldanzi,ITA,"MF,FW",Empoli,20,2003,14,8,745,8.3,2,0,2,2,0,0,1,0,2.1,2.1,1.0,3.1,20,30,40,0.24,0.0,0.24,0.24,0.24,0.25,0.13,0.38,0.25,0.38
Tommaso Baldanzi,ITA,"FW,MF",Roma,20,2003,13,6,518,5.8,0,0,0,0,0,0,2,0,0.9,0.9,0.7,1.5,18,14,54,0.0,0.0,0.0,0.0,0.0,0.15,0.12,0.27,0.15,0.27
Lameck Banda,ZAM,FW,Lecce,22,2001,21,17,1350,15.0,2,4,6,2,0,0,5,1,3.6,3.6,1.9,5.5,71,22,136,0.13,0.27,0.4,0.13,0.4,0.24,0.13,0.37,0.24,0.37
