Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Joe Willock,ENG,"MF,FW",Newcastle Utd,24.0,1999.0,12.1,533,12,74,231,239,55,533,35,12,34.3,17,48.6,325,2217,1034,38,28,16,37,23,372,86
Callum Wilson,ENG,FW,Newcastle Utd,32.0,1992.0,4.1,95,1,5,55,38,19,95,7,1,14.3,4,57.1,47,243,105,5,4,5,16,12,60,17
Harry Wilson,WAL,"FW,MF",Fulham,27.0,1997.0,12.9,598,11,81,203,324,63,598,24,9,37.5,10,41.7,342,1879,864,22,18,11,19,6,390,96
Harry Winks,ENG,MF,Leicester City,28.0,1996.0,17.1,1158,49,275,746,151,1,1158,12,3,25.0,8,66.7,696,3268,1522,19,13,0,13,8,827,11
Ben Winterburn,ENG,"MF,FW",Bournemouth,19.0,2004.0,0.3,9,0,2,5,2,1,9,0,0,,0,,6,50,40,2,0,1,0,0,6,2
Yoane Wissa,COD,FW,Brentford,27.0,1996.0,32.4,925,34,136,376,432,163,925,49,15,30.6,24,49.0,550,3469,1662,60,26,34,77,35,658,154
Chris Wood,NZL,FW,Nott'ham Forest,32.0,1991.0,32.9,770,40,89,361,322,105,767,13,4,30.8,8,61.5,376,1279,506,14,11,5,75,28,563,94
Nathan Wood-Gordon,ENG,DF,Southampton,22.0,2002.0,8.6,564,75,282,255,28,3,564,6,4,66.7,1,16.7,313,1352,535,2,6,0,5,1,419,0
Luke Woolfenden,ENG,DF,Ipswich Town,25.0,1998.0,13.2,694,147,407,278,9,3,694,0,0,,0,,368,2118,1249,7,3,0,4,0,442,0
Yehor Yarmoliuk,UKR,MF,Brentford,20.0,2004.0,16.1,960,61,277,501,203,15,960,27,13,48.1,11,40.7,520,2790,908,15,19,3,26,21,599,47
Ryan Yates,ENG,MF,Nott'ham Forest,26.0,1997.0,21.3,1041,80,276,510,266,41,1041,18,9,50.0,5,27.8,424,2057,934,18,18,1,24,18,545,16
Leny Yoro,FRA,DF,Manchester Utd,18.0,2005.0,12.9,894,87,413,414,70,13,894,4,2,50.0,2,50.0,614,3173,1765,19,13,1,3,4,656,4
Ashley Young,ENG,DF,Everton,39.0,1985.0,20.8,1194,61,369,528,305,9,1194,20,7,35.0,9,45.0,487,2447,1378,24,26,1,11,1,618,32
Illia Zabarnyi,UKR,DF,Bournemouth,21.0,2002.0,34.5,2062,234,929,1078,77,16,2062,9,6,66.7,2,22.2,1282,8351,4948,27,21,0,14,3,1306,4
Oleksandr Zinchenko,UKR,"DF,MF",Arsenal,27.0,1996.0,5.9,499,16,86,233,181,20,499,5,3,60.0,1,20.0,281,1348,573,10,8,3,3,4,348,14
Joshua Zirkzee,NED,"FW,MF",Manchester Utd,23.0,2001.0,15.6,587,16,71,303,219,56,587,35,11,31.4,24,68.6,327,1483,523,14,21,4,41,30,418,69
Martin Ødegaard,NOR,MF,Arsenal,25.0,1998.0,25.8,1694,9,126,708,875,115,1693,59,25,42.4,32,54.2,1174,7444,3772,92,85,26,38,40,1336,154
