Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Tyrell Malacia,NED,DF,Manchester Utd,24.0,1999.0,1.1,49,55,89.1,642,260,31,33,93.9,13,14,92.9,2,2,100.0,0,0.0,0.0,0.0,1,7,1,0,3
Donyell Malen,NED,FW,Aston Villa,25.0,1999.0,3.4,53,77,68.8,712,144,33,40,82.5,14,19,73.7,3,7,42.9,0,0.2,0.2,-0.2,3,2,2,0,6
Mateus Mane,POR,MF,Wolves,16.0,2007.0,0.0,4,5,80.0,60,0,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Orel Mangala,BEL,MF,Everton,26.0,1998.0,14.0,437,490,89.2,6998,1567,219,242,90.5,187,197,94.9,23,30,76.7,0,0.6,0.6,-0.6,8,50,8,1,34
Ryan Manning,IRL,"DF,MF",Southampton,28.0,1996.0,16.2,619,803,77.1,10360,3336,317,344,92.2,233,288,80.9,55,125,44.0,1,3.2,2.8,-2.2,34,33,12,8,35
Solly March,ENG,"FW,MF",Brighton,30.0,1994.0,1.9,60,95,63.2,990,222,35,40,87.5,16,28,57.1,7,18,38.9,0,0.3,0.3,-0.3,3,2,4,4,2
Omar Marmoush,EGY,"FW,MF",Manchester City,25.0,1999.0,13.1,252,318,79.2,3443,849,164,193,85.0,69,88,78.4,9,16,56.3,0,2.8,2.1,-2.8,15,10,29,4,37
Gabriel Martinelli,BRA,"FW,MF",Arsenal,23.0,2001.0,25.4,499,699,71.4,7113,1534,324,385,84.2,135,193,69.9,26,52,50.0,4,5.0,4.7,-1.0,40,11,37,15,52
Emiliano Martínez,ARG,GK,Aston Villa,31.0,1992.0,35.5,1091,1387,78.7,28659,17513,194,198,98.0,629,640,98.3,268,542,49.4,0,0.5,0.1,-0.5,2,27,0,0,4
Lisandro Martínez,ARG,DF,Manchester Utd,26.0,1998.0,19.5,1200,1342,89.4,20292,7055,522,554,94.2,601,646,93.0,64,116,55.2,1,1.1,1.3,-0.1,9,91,18,2,117
Pape Matar Sarr,SEN,MF,Tottenham,21.0,2002.0,21.3,889,1029,86.4,13609,3128,462,509,90.8,347,386,89.9,45,62,72.6,2,1.6,0.8,0.4,15,85,12,2,88
Jean-Philippe Mateta,FRA,FW,Crystal Palace,27.0,1997.0,29.4,291,447,65.1,3849,1016,176,232,75.9,83,130,63.8,7,23,30.4,2,3.2,2.3,-1.2,29,34,16,2,52
Stephy Mavididi,ENG,FW,Leicester City,26.0,1998.0,17.9,460,613,75.0,6191,1429,286,314,91.1,124,184,67.4,18,43,41.9,1,2.6,3.3,-1.6,22,32,26,7,57
Konstantinos Mavropanos,GRE,DF,West Ham,26.0,1997.0,22.7,1092,1265,86.3,21548,7277,341,373,91.4,643,693,92.8,102,176,58.0,0,0.5,0.4,-0.5,5,64,4,1,61
Noussair Mazraoui,MAR,DF,Manchester Utd,26.0,1997.0,31.5,1526,1781,85.7,23059,8056,834,913,91.3,574,644,89.1,73,130,56.2,1,1.5,1.9,-0.5,20,125,20,5,115
Bryan Mbeumo,CMR,FW,Brentford,24.0,1999.0,37.9,872,1319,66.1,13902,4325,476,602,79.1,313,441,71.0,68,183,37.2,7,8.3,9.3,-1.3,70,63,59,19,141
James Mcatee,ENG,"MF,FW",Manchester City,21.0,2002.0,3.9,100,125,80.0,1491,254,57,65,87.7,40,45,88.9,3,9,33.3,0,0.5,0.8,-0.5,3,7,2,0,7
Kasey McAteer,IRL,FW,Leicester City,22.0,2001.0,9.5,183,252,72.6,2556,613,118,140,84.3,54,72,75.0,6,12,50.0,1,0.7,0.6,0.3,9,13,6,2,14
Alex McCarthy,ENG,GK,Southampton,34.0,1989.0,5.0,117,156,75.0,2823,1985,41,43,95.3,45,49,91.8,30,61,49.2,0,0.0,0.0,0.0,0,5,0,0,0
John McGinn,SCO,"MF,FW",Aston Villa,29.0,1994.0,24.7,699,854,81.9,11807,3243,336,367,91.6,285,332,85.8,64,111,57.7,4,3.5,2.7,0.5,31,70,29,8,103
