Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Dominic Calvert-Lewin,ENG,FW,Everton,27.0,1997.0,17.9,289,287,2,0,0,1,6,1,0,0,0,0,181,0,12
Diego Carlos,BRA,DF,Aston Villa,31.0,1993.0,9.2,603,575,25,17,0,6,0,0,0,0,0,0,534,3,0
Fabio Carvalho,POR,"FW,MF",Brentford,21.0,2002.0,5.1,178,163,14,4,2,0,10,1,7,3,0,0,126,1,7
Casemiro,BRA,MF,Manchester Utd,32.0,1992.0,16.6,990,963,19,17,9,9,20,2,0,0,0,0,780,8,22
Kaelan Casey,ENG,DF,West Ham,19.0,2004.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matty Cash,POL,DF,Aston Villa,26.0,1997.0,23.0,945,781,162,23,0,1,40,139,0,0,0,0,732,2,21
Eiran Cashin,IRL,DF,Brighton,22.0,2001.0,0.2,28,28,0,0,0,0,1,0,0,0,0,0,23,0,0
Timothy Castagne,BEL,DF,Fulham,28.0,1995.0,18.3,953,813,140,10,0,1,37,130,0,0,0,0,780,0,26
Trevoh Chalobah,ENG,DF,Crystal Palace,25.0,1999.0,11.8,442,426,16,11,1,2,7,5,0,0,0,0,349,0,7
Trevoh Chalobah,ENG,DF,Chelsea,25.0,1999.0,10.1,677,654,23,11,1,2,3,10,0,0,0,0,609,0,3
Conor Chaplin,ENG,"MF,FW",Ipswich Town,27.0,1997.0,9.5,319,282,37,3,10,1,9,4,0,0,0,0,235,0,5
Youssef Chermiti,POR,"FW,MF",Everton,20.0,2004.0,0.5,11,11,0,0,0,0,1,0,0,0,0,0,6,0,0
Federico Chiesa,ITA,FW,Liverpool,26.0,1997.0,1.2,31,30,1,0,0,0,2,1,0,0,0,0,27,0,1
Ben Chilwell,ENG,DF,Crystal Palace,27.0,1996.0,2.9,125,95,30,6,1,0,7,24,0,0,0,0,92,0,4
Chiquinho,POR,MF,Wolves,24.0,2000.0,0.1,3,3,0,0,0,0,1,0,0,0,0,0,3,0,0
Hamza Choudhury,BAN,"MF,DF",Leicester City,26.0,1997.0,1.5,84,81,3,0,0,0,5,3,0,0,0,0,72,0,1
Ryan Christie,SCO,MF,Bournemouth,29.0,1995.0,23.5,1056,990,60,21,8,9,48,3,26,17,3,2,837,6,19
Harry Clarke,ENG,DF,Ipswich Town,23.0,2001.0,4.2,236,211,25,2,1,0,5,23,0,0,0,0,190,0,4
Jack Clarke,ENG,"FW,MF",Ipswich Town,23.0,2000.0,13.1,393,372,19,2,1,3,13,8,7,5,0,0,302,2,18
Nathaniel Clyne,ENG,"DF,MF",Crystal Palace,33.0,1991.0,5.4,225,207,16,1,1,1,7,13,0,0,0,0,171,2,8
Conor Coady,ENG,DF,Leicester City,31.0,1993.0,19.0,1072,1010,58,29,2,3,0,1,0,0,0,0,977,4,4
Séamus Coleman,IRL,DF,Everton,35.0,1988.0,2.4,98,78,19,0,0,0,4,19,0,0,0,0,74,1,2
Nathan Collins,IRL,DF,Brentford,23.0,2001.0,38.0,1985,1897,83,69,3,6,8,11,0,0,0,0,1705,5,8
Toby Collyer,ENG,MF,Manchester Utd,20.0,2004.0,2.0,92,88,4,1,0,0,0,2,0,0,0,0,76,0,2
Levi Colwill,ENG,DF,Chelsea,21.0,2003.0,35.0,2619,2418,197,91,3,7,13,7,0,0,0,0,2338,4,21
Lewis Cook,ENG,"MF,DF",Bournemouth,27.0,1997.0,33.1,1585,1358,225,71,3,2,132,73,77,65,3,0,1224,2,26
Maxwel Cornet,CIV,FW,Southampton,27.0,1996.0,0.8,22,20,2,0,0,0,3,0,2,2,0,0,17,0,0
Vladimír Coufal,CZE,DF,West Ham,31.0,1992.0,11.9,598,490,106,11,0,0,28,95,0,0,0,0,470,2,11
Woyo Coulibaly,MLI,DF,Leicester City,25.0,1999.0,1.2,57,44,13,0,0,0,0,13,0,0,0,0,48,0,0
Aaron Cresswell,ENG,DF,West Ham,34.0,1989.0,9.2,610,511,98,33,1,5,36,52,13,11,2,0,504,1,10
Marc Cucurella,ESP,DF,Chelsea,26.0,1998.0,33.2,1916,1634,275,28,2,1,31,245,2,0,0,0,1680,7,23
Jorge Cuenca,ESP,DF,Fulham,24.0,1999.0,3.9,173,160,13,4,0,0,1,2,0,0,0,0,145,0,0
Matheus Cunha,BRA,"MF,FW",Wolves,25.0,1999.0,28.9,1133,938,185,52,14,15,142,32,73,40,23,3,811,10,34
Patson Daka,ZAM,"FW,MF",Leicester City,25.0,1998.0,8.2,147,138,9,0,2,0,3,6,0,0,0,0,106,0,11
Diogo Dalot,POR,DF,Manchester Utd,25.0,1999.0,31.3,1673,1426,242,13,4,8,66,229,0,0,0,0,1347,5,36
Mikkel Damsgaard,DEN,"MF,FW",Brentford,24.0,2000.0,32.3,1529,1368,153,33,27,5,144,9,60,53,0,0,1107,8,36
Danilo,BRA,"MF,FW",Nott'ham Forest,23.0,2001.0,3.1,121,119,1,0,0,0,3,0,1,1,0,0,94,1,5
Jayden Danns,ENG,MF,Liverpool,18.0,2006.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Kevin Danso,AUT,DF,Tottenham,25.0,1998.0,9.4,555,534,21,17,0,2,1,0,0,0,0,0,480,0,8
Ben Davies,WAL,DF,Tottenham,31.0,1993.0,14.8,1023,925,95,26,1,5,4,5,0,0,0,0,896,3,8
Leif Davis,ENG,DF,Ipswich Town,24.0,2000.0,30.5,1284,970,307,61,3,5,161,166,80,56,13,0,919,7,23
Craig Dawson,ENG,DF,Wolves,34.0,1990.0,10.8,559,528,30,20,1,11,0,0,0,0,0,0,484,1,0
Kevin De Bruyne,BEL,"MF,FW",Manchester City,33.0,1991.0,18.9,1196,1031,160,32,15,10,145,18,94,33,20,2,908,5,28
Bobby De Cordova-Reid,JAM,FW,Leicester City,31.0,1993.0,8.3,206,198,8,1,0,0,15,6,0,0,0,0,145,0,15
Liam Delap,ENG,FW,Ipswich Town,21.0,2003.0,28.8,357,350,5,0,8,1,5,2,0,0,0,0,219,2,16
Sepp van den Berg,NED,DF,Brentford,22.0,2001.0,28.7,1278,1177,100,18,0,2,7,61,0,0,0,0,1092,1,7
Justin Devenny,NIR,MF,Crystal Palace,20.0,2003.0,5.6,205,184,19,7,1,1,17,0,9,4,4,0,148,2,2
Kiernan Dewsbury-Hall,ENG,"MF,FW",Chelsea,25.0,1998.0,2.9,152,147,4,1,0,1,2,0,2,0,0,1,127,1,2
Amad Diallo,CIV,"MF,FW",Manchester Utd,22.0,2002.0,21.1,949,859,86,5,3,1,42,49,32,23,1,1,795,4,20
Rúben Dias,POR,DF,Manchester City,27.0,1997.0,25.2,2317,2234,80,43,0,10,3,2,0,0,0,0,2167,3,14
Luis Díaz,COL,FW,Liverpool,27.0,1997.0,26.7,874,855,17,2,2,9,32,14,1,0,0,0,736,2,24
Tyler Dibling,ENG,"FW,MF",Southampton,18.0,2006.0,20.8,620,585,32,4,8,3,28,3,11,8,0,0,504,3,17
Lucas Digne,FRA,DF,Aston Villa,31.0,1993.0,26.1,1277,1017,258,44,2,4,140,155,57,37,10,0,956,2,41
Issa Diop,FRA,DF,Fulham,27.0,1997.0,14.9,758,733,25,21,0,1,1,2,0,0,0,0,663,0,2
Axel Disasi,FRA,DF,Aston Villa,26.0,1998.0,5.4,280,258,20,9,1,0,1,11,0,0,0,0,243,2,5
Axel Disasi,FRA,DF,Chelsea,26.0,1998.0,4.0,293,266,27,10,0,1,0,17,0,0,0,0,266,0,2
Roman Dixon,ENG,DF,Everton,19.0,2004.0,1.0,19,16,3,0,0,0,0,3,0,0,0,0,11,0,0
Nasser Djiga,BFA,DF,Wolves,21.0,2002.0,0.7,48,45,3,1,0,0,0,2,0,0,0,0,40,0,2
Matt Doherty,IRL,DF,Wolves,32.0,1992.0,23.4,1302,1177,121,55,2,22,22,66,0,0,0,0,1078,4,14
Jeremy Doku,BEL,"FW,MF",Manchester City,22.0,2002.0,16.8,762,757,3,0,8,0,59,1,2,0,0,0,603,2,30
Nicolás Domínguez,ARG,"MF,FW",Nott'ham Forest,26.0,1998.0,21.8,947,890,50,22,7,0,7,6,0,0,0,0,821,7,11
Patrick Dorgu,DEN,DF,Manchester Utd,19.0,2004.0,9.4,494,419,74,8,0,1,39,65,1,0,0,0,400,1,8
Alfie Dorrington,ENG,DF,Tottenham,19.0,2005.0,0.2,16,16,0,0,0,0,0,0,0,0,0,0,15,0,0
Abdoulaye Doucouré,MLI,MF,Everton,31.0,1993.0,28.5,903,884,14,5,0,2,23,0,0,0,0,0,725,5,27
Cheick Doucouré,MLI,MF,Crystal Palace,24.0,2000.0,5.0,204,201,3,3,0,0,1,0,0,0,0,0,174,0,4
Flynn Downes,ENG,MF,Southampton,25.0,1999.0,23.9,1109,1079,29,29,7,1,4,0,0,0,0,0,1003,1,13
Tommy Doyle,ENG,MF,Wolves,22.0,2001.0,5.4,392,353,35,19,0,6,15,3,12,6,4,0,321,4,8
Radu Drăgușin,ROU,DF,Tottenham,22.0,2002.0,13.9,840,793,47,40,1,3,1,3,0,0,0,0,716,0,5
Martin Dúbravka,SVK,GK,Newcastle Utd,35.0,1989.0,10.0,333,246,86,27,0,1,0,0,0,0,0,0,265,1,0
Lewis Dunk,ENG,DF,Brighton,32.0,1991.0,23.1,1953,1818,131,67,2,10,5,10,0,0,0,0,1778,4,7
Jáder Durán,COL,FW,Aston Villa,20.0,2003.0,7.1,163,155,7,0,2,0,3,0,0,0,0,0,115,1,4
Claudio Echeverri,ARG,FW,Manchester City,18.0,2006.0,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Ederson,BRA,GK,Manchester City,30.0,1993.0,25.8,923,817,106,29,1,2,0,0,0,0,0,0,811,0,1
George Edmundson,ENG,DF,Ipswich Town,26.0,1997.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1
Odsonne Édouard,FRA,"MF,FW",Crystal Palace,26.0,1998.0,1.3,28,28,0,0,0,0,1,0,0,0,0,0,17,0,2
