Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Unnamed: 8_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 23_level_0_Matches
114,Joris Chotard,fr FRA,MF,Montpellier,21,2001,28.7,1179,1113,62,55,6,19,33,3,3,0,3,0,961,4,27,Matches
115,Djaoui Cissé,fr FRA,MF,Rennes,19,2004,0.0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
116,Ibrahim Cissoko,nl NED,"FW,MF",Toulouse,20,2003,2.7,116,114,2,0,0,0,20,2,0,0,0,0,89,0,4,Matches
117,Alexis Claude-Maurice,fr FRA,MF,Nice,25,1998,5.6,253,235,18,6,0,0,26,2,10,4,6,0,202,0,9,Matches
118,Jonathan Clauss,fr FRA,DF,Marseille,30,1992,23.0,1526,1227,290,36,1,4,159,201,53,0,48,0,1153,9,39,Matches
119,Marcus Coco,fr FRA,"DF,FW",Nantes,27,1996,16.5,641,561,78,3,3,1,46,75,0,0,0,0,473,2,15,Matches
120,Maxime Colin,fr FRA,DF,Metz,31,1991,20.4,925,684,235,19,0,2,34,216,0,0,0,0,660,6,30,Matches
121,Eray Cömert,ch SUI,DF,Nantes,25,1998,22.2,1064,1007,57,37,1,19,3,3,0,0,0,0,941,0,10,Matches
122,Alois Confais,fr FRA,"MF,FW",Le Havre,26,1996,0.1,9,7,2,2,0,0,1,0,0,0,0,0,7,0,0,Matches
123,Joaquín Correa,ar ARG,"FW,MF",Marseille,28,1994,4.8,167,163,3,1,1,0,1,2,0,0,0,0,131,1,10,Matches
124,Oscar Cortés,co COL,"FW,MF",Lens,19,2003,0.5,26,26,0,0,0,0,2,0,0,0,0,0,18,0,0,Matches
125,David Costa,pt POR,MF,Lens,22,2001,16.6,726,664,56,15,3,0,77,3,38,14,22,0,570,6,19,Matches
126,Logan Costa,cv CPV,DF,Toulouse,22,2001,29.4,1784,1676,106,52,0,14,12,19,0,0,0,0,1491,2,14,Matches
127,Grégoire Coudert,fr FRA,GK,Brest,24,1999,2.0,80,60,20,10,0,0,0,0,0,0,0,0,55,0,0,Matches
128,Mamadou Coulibaly,fr FRA,MF,Monaco,19,2004,1.3,70,69,1,0,0,0,1,1,0,0,0,0,56,0,1,Matches
129,Tanguy Coulibaly,fr FRA,"FW,MF",Montpellier,22,2001,6.9,172,165,6,0,0,0,8,5,0,0,0,0,137,1,3,Matches
