Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Bradley Barcola,FRA,"FW,MF",Paris S-G,20,2002,25,18,1370,15.2,4,7,11,4,0,0,3,1,4.5,4.5,5.2,9.8,93,56,217,0.26,0.46,0.72,0.26,0.72,0.3,0.34,0.64,0.3,0.64
Melvin Bard,FRA,DF,Nice,22,2000,32,31,2654,29.5,1,2,3,1,0,0,7,1,0.5,0.5,2.8,3.4,60,111,99,0.03,0.07,0.1,0.03,0.1,0.02,0.1,0.11,0.02,0.11
Steven Baseya,FRA,DF,Strasbourg,18,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Bechikh,FRA,"FW,MF",Strasbourg,18,2005,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yanis Begraoui,MAR,"FW,MF",Toulouse,22,2001,14,3,300,3.3,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,9,8,30,0.0,0.0,0.0,0.0,0.0,0.12,0.03,0.15,0.12,0.15
Jérémie Bela,ANG,"MF,FW",Clermont Foot,30,1993,12,1,203,2.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,14,10,33,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.15,0.1,0.15
Reda Belahyane,MAR,MF,Nice,19,2004,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaa Bellaarouch,MAR,GK,Strasbourg,21,2002,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean-Ricner Bellegarde,HAI,"MF,FW",Strasbourg,25,1998,3,3,269,3.0,2,2,4,2,0,0,2,0,0.6,0.6,1.5,2.1,9,11,10,0.67,0.67,1.34,0.67,1.34,0.19,0.51,0.69,0.19,0.69
Jeanuël Belocian,FRA,DF,Rennes,18,2005,23,16,1448,16.1,0,1,1,0,0,0,0,0,0.5,0.5,0.4,0.9,16,60,37,0.0,0.06,0.06,0.0,0.06,0.03,0.02,0.06,0.03,0.06
