Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Jordan Cousins,ENG,MF,Wigan Athletic,28.0,1994.0,7.1,12,7,7,5,0,7,8,87.5,1,4,1,3,6,18,9,0
Conor Coventry,IRL,MF,Rotherham Utd,22.0,2000.0,14.5,30,22,12,13,5,13,22,59.1,9,18,7,11,18,48,26,0
Vaughn Covil,USA,"MF,FW",Hull City,19.0,2003.0,1.1,2,1,1,0,1,0,0,,0,1,0,1,1,3,4,0
Lewie Coyle,ENG,DF,Hull City,26.0,1995.0,26.9,51,38,32,15,4,33,56,58.9,23,39,13,26,20,71,83,2
Michael Craig,SCO,"MF,FW",Reading,19.0,2003.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Charlie Cresswell,ENG,DF,Millwall,19.0,2002.0,25.1,42,29,31,9,2,25,38,65.8,13,38,22,16,36,78,89,2
Matt Crooks,ENG,"MF,FW",Middlesbrough,28.0,1994.0,20.1,42,24,9,20,13,20,32,62.5,12,28,2,26,13,55,13,1
Josh Cullen,IRL,MF,Burnley,26.0,1996.0,42.7,63,37,20,34,9,27,71,38.0,44,41,13,28,55,118,44,1
Liam Cullen,WAL,"FW,MF",Swansea City,23.0,1999.0,13.5,11,9,5,4,2,8,10,80.0,2,8,0,8,5,16,12,0
Luke Cundle,ENG,"MF,FW",Swansea City,20.0,2002.0,19.8,20,10,4,10,6,9,19,47.4,10,14,4,10,8,28,7,0
Greg Cunningham,IRL,DF,Preston,31.0,1991.0,19.8,35,17,23,12,0,22,40,55.0,18,16,6,10,25,60,60,0
Fankaty Dabo,ENG,DF,Coventry City,26.0,1995.0,18.5,39,24,19,14,6,25,38,65.8,13,22,4,18,27,66,40,0
