Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Josh Onomah,ENG,MF,Preston,25.0,1997.0,13,4,441,4.9,0,1,1,0,0,0,1,0,0.4,0.4,0.3,0.7,7,27,18,0.0,0.2,0.2,0.0,0.2,0.08,0.06,0.15,0.08,0.15
Fred Onyedinma,ENG,"DF,MF",Luton Town,25.0,1996.0,17,6,644,7.2,0,2,2,0,0,0,1,0,0.1,0.1,0.7,0.8,27,12,35,0.0,0.28,0.28,0.0,0.28,0.02,0.09,0.11,0.02,0.11
Ben Osborn,ENG,"MF,DF",Sheffield Utd,27.0,1994.0,20,10,1075,11.9,1,0,1,1,0,0,0,0,1.6,1.6,1.8,3.4,22,46,73,0.08,0.0,0.08,0.08,0.08,0.13,0.15,0.28,0.13,0.28
Gabriel Osho,NGA,DF,Luton Town,23.0,1998.0,27,22,1973,21.9,2,0,2,2,0,0,5,2,2.3,2.3,1.8,4.0,16,75,10,0.09,0.0,0.09,0.09,0.09,0.1,0.08,0.18,0.1,0.18
William Osula,DEN,FW,Sheffield Utd,18.0,2003.0,2,0,52,0.6,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,1,5,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.55,0.55,0.55
Kenneth Paal,SUR,DF,QPR,25.0,1997.0,40,40,3518,39.1,1,3,4,1,0,0,2,0,0.5,0.5,3.6,4.1,33,132,132,0.03,0.08,0.1,0.03,0.1,0.01,0.09,0.11,0.01,0.11
Alex Palmer,ENG,GK,West Brom,25.0,1996.0,23,23,2070,23.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kasey Palmer,JAM,"MF,FW",Coventry City,25.0,1996.0,29,19,1719,19.1,3,2,5,3,0,0,5,0,3.7,3.7,4.1,7.9,42,84,104,0.16,0.1,0.26,0.16,0.26,0.2,0.22,0.41,0.2,0.41
Jonathan Panzo,ENG,DF,Coventry City,21.0,2000.0,29,24,2239,24.9,1,1,2,1,0,0,7,0,1.9,1.9,0.1,2.0,25,99,7,0.04,0.04,0.08,0.04,0.08,0.08,0.0,0.08,0.08,0.08
Troy Parrott,IRL,FW,Preston,20.0,2002.0,32,21,1956,21.7,3,0,3,2,1,1,2,0,5.6,4.8,1.2,6.0,50,32,158,0.14,0.0,0.14,0.09,0.09,0.26,0.06,0.31,0.22,0.28
Jamie Paterson,ENG,"FW,MF",Swansea City,30.0,1991.0,23,9,946,10.5,0,2,2,0,0,0,2,0,1.4,1.4,2.0,3.3,32,40,123,0.0,0.19,0.19,0.0,0.19,0.13,0.19,0.32,0.13,0.32
Charlie Patino,ENG,MF,Blackpool,18.0,2003.0,34,28,2430,27.0,2,4,6,2,0,0,10,1,0.9,0.9,2.1,3.0,30,123,42,0.07,0.15,0.22,0.07,0.22,0.03,0.08,0.11,0.03,0.11
Anthony Patterson,ENG,GK,Sunderland,22.0,2000.0,46,46,4140,46.0,0,1,1,0,0,0,1,0,0.1,0.1,1.2,1.2,1,1,0,0.0,0.02,0.02,0.0,0.02,0.0,0.03,0.03,0.0,0.03
Bailey Peacock-Farrell,NIR,GK,Burnley,25.0,1996.0,8,5,526,5.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Pearce,ENG,"DF,MF",Wigan Athletic,24.0,1998.0,13,2,394,4.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,9,15,17,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.03,0.05
Aynsley Pears,ENG,GK,Blackburn,24.0,1998.0,18,18,1620,18.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Pearson,ENG,MF,Stoke City,27.0,1995.0,14,14,1167,13.0,0,1,1,0,0,0,8,1,0.2,0.2,0.6,0.9,15,49,8,0.0,0.08,0.08,0.0,0.08,0.02,0.05,0.07,0.02,0.07
Matty Pearson,ENG,DF,Huddersfield,28.0,1993.0,18,17,1402,15.6,5,1,6,5,0,0,3,0,2.7,2.7,0.2,2.9,3,35,9,0.32,0.06,0.39,0.32,0.39,0.17,0.01,0.18,0.17,0.18
Dimitris Pelkas,GRE,"MF,FW",Hull City,28.0,1993.0,26,18,1287,14.3,2,1,3,2,0,0,6,0,2.8,2.8,1.2,4.0,35,44,72,0.14,0.07,0.21,0.14,0.21,0.2,0.08,0.28,0.2,0.28
Lee Peltier,ENG,DF,Rotherham Utd,35.0,1986.0,34,30,2465,27.4,1,0,1,1,0,0,7,0,0.5,0.5,0.3,0.8,8,93,13,0.04,0.0,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03
Ashley Phillips,WAL,DF,Blackburn,17.0,2005.0,8,5,447,5.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,3,2,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Matt Phillips,SCO,"FW,MF",West Brom,31.0,1991.0,25,14,1196,13.3,2,2,4,2,0,0,2,0,1.3,1.3,1.6,2.9,46,32,102,0.15,0.15,0.3,0.15,0.3,0.1,0.12,0.22,0.1,0.22
Jaden Philogene Bidace,ENG,"FW,MF",Cardiff City,20.0,2002.0,37,25,2240,24.9,4,1,5,4,0,0,1,0,5.0,5.0,1.8,6.8,74,45,139,0.16,0.04,0.2,0.16,0.2,0.2,0.07,0.27,0.2,0.27
Harry Pickering,ENG,DF,Blackburn,23.0,1998.0,40,39,3460,38.4,1,2,3,1,0,0,3,0,0.8,0.8,1.5,2.2,43,155,76,0.03,0.05,0.08,0.03,0.08,0.02,0.04,0.06,0.02,0.06
Erik Pieters,NED,DF,West Brom,33.0,1988.0,36,34,2960,32.9,0,0,0,0,0,0,6,0,0.2,0.2,0.2,0.4,37,114,7,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Joël Piroe,NED,"FW,MF",Swansea City,22.0,1999.0,43,43,3792,42.1,19,2,21,17,2,3,7,1,18.5,16.1,4.3,20.4,63,101,237,0.45,0.05,0.5,0.4,0.45,0.44,0.1,0.54,0.38,0.48
Matthew Pollock,ENG,"DF,FW",Watford,20.0,2001.0,3,1,122,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16
Ryan Porteous,SCO,DF,Watford,23.0,1999.0,17,17,1499,16.7,2,1,3,2,0,0,5,0,0.4,0.4,0.2,0.7,10,27,3,0.12,0.06,0.18,0.12,0.18,0.03,0.01,0.04,0.03,0.04
Brad Potts,ENG,"DF,FW",Preston,28.0,1994.0,39,36,3140,34.9,4,2,6,4,0,0,7,0,3.2,3.2,3.1,6.3,65,104,154,0.11,0.06,0.17,0.11,0.17,0.09,0.09,0.18,0.09,0.18
Dan Potts,ENG,DF,Luton Town,28.0,1994.0,25,24,2008,22.3,1,0,1,1,0,0,3,0,2.0,2.0,0.3,2.3,6,69,9,0.04,0.0,0.04,0.04,0.04,0.09,0.02,0.1,0.09,0.1
Ian Poveda,ENG,"FW,MF",Blackpool,22.0,2000.0,24,10,1039,11.5,2,1,3,2,0,0,2,0,2.4,2.4,0.6,2.9,51,31,76,0.17,0.09,0.26,0.17,0.26,0.2,0.05,0.25,0.2,0.25
Nick Powell,ENG,"FW,MF",Stoke City,28.0,1994.0,25,9,1052,11.7,4,0,4,4,0,0,3,0,4.1,4.1,0.6,4.8,10,48,70,0.34,0.0,0.34,0.34,0.34,0.35,0.06,0.41,0.35,0.41
