Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Jobe Bellingham,ENG,"MF,FW",Birmingham City,16.0,2005.0,6.8,192,179,13,1,2,0,3,2,0,0,0,0,151,0,3
Steven Benda,GER,GK,Swansea City,23.0,1998.0,20.7,650,481,164,48,0,3,0,0,0,0,0,0,479,5,0
Joe Bennett,ENG,DF,Wigan Athletic,32.0,1990.0,8.3,494,409,85,8,0,5,15,77,0,0,0,0,395,0,10
Mason Bennett,ENG,FW,Millwall,26.0,1996.0,6.3,166,165,0,0,0,1,21,0,0,0,0,0,95,1,13
Jewison Bennette,CRC,"FW,MF",Sunderland,18.0,2004.0,2.8,93,92,1,1,0,0,14,0,0,0,0,0,72,0,5
Daniel Bentley,ENG,GK,Bristol City,29.0,1993.0,13.0,432,271,160,73,0,3,0,0,0,0,0,0,233,1,0
Jóhann Berg Guðmundsson,ISL,"MF,FW",Burnley,31.0,1990.0,21.8,855,741,107,19,3,10,117,7,72,49,9,2,659,7,13
Sander Berge,NOR,MF,Sheffield Utd,24.0,1998.0,34.5,1402,1371,26,10,5,18,61,5,1,0,1,0,1089,5,47
Luke Berry,ENG,MF,Luton Town,30.0,1992.0,7.5,176,167,7,1,0,1,4,1,1,1,0,0,111,2,7
Jordan Beyer,GER,DF,Burnley,22.0,2000.0,28.1,2269,2216,50,31,2,15,1,10,0,0,0,0,2075,3,4
Bartosz Białkowski,POL,GK,Millwall,35.0,1987.0,10.0,269,166,103,31,0,0,0,0,0,0,0,0,147,0,0
Jake Bidwell,ENG,DF,Coventry City,29.0,1993.0,38.7,1691,1190,500,31,0,1,141,436,33,21,10,0,1198,1,45
Krystian Bielik,POL,MF,Birmingham City,24.0,1998.0,32.3,1236,1212,22,21,4,19,7,1,0,0,0,0,982,2,17
Nicholas Bilokapic,AUS,GK,Huddersfield,19.0,2002.0,5.3,175,94,81,25,0,0,0,0,0,0,0,0,78,0,0
Tyler Blackett,ENG,DF,Rotherham Utd,28.0,1994.0,3.5,108,94,14,3,0,2,2,11,0,0,0,0,66,0,1
Adrian Blake,ENG,MF,Watford,17.0,2005.0,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Jayden Bogle,ENG,DF,Sheffield Utd,22.0,2000.0,15.4,709,533,174,3,4,1,42,171,0,0,0,0,477,2,23
Marc Bola,ENG,"DF,FW",Middlesbrough,24.0,1997.0,11.3,823,714,103,10,3,4,16,91,2,0,0,0,656,6,17
Tolaji Bola,ENG,FW,Rotherham Utd,23.0,1999.0,0.4,9,9,0,0,0,0,2,0,0,0,0,0,4,0,1
Jack Bonham,IRL,GK,Stoke City,28.0,1993.0,22.5,763,540,220,55,0,1,0,0,0,0,0,0,537,3,1
Macauley Bonne,ZIM,"FW,DF",QPR,26.0,1995.0,0.7,20,20,0,0,0,0,0,0,0,0,0,0,15,0,0
Dean Bouzanis,AUS,GK,Reading,31.0,1990.0,4.7,152,87,65,35,0,2,0,0,0,0,0,0,66,0,0
Josh Bowler,ENG,"FW,MF",Blackpool,23.0,1999.0,19.4,389,367,16,4,0,3,20,9,1,0,0,0,280,6,19
Coniah Boyce-Clarke,JAM,GK,Reading,19.0,2003.0,1.0,48,33,14,4,0,0,0,0,0,0,0,0,27,1,1
Caolan Boyd-Munce,NIR,MF,Middlesbrough,22.0,2000.0,0.0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1
Will Boyle,ENG,DF,Huddersfield,26.0,1995.0,9.0,433,426,5,5,0,1,0,0,0,0,0,0,317,2,2
