Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Unnamed: 8_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 23_level_0_Matches
59,Sam Bell,eng ENG,FW,Bristol City,20,2002,12.8,227,220,4,0,1,0,22,1,1,0,0,0,142,3,9,Matches
60,Jobe Bellingham,eng ENG,"MF,FW",Birmingham City,16,2005,6.8,192,179,13,1,2,0,3,2,0,0,0,0,151,0,3,Matches
61,Steven Benda,de GER,GK,Swansea City,23,1998,20.7,650,481,164,48,0,3,0,0,0,0,0,0,479,5,0,Matches
62,Joe Bennett,eng ENG,DF,Wigan Athletic,32,1990,8.3,494,409,85,8,0,5,15,77,0,0,0,0,395,0,10,Matches
63,Mason Bennett,eng ENG,FW,Millwall,26,1996,6.3,166,165,0,0,0,1,21,0,0,0,0,0,95,1,13,Matches
64,Jewison Bennette,cr CRC,"FW,MF",Sunderland,18,2004,2.8,93,92,1,1,0,0,14,0,0,0,0,0,72,0,5,Matches
65,Daniel Bentley,eng ENG,GK,Bristol City,29,1993,13.0,432,271,160,73,0,3,0,0,0,0,0,0,233,1,0,Matches
66,Jóhann Berg Guðmundsson,is ISL,"MF,FW",Burnley,31,1990,21.8,855,741,107,19,3,10,117,7,72,49,9,2,659,7,13,Matches
67,Sander Berge,no NOR,MF,Sheffield Utd,24,1998,34.5,1402,1371,26,10,5,18,61,5,1,0,1,0,1089,5,47,Matches
68,Luke Berry,eng ENG,MF,Luton Town,30,1992,7.5,176,167,7,1,0,1,4,1,1,1,0,0,111,2,7,Matches
69,Jordan Beyer,de GER,DF,Burnley,22,2000,28.1,2269,2216,50,31,2,15,1,10,0,0,0,0,2075,3,4,Matches
